severity,path,purpose,bytes,lineCount,sha256
CRITICAL,drbl/models/pipeline-value.ts,Pipeline value,22669,721,9e8119db9fd877a5b358f8bd1c9a00686f93881c4c7f32b8c92607fbddd1c8cf
CRITICAL,drbl/models/war-math.ts,WAR math (legacy/noncanonical paths),15879,498,e2345ae7da2d38d15baa4acbcbafd24f0222db2ca2339ec08a02281f2a80c18e
CRITICAL,drbl/models/lineup-model.ts,Lineup model,8529,283,8d43442f131abdee84e7adf5a9153e90d39a31519622539036bb4db42dca8ba4
CRITICAL,drbl/models/epv-model.ts,EPV model,4165,157,dae66c43d0b82c36cdf026dd33fe54b286463620f66b198122fc958320de6f31
CRITICAL,drbl/models/expected-points.ts,Expected points,3004,110,2512410a4cd017dff072d68b3cebc13752d8159ea4e61d3f227ae2b6a373326a
CRITICAL,drbl/models/compute-season.ts,Season compute,19014,621,27a541c5e904fec26550cc9e32c7cf0e98b79d8ffa64d01d3c863e3047f85f65
CRITICAL,drbl/models/ability-lineage.ts,Ability lineage,13857,437,9d5d844b7fcdc675f91087e186d11482e6b2afd202d8a261ea686e1109ac9093
CRITICAL,drbl/research/m18/uir.ts,UIR research,8860,324,fffa7049e49171513df3faa9e028a0a65f7f033cee1e67126191b431494ead39
CRITICAL,drbl/research/m18/lineup-impact.ts,Lineup impact / UIR,11610,344,551deb509a6b63a7559a85a08445d8c498afa97bfe06bd4ff6f12ac6d7408039
CRITICAL,scripts/drbl-m18b_0.ts,M18b.0 readiness,24813,721,0fcc28cd213235e8f8a144e3a4db377062282a767a89ba61444f41b3deb37712
CRITICAL,scripts/drbl-m18a.ts,M18a seal script,48958,1512,12e7bdf3f4f78c79919d43c477537f8e9ffd4836ad5d006bd848a506c7312608
CRITICAL,scripts/drbl-m17b.ts,M17b validation,48764,1434,6c4f0f2b98d65b02ddf1ca5ccbc6cc6c703f7481a23ecdb30c61a5c13486d280
CRITICAL,scripts/drbl-m17a_2.ts,M17a.2 historical corpus,42016,1252,134150f7a4d4e5fca8fb9a92fa1594eceb5991085cd51ad1f3db6acd08f308a7
HIGH,src/components/sports/site-nav.ts,Site nav contract,3696,153,ef3937f926fce45c88e03e52f0c7090589c73e0613bdfc9ea400f973d3de0b19
HIGH,src/components/sports/sports-shell.tsx,Shell,11549,330,2adf4b689835f028f3de22bb7931bb974f9ba002ca257d964520550be7ebf071
HIGH,next.config.ts,Next config,836,36,a9c5474c6bf8c6915faa41549402af5cfadafaf62edfdcb59adb970bcb1ed45a
HIGH,package.json,Scripts and deps,8886,165,1c99ad8fcd4803ea1ef3a0eca7f6c95766277430f381354669b893439a0c816d
HIGH,src/data/types/index.ts,Types barrel,805,23,77df42f894596d9f5b8d03e2ad1a87c0ce38cac29979634951b8e582b2823b85
HIGH,src/data/types/team-season.ts,TeamSeason type,2559,96,031ac4cc08614b013b3b47b0fb4a7bfb3d99bc806b44cf7917209d8c681b494d
HIGH,src/data/types/game.ts,Game type,2181,67,92cd9c53a8c1a1150203d9bd875b94d778d38238c97d139fdc14401b71698bbc
HIGH,src/data/types/advanced-stats.ts,Advanced stats type,709,28,6fecab5e2fd6290c7a0594399288f2bc7a4a343b2b79f952f2bfe2ce98aa815e
HIGH,drbl/models/war-team-stint-allocation-v1.ts,Stint allocation,8480,280,867f96eaab804527cef5ea5ab325ec41263988aa06677c2e5bc16c79659bd4cd
HIGH,scripts/test-data-truth.ts,Data truth tests,12331,421,fa6e2ea4a68a89b91f0820b93ecdefef84b8f2a565d0d8857335fa48aacb03f8
HIGH,scripts/test-site-nav.ts,Site nav tests,2058,86,6fb4a9470cc1daf48cfa28681040cc14a7ae7db5773860b3c19963f9ec11e4df
HIGH,scripts/test-drbl-release.ts,DRBL release gate,3864,101,2b7bd3ca6991aeb47cfbfb2e807ea663e55c11c28c3a956301fa623812fd9a23
