originalPath,snapshotPath,lineCount,bytes,sha256
drbl/models/war-math.ts,reports/project_workbook_v1/critical_source_snapshot/drbl/models/war-math.ts,498,15879,e2345ae7da2d38d15baa4acbcbafd24f0222db2ca2339ec08a02281f2a80c18e
drbl/research/m18/lineup-impact.ts,reports/project_workbook_v1/critical_source_snapshot/drbl/research/m18/lineup-impact.ts,344,11610,551deb509a6b63a7559a85a08445d8c498afa97bfe06bd4ff6f12ac6d7408039
drbl/research/m18/uir.ts,reports/project_workbook_v1/critical_source_snapshot/drbl/research/m18/uir.ts,324,8860,fffa7049e49171513df3faa9e028a0a65f7f033cee1e67126191b431494ead39
drbl/types.ts,reports/project_workbook_v1/critical_source_snapshot/drbl/types.ts,209,5067,9d6ad4802842bbfc4c33f73b8fe09ea99c9cccb77adee8bb7b7b7ea8d9cc7c0a
scripts/drbl-m17a_2.ts,reports/project_workbook_v1/critical_source_snapshot/scripts/drbl-m17a_2.ts,1252,42016,134150f7a4d4e5fca8fb9a92fa1594eceb5991085cd51ad1f3db6acd08f308a7
scripts/drbl-m17b.ts,reports/project_workbook_v1/critical_source_snapshot/scripts/drbl-m17b.ts,1434,48764,6c4f0f2b98d65b02ddf1ca5ccbc6cc6c703f7481a23ecdb30c61a5c13486d280
scripts/drbl-m18a.ts,reports/project_workbook_v1/critical_source_snapshot/scripts/drbl-m18a.ts,1512,48958,12e7bdf3f4f78c79919d43c477537f8e9ffd4836ad5d006bd848a506c7312608
scripts/drbl-m18b_0.ts,reports/project_workbook_v1/critical_source_snapshot/scripts/drbl-m18b_0.ts,721,24813,0fcc28cd213235e8f8a144e3a4db377062282a767a89ba61444f41b3deb37712
src/app/ask/page.tsx,reports/project_workbook_v1/critical_source_snapshot/src/app/ask/page.tsx,80,2292,fbfc9d3bce1922fc2a056209ddef1cf6d70b7616684a2287c304e8b6a0d80d90
src/app/explore/players/page.tsx,reports/project_workbook_v1/critical_source_snapshot/src/app/explore/players/page.tsx,173,6207,e0f3c54c5df6e04a6723a23f9a1cbdff49f4a16bc19ab8caa38c5c25fd1142c1
src/app/layout.tsx,reports/project_workbook_v1/critical_source_snapshot/src/app/layout.tsx,54,1550,aafd163d9aaf4e468f67657b34549ae37401ad7c58d67ad78a7361cd8699f080
src/app/learn/drbl/page.tsx,reports/project_workbook_v1/critical_source_snapshot/src/app/learn/drbl/page.tsx,166,6880,1ca7ec3d89829a7b383b69f7a123e7ddd3c82e766ff8a7d0d6f458233ffe4755
src/app/page.tsx,reports/project_workbook_v1/critical_source_snapshot/src/app/page.tsx,99,3140,e777582305bd1f5d08d63af7ccb9003cd73caede01203befd06d45ac9b60ef28
src/app/players/[playerId]/page.tsx,reports/project_workbook_v1/critical_source_snapshot/src/app/players/[playerId]/page.tsx,217,7686,2a295b59929bbd32e30219b6ad90d3e0f9e20030776a28a81683c0e7906bc2ea
src/app/teams/[teamId]/page.tsx,reports/project_workbook_v1/critical_source_snapshot/src/app/teams/[teamId]/page.tsx,600,21012,13987341aaab28fbd1baa9f54dcaada7718cf607f0aee18e9dba157289696a58
src/components/explore/drbl-season-support-notice.tsx,reports/project_workbook_v1/critical_source_snapshot/src/components/explore/drbl-season-support-notice.tsx,76,2336,3db205cfcf9456088eebf0f2fa00656f87842e7bd745ec2ff33449e19bff6719
src/components/explore/player-season-table.tsx,reports/project_workbook_v1/critical_source_snapshot/src/components/explore/player-season-table.tsx,688,24910,75225a3f061ad22fc7094ca4031c96c2502a392695caa55bc7903d533854052e
src/data/drbl/season-registry.ts,reports/project_workbook_v1/critical_source_snapshot/src/data/drbl/season-registry.ts,20,559,cb1556e5162171ebec3314b78f48d3d9c87516da1ba5798e298aa86345237480
src/data/providers/index.ts,reports/project_workbook_v1/critical_source_snapshot/src/data/providers/index.ts,44,1410,30bb9d1d18778776daa5170bad222fd9cab12836114a648c7f91af9bfc31d119
src/data/providers/nba/compute-advanced.ts,reports/project_workbook_v1/critical_source_snapshot/src/data/providers/nba/compute-advanced.ts,208,5975,90768103a8140dc68846f5a6ab2c0498796ea39339cb42bfcb5a59d0647842bd
src/data/providers/nba/drbl-loader.ts,reports/project_workbook_v1/critical_source_snapshot/src/data/providers/nba/drbl-loader.ts,160,4724,737e2690ddf73dd2022691a127bc94bc844c8b3562350beddd5a449001f32941
src/data/queries/players.ts,reports/project_workbook_v1/critical_source_snapshot/src/data/queries/players.ts,600,21013,eb74a63da4d34c45ec7438424e548d8bc7179a4db3daa4499bc3ed3e95bfe1a4
src/data/transformers/espn.ts,reports/project_workbook_v1/critical_source_snapshot/src/data/transformers/espn.ts,659,20122,e203c8c950b98898fc6d2b52757fb944e959fcd46ab1544f27ddba4106284163
src/data/transformers/player-season-defaults.ts,reports/project_workbook_v1/critical_source_snapshot/src/data/transformers/player-season-defaults.ts,105,2352,d3ab2b6885cc6fd02bbc6e182dea25affd05729d2ab8e4e832adea77c5e8d182
src/data/types/player-season.ts,reports/project_workbook_v1/critical_source_snapshot/src/data/types/player-season.ts,166,5203,6939f9b54d6b0f9b9baca51567a4ab98f02c9120128a30f221d4f48fcadbfccb
src/lib/player-explore-sort.ts,reports/project_workbook_v1/critical_source_snapshot/src/lib/player-explore-sort.ts,253,6546,9eee641bf2bfc9bb785723a286393364c06d478a6766e04e11eb85eaecdfc0a9
src/lib/player-season-sort.ts,reports/project_workbook_v1/critical_source_snapshot/src/lib/player-season-sort.ts,76,1601,955bb28f457f62f1f9717df2f4ab9d9503e4475a53e1dc78e337747fcfb0b838
src/lib/stat-glossary.ts,reports/project_workbook_v1/critical_source_snapshot/src/lib/stat-glossary.ts,309,11751,ba246b29298a97e38a9a77cde9ec8434ee23a6fa709a798a2536ec4716214981
