path,purpose,bytes,hash
reports/m17a_1/38_historical_backfill_seal.json,Milestone seal / readiness artifact,6434,20eb1f0595b04bc08d20ee1b1f62e74cffb69ca5ae9c7db68ce23ae821282474
reports/m17a/37_historical_backfill_seal.json,Milestone seal / readiness artifact,4156,f7963065922b7fe51ce5d68f0073c92a5af8736ff36ed4dc6a8bf0a1987b62ab
reports/m16l3/30_product_migration_seal.json,Milestone seal / readiness artifact,2681,3395408e13cd03a23de60e1eb5486ec1c9968e998739ae67bf8165d721aecaa7
reports/m16l2/22_reserved_result_seal.json,Milestone seal / readiness artifact,1345,33e2c47f1f044b1bf0dfa3cb376a44adc5440492d663c196fd17596fb8a6c2d5
reports/m16j/11_reserved_result_seal_manifest.json,Milestone seal / readiness artifact,312,6ceb7561826a9d281a62c8e7f101df69c1ab9eb5a6b250f7c58380a556bdc3dc
reports/m16j/10_reserved_result_sealed.json,Milestone seal / readiness artifact,4420,70a8700f02990ba6bed0f4b12a08cd6aa88ee691eca1b611ccb41fe7890124b5
reports/project_workbook_v1/supporting_reports/integration/14_integration_seal.json,Workbook-copied seal for forensic reference,3203,2c4f7fef249aadfec3094bd450bad0ee9d54fdc855ace3683a6d11dddf5ca35e
reports/project_workbook_v1/supporting_reports/research/m18b0_15_readiness_seal.json,Workbook-copied seal for forensic reference,3378,d0207ca052f080b783990989f807cffe024c6702f255361bb2079e58c8695fbe
reports/project_workbook_v1/supporting_reports/research/m18a_29_m18a_seal.json,Workbook-copied seal for forensic reference,5187,12c967638011ae76379770dd8c508987b87167786807144c506d76cc9779b9c9
reports/project_workbook_v1/supporting_reports/research/m17b_19_validation_seal.json,Workbook-copied seal for forensic reference,6199,774c132678e962548d60c14a0fb5d6e522f715ea22bc41a18f0193854f48a4d2
reports/project_workbook_v1/supporting_reports/research/m17a2_40_historical_corpus_seal.json,Workbook-copied seal for forensic reference,4128,fa6bca60775aab4153feef85ae9e096f61465216213b3112e76493e8194c371c
reports/project_workbook_v1/supporting_reports/research/m16l3_30_product_migration_seal.json,Workbook-copied seal for forensic reference,2681,3395408e13cd03a23de60e1eb5486ec1c9968e998739ae67bf8165d721aecaa7
reports/project_workbook_v1/supporting_reports/research/m16l2_22_reserved_result_seal.json,Workbook-copied seal for forensic reference,1345,33e2c47f1f044b1bf0dfa3cb376a44adc5440492d663c196fd17596fb8a6c2d5
data/cba/salary-cap-by-year.json,CBA salary cap by year,3003,2b4cd125b968be4dca08286eb5ad1538aff4e92fa78adb8120916d26196afc0f
data/impact/bdl-player-identity-fixture.json,BallDontLie player identity fixture,1447,63b0661973a58b5d043ea87a564ddf744d7118cb2ef9458d53662004e86a6ffa
data/impact/player-id-aliases.json,Player id alias map,23,84a7f5871269ca71e8d91c29f18fcb52e3283337913b5ad2a7946f86d841a712
data/impact/lebron.csv,LEBRON impact sample/overlay,437,7c620c054b33ee3d0cca224a6a6ecff54e468327335f5658e6bdf62257d49991
data/salaries/player-salaries-2000-2025.csv,Player salaries corpus 2000-2025,344479,5d38d8fa44c9bcbcc84aa3b3be8a145696c61e54de49303409b40333e8cd3814
data/transactions/espn-site-v2/v1/,ESPN site-v2 transactions ingest root,,
data/pbp/README.md,PBP corpus attach point documentation,494,13617f59d2a8f1e14c19b2465265209508e269f4c6157b9c52a567ce033c3abd
reports/m15/freeze/precomputed-2024-25.json,M15 freeze precomputed 2024-25,160973,007bea7bba5d69630230c854a5905169fd21099fcae298f5900d53cb7659ffa6
reports/m15/freeze/precomputed-2025-26.json,M15 freeze precomputed 2025-26,169062,27ac36a34a7edf679ecf070ff398dca4ad1c93d8fd8022572469f1d2e7e94c09
reports/project_workbook_v1/supporting_reports/integration/13_integration_health.json,Integration health snapshot,2235,2b7533b55d60d4fa146a79eaa71b9b298f4e6a760dc7c3e00788cca8f89df778
reports/project_workbook_v1/supporting_reports/integration/09_current_production_regression.json,Current production regression verdict,442,301bde51247dae518e80b72a7ac73594f563b5cf5cbdcad45bf24b8860df887f
reports/project_workbook_v1/supporting_reports/integration/10_historical_regression.json,Historical regression verdict,273,7478bdd56980dd43f09ea80a06d485103838ee8bbae2b6589385e8703fbc7ee9
