season,gameId,pointsHomeEvent,pointsAwayEvent,pointsHomeOfficial,pointsAwayOfficial,residual,exact
2024-25,0022400068,105,110,105,110,0,YES
2024-25,0022400069,123,111,123,111,0,YES
2024-25,0022400070,124,126,124,126,0,YES
2024-25,0022400071,113,116,113,116,0,YES
2024-25,0022400072,104,139,104,139,0,YES
2024-25,0022400073,102,122,102,122,0,YES
2024-25,0022400074,120,109,120,109,0,YES
2024-25,0022400075,87,102,87,102,0,YES
2024-25,0022400076,115,117,115,117,0,YES
2024-25,0022400077,116,101,116,101,0,YES
2024-25,0022400078,115,107,115,107,0,YES
2024-25,0022400079,125,120,125,120,0,YES
2024-25,0022400080,113,101,113,101,0,YES
2024-25,0022400081,123,98,123,98,0,YES
2024-25,0022400082,128,108,128,108,0,YES
2024-25,0022400083,122,133,122,133,0,YES
2024-25,0022400084,86,127,86,127,0,YES
2024-25,0022400085,123,116,123,116,0,YES
2024-25,0022400086,103,105,103,105,0,YES
2024-25,0022400087,104,109,104,109,0,YES
2024-25,0022400088,106,114,106,114,0,YES
2024-25,0022400089,118,124,118,124,0,YES
2024-25,0022400090,116,135,116,135,0,YES
2024-25,0022400091,95,114,95,114,0,YES
2024-25,0022400092,124,111,124,111,0,YES
2024-25,0022400093,112,101,112,101,0,YES
2024-25,0022400094,109,106,109,106,0,YES
2024-25,0022400095,114,102,114,102,0,YES
2024-25,0022400096,131,127,131,127,0,YES
2024-25,0022400097,114,118,114,118,0,YES
2024-25,0022400098,115,102,115,102,0,YES
2024-25,0022400099,125,103,125,103,0,YES
2024-25,0022400100,128,104,128,104,0,YES
2024-25,0022400101,104,112,104,112,0,YES
2024-25,0022400102,119,115,119,115,0,YES
2024-25,0022400103,119,121,119,121,0,YES
2024-25,0022400104,119,108,119,108,0,YES
2024-25,0022400105,106,98,106,98,0,YES
2024-25,0022400106,104,110,104,110,0,YES
2024-25,0022400107,125,127,125,127,0,YES
2024-25,0022400108,123,126,123,126,0,YES
2024-25,0022400109,101,106,101,106,0,YES
2024-25,0022400110,110,102,110,102,0,YES
2024-25,0022400111,109,105,109,105,0,YES
2024-25,0022400112,111,98,111,98,0,YES
2024-25,0022400113,139,144,139,144,0,YES
2024-25,0022400114,114,120,114,120,0,YES
2024-25,0022400115,96,113,96,113,0,YES
2024-25,0022400116,124,106,124,106,0,YES
2024-25,0022400117,138,133,138,133,0,YES
2024-25,0022400118,134,110,134,110,0,YES
2024-25,0022400119,135,132,135,132,0,YES
2024-25,0022400120,95,105,95,105,0,YES
2024-25,0022400121,133,120,133,120,0,YES
2024-25,0022400122,107,116,107,116,0,YES
2024-25,0022400123,102,99,102,99,0,YES
2024-25,0022400124,106,119,106,119,0,YES
2024-25,0022400125,105,93,105,93,0,YES
2024-25,0022400126,104,89,104,89,0,YES
2024-25,0022400127,105,106,105,106,0,YES
2024-25,0022400128,122,99,122,99,0,YES
2024-25,0022400129,102,108,102,108,0,YES
2024-25,0022400130,88,106,88,106,0,YES
2024-25,0022400131,119,125,119,125,0,YES
2024-25,0022400132,109,124,109,124,0,YES
2024-25,0022400133,120,109,120,109,0,YES
2024-25,0022400134,98,128,98,128,0,YES
2024-25,0022400135,115,123,115,123,0,YES
2024-25,0022400136,120,112,120,112,0,YES
2024-25,0022400137,125,131,125,131,0,YES
2024-25,0022400138,125,118,125,118,0,YES
2024-25,0022400139,119,116,119,116,0,YES
2024-25,0022400140,114,137,114,137,0,YES
2024-25,0022400141,103,113,103,113,0,YES
2024-25,0022400142,107,124,107,124,0,YES
2024-25,0022400143,131,128,131,128,0,YES
2024-25,0022400144,121,127,121,127,0,YES
2024-25,0022400145,113,114,113,114,0,YES
2024-25,0022400146,113,103,113,103,0,YES
2024-25,0022400148,129,103,129,103,0,YES
2024-25,0022400149,103,97,103,97,0,YES
2024-25,0022400150,92,105,92,105,0,YES
2024-25,0022400151,92,106,92,106,0,YES
2024-25,0022400152,111,126,111,126,0,YES
2024-25,0022400153,108,85,108,85,0,YES
2024-25,0022400154,116,114,116,114,0,YES
2024-25,0022400155,112,125,112,125,0,YES
2024-25,0022400156,115,103,115,103,0,YES
2024-25,0022400157,93,123,93,123,0,YES
2024-25,0022400158,106,104,106,104,0,YES
2024-25,0022400159,110,111,110,111,0,YES
2024-25,0022400160,126,135,126,135,0,YES
2024-25,0022400161,109,97,109,97,0,YES
2024-25,0022400162,114,93,114,93,0,YES
2024-25,0022400163,102,86,102,86,0,YES
2024-25,0022400164,100,118,100,118,0,YES
2024-25,0022400165,127,134,127,134,0,YES
2024-25,0022400166,121,119,121,119,0,YES
2024-25,0022400167,118,116,118,116,0,YES
2024-25,0022400168,113,104,113,104,0,YES
2024-25,0022400169,108,107,108,107,0,YES
2024-25,0022400170,118,111,118,111,0,YES
2024-25,0022400171,121,116,121,116,0,YES
2024-25,0022400172,112,118,112,118,0,YES
2024-25,0022400173,127,100,127,100,0,YES
2024-25,0022400174,131,114,131,114,0,YES
2024-25,0022400175,122,131,122,131,0,YES
2024-25,0022400176,119,99,119,99,0,YES
2024-25,0022400177,124,122,124,122,0,YES
2024-25,0022400178,115,112,115,112,0,YES
2024-25,0022400179,110,98,110,98,0,YES
2024-25,0022400180,122,107,122,107,0,YES
2024-25,0022400181,119,135,119,135,0,YES
2024-25,0022400182,123,100,123,100,0,YES
2024-25,0022400183,118,105,118,105,0,YES
2024-25,0022400184,103,83,103,83,0,YES
2024-25,0022400185,122,121,122,121,0,YES
2024-25,0022400186,115,88,115,88,0,YES
2024-25,0022400187,108,104,108,104,0,YES
2024-25,0022400188,136,117,136,117,0,YES
2024-25,0022400189,116,94,116,94,0,YES
2024-25,0022400190,113,114,113,114,0,YES
2024-25,0022400191,128,104,128,104,0,YES
2024-25,0022400192,126,107,126,107,0,YES
2024-25,0022400193,127,102,127,102,0,YES
2024-25,0022400194,135,122,135,122,0,YES
2024-25,0022400195,116,106,116,106,0,YES
2024-25,0022400196,98,107,98,107,0,YES
2024-25,0022400197,110,111,110,111,0,YES
2024-25,0022400198,113,125,113,125,0,YES
2024-25,0022400199,105,100,105,100,0,YES
2024-25,0022400200,105,103,105,103,0,YES
2024-25,0022400201,99,101,99,101,0,YES
2024-25,0022400202,107,113,107,113,0,YES
2024-25,0022400203,132,121,132,121,0,YES
2024-25,0022400204,121,94,121,94,0,YES
2024-25,0022400205,107,105,107,105,0,YES
2024-25,0022400206,94,95,94,95,0,YES
2024-25,0022400207,116,127,116,127,0,YES
2024-25,0022400208,122,120,122,120,0,YES
2024-25,0022400209,118,127,118,127,0,YES
2024-25,0022400210,89,134,89,134,0,YES
2024-25,0022400211,123,103,123,103,0,YES
2024-25,0022400212,113,119,113,119,0,YES
2024-25,0022400213,107,92,107,92,0,YES
2024-25,0022400214,105,107,105,107,0,YES
2024-25,0022400215,134,128,134,128,0,YES
2024-25,0022400216,116,96,116,96,0,YES
2024-25,0022400217,94,90,94,90,0,YES
2024-25,0022400218,114,139,114,139,0,YES
2024-25,0022400219,123,124,123,124,0,YES
2024-25,0022400220,106,114,106,114,0,YES
2024-25,0022400221,106,88,106,88,0,YES
2024-25,0022400222,111,103,111,103,0,YES
2024-25,0022400223,127,120,127,120,0,YES
2024-25,0022400224,139,130,139,130,0,YES
2024-25,0022400225,128,123,128,123,0,YES
2024-25,0022400226,106,98,106,98,0,YES
2024-25,0022400227,127,104,127,104,0,YES
2024-25,0022400228,115,113,115,113,0,YES
2024-25,0022400229,115,114,115,114,0,YES
2024-25,0022400230,126,123,126,123,0,YES
2024-25,0022400231,99,104,99,104,0,YES
2024-25,0022400232,110,93,110,93,0,YES
2024-25,0022400233,121,117,121,117,0,YES
2024-25,0022400234,120,117,120,117,0,YES
2024-25,0022400235,119,110,119,110,0,YES
2024-25,0022400236,128,114,128,114,0,YES
2024-25,0022400237,104,124,104,124,0,YES
2024-25,0022400238,105,90,105,90,0,YES
2024-25,0022400239,114,110,114,110,0,YES
2024-25,0022400240,114,104,114,104,0,YES
2024-25,0022400241,107,143,107,143,0,YES
2024-25,0022400242,119,121,119,121,0,YES
2024-25,0022400243,116,105,116,105,0,YES
2024-25,0022400244,112,122,112,122,0,YES
2024-25,0022400245,106,89,106,89,0,YES
2024-25,0022400246,134,106,134,106,0,YES
2024-25,0022400247,130,119,130,119,0,YES
2024-25,0022400248,101,100,101,100,0,YES
2024-25,0022400249,99,109,99,109,0,YES
2024-25,0022400250,108,109,108,109,0,YES
2024-25,0022400251,102,99,102,99,0,YES
2024-25,0022400252,128,100,128,100,0,YES
2024-25,0022400253,122,106,122,106,0,YES
2024-25,0022400254,130,113,130,113,0,YES
2024-25,0022400255,117,111,117,111,0,YES
2024-25,0022400256,109,99,109,99,0,YES
2024-25,0022400257,122,138,122,138,0,YES
2024-25,0022400258,120,97,120,97,0,YES
2024-25,0022400259,104,93,104,93,0,YES
2024-25,0022400260,123,121,123,121,0,YES
2024-25,0022400261,110,105,110,105,0,YES
2024-25,0022400262,126,118,126,118,0,YES
2024-25,0022400263,118,119,118,119,0,YES
2024-25,0022400264,121,106,121,106,0,YES
2024-25,0022400265,111,100,111,100,0,YES
2024-25,0022400266,131,142,131,142,0,YES
2024-25,0022400267,98,104,98,104,0,YES
2024-25,0022400268,125,119,125,119,0,YES
2024-25,0022400269,104,94,104,94,0,YES
2024-25,0022400270,102,127,102,127,0,YES
2024-25,0022400271,107,105,107,105,0,YES
2024-25,0022400272,115,103,115,103,0,YES
2024-25,0022400273,123,118,123,118,0,YES
2024-25,0022400274,99,125,99,125,0,YES
2024-25,0022400275,122,108,122,108,0,YES
2024-25,0022400276,103,108,103,108,0,YES
2024-25,0022400277,84,95,84,95,0,YES
2024-25,0022400278,102,100,102,100,0,YES
2024-25,0022400279,114,110,114,110,0,YES
2024-25,0022400280,119,129,119,129,0,YES
2024-25,0022400281,126,94,126,94,0,YES
2024-25,0022400282,123,98,123,98,0,YES
2024-25,0022400283,118,145,118,145,0,YES
2024-25,0022400284,120,128,120,128,0,YES
2024-25,0022400285,109,130,109,130,0,YES
2024-25,0022400286,94,98,94,98,0,YES
2024-25,0022400287,124,135,124,135,0,YES
2024-25,0022400288,121,114,121,114,0,YES
2024-25,0022400289,133,119,133,119,0,YES
2024-25,0022400290,115,122,115,122,0,YES
2024-25,0022400291,96,121,96,121,0,YES
2024-25,0022400292,129,114,129,114,0,YES
2024-25,0022400293,131,111,131,111,0,YES
2024-25,0022400294,104,115,104,115,0,YES
2024-25,0022400295,93,119,93,119,0,YES
2024-25,0022400296,101,119,101,119,0,YES
2024-25,0022400297,117,127,117,127,0,YES
2024-25,0022400298,103,122,103,122,0,YES
2024-25,0022400299,101,105,101,105,0,YES
2024-25,0022400300,104,107,104,107,0,YES
2024-25,0022400301,96,111,96,111,0,YES
2024-25,0022400302,124,114,124,114,0,YES
2024-25,0022400303,113,105,113,105,0,YES
2024-25,0022400304,94,106,94,106,0,YES
2024-25,0022400305,92,100,92,100,0,YES
2024-25,0022400306,136,121,136,121,0,YES
2024-25,0022400307,115,111,115,111,0,YES
2024-25,0022400308,118,85,118,85,0,YES
2024-25,0022400309,119,116,119,116,0,YES
2024-25,0022400310,119,116,119,116,0,YES
2024-25,0022400311,104,105,104,105,0,YES
2024-25,0022400312,131,137,131,137,0,YES
2024-25,0022400313,125,127,125,127,0,YES
2024-25,0022400314,126,122,126,122,0,YES
2024-25,0022400315,124,112,124,112,0,YES
2024-25,0022400316,108,89,108,89,0,YES
2024-25,0022400317,128,102,128,102,0,YES
2024-25,0022400318,109,80,109,80,0,YES
2024-25,0022400319,130,120,130,120,0,YES
2024-25,0022400320,99,90,99,90,0,YES
2024-25,0022400321,134,93,134,93,0,YES
2024-25,0022400322,102,106,102,106,0,YES
2024-25,0022400323,104,119,104,119,0,YES
2024-25,0022400324,80,108,80,108,0,YES
2024-25,0022400325,126,114,126,114,0,YES
2024-25,0022400326,101,137,101,137,0,YES
2024-25,0022400327,125,101,125,101,0,YES
2024-25,0022400328,92,129,92,129,0,YES
2024-25,0022400329,115,110,115,110,0,YES
2024-25,0022400330,126,124,126,124,0,YES
2024-25,0022400331,124,139,124,139,0,YES
2024-25,0022400332,99,93,99,93,0,YES
2024-25,0022400333,102,94,102,94,0,YES
2024-25,0022400334,134,132,134,132,0,YES
2024-25,0022400335,111,105,111,105,0,YES
2024-25,0022400336,123,132,123,132,0,YES
2024-25,0022400337,113,140,113,140,0,YES
2024-25,0022400338,90,107,90,107,0,YES
2024-25,0022400339,99,141,99,141,0,YES
2024-25,0022400340,102,116,102,116,0,YES
2024-25,0022400341,122,113,122,113,0,YES
2024-25,0022400342,109,119,109,119,0,YES
2024-25,0022400343,111,120,111,120,0,YES
2024-25,0022400344,118,125,118,125,0,YES
2024-25,0022400345,121,127,121,127,0,YES
2024-25,0022400346,121,111,121,111,0,YES
2024-25,0022400347,100,108,100,108,0,YES
2024-25,0022400348,113,118,113,118,0,YES
2024-25,0022400349,109,113,109,113,0,YES
2024-25,0022400350,111,141,111,141,0,YES
2024-25,0022400351,122,113,122,113,0,YES
2024-25,0022400352,115,110,115,110,0,YES
2024-25,0022400353,112,140,112,140,0,YES
2024-25,0022400354,121,116,121,116,0,YES
2024-25,0022400355,114,106,114,106,0,YES
2024-25,0022400356,106,117,106,117,0,YES
2024-25,0022400357,141,97,141,97,0,YES
2024-25,0022400358,107,98,107,98,0,YES
2024-25,0022400359,108,113,108,113,0,YES
2024-25,0022400360,119,126,119,126,0,YES
2024-25,0022400361,99,105,99,105,0,YES
2024-25,0022400362,123,114,123,114,0,YES
2024-25,0022400363,108,117,108,117,0,YES
2024-25,0022400364,94,101,94,101,0,YES
2024-25,0022400365,133,113,133,113,0,YES
2024-25,0022400366,144,93,144,93,0,YES
2024-25,0022400367,107,133,107,133,0,YES
2024-25,0022400368,95,118,95,118,0,YES
2024-25,0022400369,111,120,111,120,0,YES
2024-25,0022400370,133,126,133,126,0,YES
2024-25,0022400371,126,124,126,124,0,YES
2024-25,0022400372,100,113,100,113,0,YES
2024-25,0022400373,108,98,108,98,0,YES
2024-25,0022400374,124,101,124,101,0,YES
2024-25,0022400375,97,104,97,104,0,YES
2024-25,0022400376,99,103,99,103,0,YES
2024-25,0022400377,121,114,121,114,0,YES
2024-25,0022400378,112,128,112,128,0,YES
2024-25,0022400379,94,105,94,105,0,YES
2024-25,0022400380,126,99,126,99,0,YES
2024-25,0022400381,98,123,98,123,0,YES
2024-25,0022400382,112,101,112,101,0,YES
2024-25,0022400383,103,113,103,113,0,YES
2024-25,0022400384,93,104,93,104,0,YES
2024-25,0022400385,113,97,113,97,0,YES
2024-25,0022400386,114,94,114,94,0,YES
2024-25,0022400387,125,133,125,133,0,YES
2024-25,0022400388,110,114,110,114,0,YES
2024-25,0022400389,95,122,95,122,0,YES
2024-25,0022400390,129,132,129,132,0,YES
2024-25,0022400391,101,114,101,114,0,YES
2024-25,0022400392,124,113,124,113,0,YES
2024-25,0022400393,108,104,108,104,0,YES
2024-25,0022400394,111,106,111,106,0,YES
2024-25,0022400395,117,104,117,104,0,YES
2024-25,0022400396,110,95,110,95,0,YES
2024-25,0022400397,139,125,139,125,0,YES
2024-25,0022400398,91,112,91,112,0,YES
2024-25,0022400399,110,114,110,114,0,YES
2024-25,0022400400,123,105,123,105,0,YES
2024-25,0022400401,132,108,132,108,0,YES
2024-25,0022400402,117,90,117,90,0,YES
2024-25,0022400403,105,111,105,111,0,YES
2024-25,0022400404,114,117,114,117,0,YES
2024-25,0022400405,117,114,117,114,0,YES
2024-25,0022400406,99,105,99,105,0,YES
2024-25,0022400407,114,118,114,118,0,YES
2024-25,0022400408,113,115,113,115,0,YES
2024-25,0022400409,110,100,110,100,0,YES
2024-25,0022400410,114,120,114,120,0,YES
2024-25,0022400411,88,89,88,89,0,YES
2024-25,0022400412,113,110,113,110,0,YES
2024-25,0022400413,141,133,141,133,0,YES
2024-25,0022400414,155,126,155,126,0,YES
2024-25,0022400415,105,111,105,111,0,YES
2024-25,0022400416,111,128,111,128,0,YES
2024-25,0022400417,122,120,122,120,0,YES
2024-25,0022400418,113,114,113,114,0,YES
2024-25,0022400419,85,108,85,108,0,YES
2024-25,0022400420,142,105,142,105,0,YES
2024-25,0022400421,87,96,87,96,0,YES
2024-25,0022400422,112,113,112,113,0,YES
2024-25,0022400423,124,132,124,132,0,YES
2024-25,0022400424,135,149,135,149,0,YES
2024-25,0022400425,89,98,89,98,0,YES
2024-25,0022400426,102,92,102,92,0,YES
2024-25,0022400427,120,110,120,110,0,YES
2024-25,0022400428,94,106,94,106,0,YES
2024-25,0022400429,132,136,132,136,0,YES
2024-25,0022400430,116,111,116,111,0,YES
2024-25,0022400431,109,105,109,105,0,YES
2024-25,0022400432,134,121,134,121,0,YES
2024-25,0022400433,111,114,111,114,0,YES
2024-25,0022400434,126,122,126,122,0,YES
2024-25,0022400435,132,122,132,122,0,YES
2024-25,0022400436,102,101,102,101,0,YES
2024-25,0022400437,114,123,114,123,0,YES
2024-25,0022400438,107,136,107,136,0,YES
2024-25,0022400439,100,104,100,104,0,YES
2024-25,0022400440,130,106,130,106,0,YES
2024-25,0022400441,112,110,112,110,0,YES
2024-25,0022400442,108,115,108,115,0,YES
2024-25,0022400443,106,126,106,126,0,YES
2024-25,0022400444,113,116,113,116,0,YES
2024-25,0022400445,121,132,121,132,0,YES
2024-25,0022400446,95,113,95,113,0,YES
2024-25,0022400447,103,125,103,125,0,YES
2024-25,0022400448,110,100,110,100,0,YES
2024-25,0022400449,125,71,125,71,0,YES
2024-25,0022400450,112,120,112,120,0,YES
2024-25,0022400451,122,86,122,86,0,YES
2024-25,0022400452,113,105,113,105,0,YES
2024-25,0022400453,112,117,112,117,0,YES
2024-25,0022400454,110,122,110,122,0,YES
2024-25,0022400455,105,96,105,96,0,YES
2024-25,0022400456,125,107,125,107,0,YES
2024-25,0022400457,119,108,119,108,0,YES
2024-25,0022400458,119,103,119,103,0,YES
2024-25,0022400459,130,113,130,113,0,YES
2024-25,0022400460,110,99,110,99,0,YES
2024-25,0022400461,139,120,139,120,0,YES
2024-25,0022400462,113,107,113,107,0,YES
2024-25,0022400463,115,128,115,128,0,YES
2024-25,0022400464,115,118,115,118,0,YES
2024-25,0022400465,110,113,110,113,0,YES
2024-25,0022400466,116,98,116,98,0,YES
2024-25,0022400467,139,105,139,105,0,YES
2024-25,0022400468,114,106,114,106,0,YES
2024-25,0022400469,98,94,98,94,0,YES
2024-25,0022400470,97,106,97,106,0,YES
2024-25,0022400471,86,109,86,109,0,YES
2024-25,0022400472,132,120,132,120,0,YES
2024-25,0022400473,117,107,117,107,0,YES
2024-25,0022400474,122,134,122,134,0,YES
2024-25,0022400475,110,113,110,113,0,YES
2024-25,0022400476,138,133,138,133,0,YES
2024-25,0022400477,119,102,119,102,0,YES
2024-25,0022400478,94,123,94,123,0,YES
2024-25,0022400479,119,105,119,105,0,YES
2024-25,0022400480,126,108,126,108,0,YES
2024-25,0022400481,100,136,100,136,0,YES
2024-25,0022400482,139,126,139,126,0,YES
2024-25,0022400483,102,105,102,105,0,YES
2024-25,0022400484,111,122,111,122,0,YES
2024-25,0022400485,121,113,121,113,0,YES
2024-25,0022400486,131,105,131,105,0,YES
2024-25,0022400487,105,92,105,92,0,YES
2024-25,0022400488,115,105,115,105,0,YES
2024-25,0022400489,98,110,98,110,0,YES
2024-25,0022400490,92,105,92,105,0,YES
2024-25,0022400491,119,115,119,115,0,YES
2024-25,0022400492,99,129,99,129,0,YES
2024-25,0022400493,118,115,118,115,0,YES
2024-25,0022400494,99,109,99,109,0,YES
2024-25,0022400495,99,113,99,113,0,YES
2024-25,0022400496,94,103,94,103,0,YES
2024-25,0022400497,104,128,104,128,0,YES
2024-25,0022400498,114,110,114,110,0,YES
2024-25,0022400499,119,104,119,104,0,YES
2024-25,0022400500,108,106,108,106,0,YES
2024-25,0022400501,123,118,123,118,0,YES
2024-25,0022400502,115,104,115,104,0,YES
2024-25,0022400503,112,135,112,135,0,YES
2024-25,0022400504,118,97,118,97,0,YES
2024-25,0022400505,97,104,97,104,0,YES
2024-25,0022400506,121,124,121,124,0,YES
2024-25,0022400507,106,118,106,118,0,YES
2024-25,0022400508,98,114,98,114,0,YES
2024-25,0022400509,129,122,129,122,0,YES
2024-25,0022400510,129,113,129,113,0,YES
2024-25,0022400511,112,98,112,98,0,YES
2024-25,0022400512,109,103,109,103,0,YES
2024-25,0022400513,98,113,98,113,0,YES
2024-25,0022400514,100,119,100,119,0,YES
2024-25,0022400515,126,103,126,103,0,YES
2024-25,0022400516,121,105,121,105,0,YES
2024-25,0022400517,132,126,132,126,0,YES
2024-25,0022400518,104,107,104,107,0,YES
2024-25,0022400519,89,104,89,104,0,YES
2024-25,0022400520,115,119,115,119,0,YES
2024-25,0022400521,117,111,117,111,0,YES
2024-25,0022400522,123,115,123,115,0,YES
2024-25,0022400523,92,97,92,97,0,YES
2024-25,0022400524,97,100,97,100,0,YES
2024-25,0022400525,108,96,108,96,0,YES
2024-25,0022400526,106,109,106,109,0,YES
2024-25,0022400527,115,123,115,123,0,YES
2024-25,0022400528,97,114,97,114,0,YES
2024-25,0022400529,101,126,101,126,0,YES
2024-25,0022400530,138,105,138,105,0,YES
2024-25,0022400531,124,105,124,105,0,YES
2024-25,0022400532,96,100,96,100,0,YES
2024-25,0022400533,114,106,114,106,0,YES
2024-25,0022400534,123,114,123,114,0,YES
2024-25,0022400535,125,127,125,127,0,YES
2024-25,0022400536,98,119,98,119,0,YES
2024-25,0022400537,125,109,125,109,0,YES
2024-25,0022400538,123,88,123,88,0,YES
2024-25,0022400539,140,106,140,106,0,YES
2024-25,0022400540,101,112,101,112,0,YES
2024-25,0022400541,119,124,119,124,0,YES
2024-25,0022400542,120,119,120,119,0,YES
2024-25,0022400543,93,108,93,108,0,YES
2024-25,0022400544,104,99,104,99,0,YES
2024-25,0022400545,95,136,95,136,0,YES
2024-25,0022400546,112,111,112,111,0,YES
2024-25,0022400547,120,113,120,113,0,YES
2024-25,0022400548,106,120,106,120,0,YES
2024-25,0022400549,119,124,119,124,0,YES
2024-25,0022400550,104,101,104,101,0,YES
2024-25,0022400551,120,118,120,118,0,YES
2024-25,0022400552,102,126,102,126,0,YES
2024-25,0022400553,109,98,109,98,0,YES
2024-25,0022400554,117,127,117,127,0,YES
2024-25,0022400555,102,118,102,118,0,YES
2024-25,0022400556,122,117,122,117,0,YES
2024-25,0022400557,113,119,113,119,0,YES
2024-25,0022400558,130,115,130,115,0,YES
2024-25,0022400559,99,118,99,118,0,YES
2024-25,0022400560,114,132,114,132,0,YES
2024-25,0022400561,119,125,119,125,0,YES
2024-25,0022400562,110,97,110,97,0,YES
2024-25,0022400563,94,110,94,110,0,YES
2024-25,0022400564,122,93,122,93,0,YES
2024-25,0022400565,115,116,115,116,0,YES
2024-25,0022400566,119,116,119,116,0,YES
2024-25,0022400567,115,129,115,129,0,YES
2024-25,0022400568,108,128,108,128,0,YES
2024-25,0022400569,112,117,112,117,0,YES
2024-25,0022400570,117,108,117,108,0,YES
2024-25,0022400571,126,67,126,67,0,YES
2024-25,0022400572,100,111,100,111,0,YES
2024-25,0022400573,123,130,123,130,0,YES
2024-25,0022400574,134,114,134,114,0,YES
2024-25,0022400575,89,118,89,118,0,YES
2024-25,0022400576,132,127,132,127,0,YES
2024-25,0022400577,121,94,121,94,0,YES
2024-25,0022400578,99,116,99,116,0,YES
2024-25,0022400579,113,133,113,133,0,YES
2024-25,0022400580,130,112,130,112,0,YES
2024-25,0022400581,136,123,136,123,0,YES
2024-25,0022400582,112,140,112,140,0,YES
2024-25,0022400583,106,98,106,98,0,YES
2024-25,0022400584,123,125,123,125,0,YES
2024-25,0022400585,102,101,102,101,0,YES
2024-25,0022400586,121,125,121,125,0,YES
2024-25,0022400587,115,119,115,119,0,YES
2024-25,0022400588,115,102,115,102,0,YES
2024-25,0022400589,122,114,122,114,0,YES
2024-25,0022400590,117,124,117,124,0,YES
2024-25,0022400591,103,125,103,125,0,YES
2024-25,0022400592,128,107,128,107,0,YES
2024-25,0022400593,100,113,100,113,0,YES
2024-25,0022400594,123,109,123,109,0,YES
2024-25,0022400595,127,101,127,101,0,YES
2024-25,0022400596,116,102,116,102,0,YES
2024-25,0022400597,113,102,113,102,0,YES
2024-25,0022400598,123,100,123,100,0,YES
2024-25,0022400599,110,105,110,105,0,YES
2024-25,0022400600,96,107,96,107,0,YES
2024-25,0022400601,108,106,108,106,0,YES
2024-25,0022400602,119,110,119,110,0,YES
2024-25,0022400603,118,92,118,92,0,YES
2024-25,0022400604,85,125,85,125,0,YES
2024-25,0022400605,123,119,123,119,0,YES
