rowId,foldId,maxFeatureDate,asOfDate,futureDateMin,leakageOk
F1_1629130,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1631107,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1628978,0,2024-11-07,2024-11-07,2024-11-08,true
F1_1631101,0,2024-11-07,2024-11-07,2024-11-08,true
F1_1642377,0,2024-11-06,2024-11-07,2024-11-08,true
F1_203552,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1628963,0,2024-10-30,2024-11-07,2024-11-08,true
F1_1630178,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1630559,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1642272,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1641741,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1628467,0,2024-10-26,2024-11-07,2024-11-08,true
F1_1631098,0,2024-11-04,2024-11-07,2024-11-08,true
F1_1641854,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1630228,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1630592,0,2024-11-04,2024-11-07,2024-11-08,true
F1_1629684,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1628988,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1642359,0,2024-11-01,2024-11-07,2024-11-08,true
F1_1641890,0,2024-11-07,2024-11-07,2024-11-08,true
F1_1630200,0,2024-10-24,2024-11-07,2024-11-08,true
F1_1641739,0,2024-11-07,2024-11-07,2024-11-08,true
F1_1629628,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1630163,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1631132,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1631133,0,2024-11-07,2024-11-07,2024-11-08,true
F1_1630249,0,2024-10-28,2024-11-07,2024-11-08,true
F1_1641731,0,2024-11-04,2024-11-07,2024-11-08,true
F1_1642265,0,2024-11-07,2024-11-07,2024-11-08,true
F1_1642267,0,2024-11-04,2024-11-07,2024-11-08,true
F1_1627814,0,2024-10-26,2024-11-07,2024-11-08,true
F1_1642345,0,2024-10-31,2024-11-07,2024-11-08,true
F1_1642402,0,2024-10-25,2024-11-07,2024-11-08,true
F1_203486,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1641724,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1642271,0,2024-11-07,2024-11-07,2024-11-08,true
F1_1630699,0,2024-11-07,2024-11-07,2024-11-08,true
F1_1629669,0,2024-11-04,2024-11-07,2024-11-08,true
F1_1642263,0,2024-11-06,2024-11-07,2024-11-08,true
F1_204456,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1630539,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1630611,0,2024-10-30,2024-11-07,2024-11-08,true
F1_1626162,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1641794,0,2024-11-04,2024-11-07,2024-11-08,true
F1_1626166,0,2024-11-01,2024-11-07,2024-11-08,true
F1_202684,0,2024-11-01,2024-11-07,2024-11-08,true
F1_1629632,0,2024-11-07,2024-11-07,2024-11-08,true
F1_1641871,0,2024-11-07,2024-11-07,2024-11-08,true
F1_1631170,0,2024-10-30,2024-11-07,2024-11-08,true
F1_1629162,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1630544,0,2024-11-06,2024-11-07,2024-11-08,true
F1_201599,0,2024-11-02,2024-11-07,2024-11-08,true
F1_1628374,0,2024-11-07,2024-11-07,2024-11-08,true
F1_203500,0,2024-11-04,2024-11-07,2024-11-08,true
F1_1630527,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1631117,0,2024-11-07,2024-11-07,2024-11-08,true
F1_1629048,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1630696,0,2024-10-30,2024-11-07,2024-11-08,true
F1_1642281,0,2024-10-30,2024-11-07,2024-11-08,true
F1_1628371,0,2024-11-06,2024-11-07,2024-11-08,true
F1_202685,0,2024-11-04,2024-11-07,2024-11-08,true
F1_201988,0,2024-11-07,2024-11-07,2024-11-08,true
F1_1626145,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1627827,0,2024-11-04,2024-11-07,2024-11-08,true
F1_1641729,0,2024-11-07,2024-11-07,2024-11-08,true
F1_1627777,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1641765,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1630579,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1641706,0,2024-11-06,2024-11-07,2024-11-08,true
F1_203992,0,2024-10-23,2024-11-07,2024-11-08,true
F1_1630583,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1626153,0,2024-11-04,2024-11-07,2024-11-08,true
F1_1629234,0,2024-11-07,2024-11-07,2024-11-08,true
F1_1641763,0,2024-11-07,2024-11-07,2024-11-08,true
F1_1628404,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1631169,0,2024-11-07,2024-11-07,2024-11-08,true
F1_1631222,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1631207,0,2024-11-07,2024-11-07,2024-11-08,true
F1_1641783,0,2024-11-06,2024-11-07,2024-11-08,true
F1_203458,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1630167,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1641730,0,2024-11-03,2024-11-07,2024-11-08,true
F1_1629021,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1627736,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1630574,0,2024-11-01,2024-11-07,2024-11-08,true
F1_1642261,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1630169,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1628381,0,2024-11-07,2024-11-07,2024-11-08,true
F1_1630314,0,2024-11-06,2024-11-07,2024-11-08,true
F1_203995,0,2024-10-26,2024-11-07,2024-11-08,true
F1_1630526,0,2024-11-06,2024-11-07,2024-11-08,true
F1_201569,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1641705,0,2024-11-07,2024-11-07,2024-11-08,true
F1_1641775,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1629003,0,2024-11-04,2024-11-07,2024-11-08,true
F1_1631288,0,2024-11-04,2024-11-07,2024-11-08,true
F1_202704,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1627824,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1631323,0,2024-11-06,2024-11-07,2024-11-08,true
F1_201144,0,2024-11-07,2024-11-07,2024-11-08,true
F1_1626196,0,2024-11-04,2024-11-07,2024-11-08,true
F1_1627750,0,2024-11-01,2024-11-07,2024-11-08,true
F1_1642530,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1628981,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1641715,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1630702,0,2024-11-06,2024-11-07,2024-11-08,true
F1_203484,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1631223,0,2024-11-06,2024-11-07,2024-11-08,true
F1_203915,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1629012,0,2024-11-07,2024-11-07,2024-11-08,true
F1_1629014,0,2024-11-07,2024-11-07,2024-11-08,true
F1_1628970,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1641824,0,2024-11-07,2024-11-07,2024-11-08,true
F1_203935,0,2024-10-30,2024-11-07,2024-11-08,true
F1_1630182,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1630191,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1626156,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1630214,0,2024-11-04,2024-11-07,2024-11-08,true
F1_1642270,0,2024-11-07,2024-11-07,2024-11-08,true
F1_1626192,0,2024-11-07,2024-11-07,2024-11-08,true
F1_203914,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1642275,0,2024-11-06,2024-11-07,2024-11-08,true
F1_203903,0,2024-11-07,2024-11-07,2024-11-08,true
F1_1626179,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1630595,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1630590,0,2024-11-06,2024-11-07,2024-11-08,true
F1_203967,0,2024-11-01,2024-11-07,2024-11-08,true
F1_201566,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1630183,0,2024-11-07,2024-11-07,2024-11-08,true
F1_1628398,0,2024-10-28,2024-11-07,2024-11-08,true
F1_1641710,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1642273,0,2024-11-04,2024-11-07,2024-11-08,true
F1_1630166,0,2024-11-07,2024-11-07,2024-11-08,true
F1_1630557,0,2024-11-04,2024-11-07,2024-11-08,true
F1_1631104,0,2024-11-07,2024-11-07,2024-11-08,true
F1_1626168,0,2024-11-06,2024-11-07,2024-11-08,true
F1_203083,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1630567,0,2024-10-28,2024-11-07,2024-11-08,true
F1_1642274,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1631200,0,2024-11-07,2024-11-07,2024-11-08,true
F1_1627751,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1631212,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1641722,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1642259,0,2024-11-04,2024-11-07,2024-11-08,true
F1_201572,0,2024-11-07,2024-11-07,2024-11-08,true
F1_1641764,0,2024-11-04,2024-11-07,2024-11-08,true
F1_1626167,0,2024-11-06,2024-11-07,2024-11-08,true
F1_201935,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1630552,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1627732,0,2024-11-03,2024-11-07,2024-11-08,true
F1_1630172,0,2024-11-07,2024-11-07,2024-11-08,true
F1_1629611,0,2024-11-06,2024-11-07,2024-11-08,true
F1_202699,0,2024-11-06,2024-11-07,2024-11-08,true
F1_203994,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1628464,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1631108,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1630175,0,2024-11-04,2024-11-07,2024-11-08,true
F1_1642264,0,2024-11-07,2024-11-07,2024-11-08,true
F1_1642258,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1626171,0,2024-11-07,2024-11-07,2024-11-08,true
F1_1642347,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1630558,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1642262,0,2024-11-07,2024-11-07,2024-11-08,true
F1_1628389,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1629216,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1630703,0,2024-11-07,2024-11-07,2024-11-08,true
F1_1630245,0,2024-11-07,2024-11-07,2024-11-08,true
F1_1629027,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1630581,0,2024-11-07,2024-11-07,2024-11-08,true
F1_1629645,0,2024-11-06,2024-11-07,2024-11-08,true
F1_1629018,0,2024-11-07,2024-11-07,2024-11-08,true
F1_1641718,0,2024-11-07,2024-11-07,2024-11-08,true
F1_1628997,0,2024-11-06,2024-11-07,2024-11-08,true
F2_1630532,1,2024-11-23,2024-11-24,2024-11-25,true
F2_1629660,1,2024-11-24,2024-11-24,2024-11-25,true
F2_1631106,1,2024-11-23,2024-11-24,2024-11-25,true
F2_1628991,1,2024-11-23,2024-11-24,2024-11-25,true
F2_202681,1,2024-11-24,2024-11-24,2024-11-25,true
F2_1628369,1,2024-11-24,2024-11-24,2024-11-25,true
F2_1628983,1,2024-11-20,2024-11-24,2024-11-25,true
F2_1627741,1,2024-11-23,2024-11-24,2024-11-25,true
F2_203999,1,2024-11-23,2024-11-24,2024-11-25,true
F2_203076,1,2024-11-23,2024-11-24,2024-11-25,true
F2_1628415,1,2024-11-23,2024-11-24,2024-11-25,true
F2_201939,1,2024-11-23,2024-11-24,2024-11-25,true
F2_1626181,1,2024-11-18,2024-11-24,2024-11-25,true
F2_1626157,1,2024-11-23,2024-11-24,2024-11-25,true
F2_1628378,1,2024-11-24,2024-11-24,2024-11-25,true
F2_1627783,1,2024-11-24,2024-11-24,2024-11-25,true
F2_1628368,1,2024-11-24,2024-11-24,2024-11-25,true
F2_1628401,1,2024-11-24,2024-11-24,2024-11-25,true
F2_1631128,1,2024-11-23,2024-11-24,2024-11-25,true
F2_1628384,1,2024-11-23,2024-11-24,2024-11-25,true
F2_1630162,1,2024-11-24,2024-11-24,2024-11-25,true
F2_203952,1,2024-11-23,2024-11-24,2024-11-25,true
F2_1628386,1,2024-11-24,2024-11-24,2024-11-25,true
F2_1630202,1,2024-11-24,2024-11-24,2024-11-25,true
F2_1629661,1,2024-11-24,2024-11-24,2024-11-25,true
F2_1631114,1,2024-11-20,2024-11-24,2024-11-25,true
F2_1627832,1,2024-11-23,2024-11-24,2024-11-25,true
F2_203507,1,2024-11-23,2024-11-24,2024-11-25,true
F2_201942,1,2024-11-24,2024-11-24,2024-11-25,true
F2_1630596,1,2024-11-24,2024-11-24,2024-11-25,true
F2_202696,1,2024-11-23,2024-11-24,2024-11-25,true
F2_1629639,1,2024-11-24,2024-11-24,2024-11-25,true
F2_1629655,1,2024-11-24,2024-11-24,2024-11-25,true
F2_1628374,1,2024-11-23,2024-11-24,2024-11-25,true
F2_1630643,1,2024-11-23,2024-11-24,2024-11-25,true
F2_1627884,1,2024-11-24,2024-11-24,2024-11-25,true
F2_1629599,1,2024-11-24,2024-11-24,2024-11-25,true
F2_1631260,1,2024-11-23,2024-11-24,2024-11-25,true
F2_1629675,1,2024-11-24,2024-11-24,2024-11-25,true
F2_1627747,1,2024-11-17,2024-11-24,2024-11-25,true
F2_201950,1,2024-11-24,2024-11-24,2024-11-25,true
F2_202710,1,2024-11-24,2024-11-24,2024-11-25,true
F2_1629652,1,2024-11-20,2024-11-24,2024-11-25,true
F2_1627736,1,2024-11-23,2024-11-24,2024-11-25,true
F2_1628449,1,2024-11-24,2024-11-24,2024-11-25,true
F2_1642272,1,2024-11-24,2024-11-24,2024-11-25,true
F2_1642261,1,2024-11-23,2024-11-24,2024-11-25,true
F2_201142,1,2024-11-08,2024-11-24,2024-11-25,true
F2_1630578,1,2024-11-23,2024-11-24,2024-11-25,true
F2_1641726,1,2024-11-24,2024-11-24,2024-11-25,true
F2_1629636,1,2024-11-24,2024-11-24,2024-11-25,true
F2_201143,1,2024-11-24,2024-11-24,2024-11-25,true
F2_1629008,1,2024-11-23,2024-11-24,2024-11-25,true
F2_203084,1,2024-11-23,2024-11-24,2024-11-25,true
F2_1627739,1,2024-11-24,2024-11-24,2024-11-25,true
F2_1629023,1,2024-11-24,2024-11-24,2024-11-25,true
F2_1630534,1,2024-11-24,2024-11-24,2024-11-25,true
F2_1628998,1,2024-11-23,2024-11-24,2024-11-25,true
F2_1627734,1,2024-11-24,2024-11-24,2024-11-25,true
F2_1629631,1,2024-11-22,2024-11-24,2024-11-25,true
F2_1630700,1,2024-11-22,2024-11-24,2024-11-25,true
F2_1630163,1,2024-11-23,2024-11-24,2024-11-25,true
F2_1629029,1,2024-11-19,2024-11-24,2024-11-25,true
F2_203078,1,2024-11-12,2024-11-24,2024-11-25,true
F2_1642377,1,2024-11-23,2024-11-24,2024-11-25,true
F2_203932,1,2024-11-04,2024-11-24,2024-11-25,true
F2_1628973,1,2024-11-23,2024-11-24,2024-11-25,true
F2_1630198,1,2024-11-17,2024-11-24,2024-11-25,true
F2_1629021,1,2024-11-23,2024-11-24,2024-11-25,true
F2_1629634,1,2024-11-23,2024-11-24,2024-11-25,true
F2_203897,1,2024-11-23,2024-11-24,2024-11-25,true
F2_1628371,1,2024-11-23,2024-11-24,2024-11-25,true
F2_1628381,1,2024-11-23,2024-11-24,2024-11-25,true
F2_1626204,1,2024-11-17,2024-11-24,2024-11-25,true
F2_1641708,1,2024-11-23,2024-11-24,2024-11-25,true
F2_1629673,1,2024-11-22,2024-11-24,2024-11-25,true
F2_1641717,1,2024-11-20,2024-11-24,2024-11-25,true
F2_1631218,1,2024-11-23,2024-11-24,2024-11-25,true
F2_1626164,1,2024-11-20,2024-11-24,2024-11-25,true
