playerId,playerName,status,before_drbl100,after_drbl100,delta_drbl100,before_rank,after_rank,delta_rank,before_poss,after_poss,after_sdv100,after_shotMaking100
201142,Kevin Durant,matched,-0.67,0.1,0.77,228,79,149,658,2344,0.07,1.99
203109,Jae Crowder,new_in_after,,0.1,,,80,,,365,0.37,-1.52
201143,Al Horford,matched,1.22,0.09,-1.13,54,81,-27,450,2275,-1.54,3.96
1641796,Pelle Larsson,new_in_after,,0.09,,,82,,,934,0.07,2.47
1641727,Dariq Whitehead,new_in_after,,0.09,,,83,,,126,-0.4,2.93
1631246,Vince Williams Jr.,new_in_after,,0.09,,,84,,,211,0.16,-2.06
1628369,Jayson Tatum,matched,1.69,0.08,-1.61,38,85,-47,552,3764,-3.82,0.55
202710,Jimmy Butler,matched,-1.5,0.08,1.58,285,86,199,389,2403,-0.06,3.35
1629639,Tyler Herro,matched,-1.85,0.07,1.92,299,87,212,387,3462,-2.81,7.11
1629731,Dean Wade,matched,1.8,0.07,-1.73,33,88,-55,413,1733,-1.01,-5.36
202696,Nikola Vučević,matched,0.05,0.07,0.02,147,89,58,578,3684,4.33,11.72
1629634,Brandon Clarke,matched,0.25,0.07,-0.18,129,90,39,252,2290,5.25,3.79
1628401,Derrick White,matched,1.86,0.06,-1.8,32,91,-59,536,3713,-1.36,5.02
1628976,Wendell Carter Jr.,matched,2.06,0.06,-2,19,92,-73,511,1719,1.59,-2.67
1627783,Pascal Siakam,matched,0.18,0.06,-0.12,135,93,42,514,3999,3.05,1.36
202681,Kyrie Irving,matched,0.2,0.06,-0.14,134,94,40,279,3551,-0.43,5.14
1631094,Paolo Banchero,matched,1.56,0.05,-1.51,43,95,-52,582,738,-0.61,1.2
1630596,Evan Mobley,matched,2.16,0.05,-2.11,15,96,-81,506,3166,3.68,2.11
1630643,Jay Huff,matched,-1.79,0.05,1.84,295,97,198,347,1734,3.08,5.16
1629026,Kenrich Williams,new_in_after,,0.05,,,98,,,819,-0.42,5.58
1629626,Bol Bol,new_in_after,,0.05,,,99,,,151,-0.17,1.43
1628436,Luke Kornet,matched,0.27,0.04,-0.23,124,100,24,244,1386,2.15,3.28
1629023,P.J. Washington,matched,-0.37,0.04,0.41,197,101,96,260,2883,-0.47,-0.97
202685,Jonas Valančiūnas,matched,-0.85,0.04,0.89,254,102,152,273,1863,4.09,0.41
1629618,Jalen Pickett,new_in_after,,0.04,,,103,,,169,-0.09,1.21
1627814,Damion Lee,matched,-1.22,0.04,1.26,273,104,169,70,153,-0.76,-2.78
1628973,Jalen Brunson,matched,0.75,0.03,-0.72,89,105,-16,375,3771,-2.26,0.15
1630532,Franz Wagner,matched,2.31,0.03,-2.28,11,106,-95,463,3348,-0.69,-3.06
201939,Stephen Curry,matched,2.03,0.03,-2,21,107,-86,356,2772,-3.03,4.41
1630577,Julian Champagnie,matched,-0.56,0.03,0.59,214,108,106,331,3257,0.04,1.13
1629674,Neemias Queta,matched,-0.68,0.03,0.71,232,109,123,67,1517,1.91,3.64
1629652,Luguentz Dort,matched,0.72,0.03,-0.69,91,110,-19,385,3224,0.27,0.23
1626166,Cameron Payne,matched,-0.11,0.02,0.13,160,111,49,205,1413,-2.02,1.36
1630591,Jalen Suggs,matched,1.15,0.02,-1.13,58,112,-54,389,3394,-4.4,-4.84
1628991,Jaren Jackson Jr.,matched,1.8,0.02,-1.78,34,113,-79,237,3323,3.28,0.57
1630288,Jeff Dowtin Jr.,new_in_after,,0.01,,,114,,,332,-0.55,-3.24
1629661,Cameron Johnson,matched,-1.43,0.01,1.44,282,115,167,397,3367,-0.89,8.87
1627747,Caris LeVert,matched,2.02,0.01,-2.01,23,116,-93,365,2162,2.93,5.2
1629660,Ty Jerome,matched,0.23,0.01,-0.22,130,117,13,242,1939,2.4,3.18
1630573,Sam Hauser,matched,1.04,0,-1.04,65,118,-53,67,1843,-1.7,5.63
1627739,Kris Dunn,matched,1.55,0,-1.55,45,119,-74,279,2623,0.47,-3.45
1630224,Jalen Green,matched,0.63,0,-0.63,99,120,-21,570,3489,-6.04,-3.81
1631117,Walker Kessler,matched,-0.04,0,0.04,153,121,32,221,2456,7.28,11
201942,DeMar DeRozan,matched,0.96,0,-0.96,73,122,-49,474,3464,-0.31,-7.45
203084,Harrison Barnes,matched,-0.75,0,0.75,240,123,117,347,3231,2.9,1.85
1628371,Jonathan Isaac,new_in_after,,-0.01,,,124,,,1575,3.19,-1.78
1629651,Nic Claxton,matched,2.42,-0.01,-2.43,5,125,-120,220,2073,5.2,2.84
1642277,Johnny Furphy,new_in_after,,-0.01,,,126,,,750,-1.31,-0.46
1628470,Torrey Craig,new_in_after,,-0.01,,,127,,,280,-0.7,2.56
1641738,Kobe Brown,new_in_after,,-0.01,,,128,,,195,0.22,-0.89
1630231,KJ Martin,matched,-0.59,-0.02,0.57,216,129,87,256,1630,1.88,7.1
1629631,De'Andre Hunter,matched,1.02,-0.02,-1.04,68,130,-62,263,1995,-0.98,4.99
202066,Garrett Temple,new_in_after,,-0.02,,,131,,,155,-0.22,-1.25
1630188,Jalen Smith,matched,1.01,-0.02,-1.03,70,132,-62,255,1710,1.97,0.5
1629630,Ja Morant,matched,-0.54,-0.02,0.52,212,133,79,365,2107,-2.1,-4.66
1631131,Oscar Tshiebwe,new_in_after,,-0.02,,,134,,,68,0,0
1630549,Day'Ron Sharpe,new_in_after,,-0.02,,,135,,,382,0.95,-2.2
1626167,Myles Turner,matched,-0.59,-0.03,0.56,218,136,82,498,3371,-0.02,0.89
1631218,Trayce Jackson-Davis,matched,0.61,-0.03,-0.64,101,137,-36,258,1883,3.92,2.15
1628378,Donovan Mitchell,matched,2.07,-0.03,-2.1,18,138,-120,482,3454,-1.8,-1.9
1629111,Jock Landale,matched,-1.05,-0.03,1.02,264,139,125,123,704,0.66,-2.07
1631386,Tazé Moore,new_in_after,,-0.03,,,140,,,89,0.01,-2.03
1626172,Kevon Looney,matched,1.06,-0.04,-1.1,61,141,-80,215,1595,2.96,-1.51
1628370,Malik Monk,matched,0.53,-0.04,-0.57,105,142,-37,321,2582,-2.17,1.19
1628983,Shai Gilgeous-Alexander,matched,1.98,-0.04,-2.02,24,143,-119,472,3786,-0.07,1.92
1629057,Robert Williams III,new_in_after,,-0.04,,,144,,,679,2.51,6.32
1629021,Moritz Wagner,matched,-1.02,-0.05,0.97,262,145,117,243,2275,1.52,5.65
1629636,Darius Garland,matched,0.69,-0.05,-0.74,95,146,-51,486,3303,0.49,0.7
1642377,Jaylen Wells,matched,-2.36,-0.05,2.31,315,147,168,331,2827,-0.63,3.08
1630198,Isaiah Joe,matched,0.49,-0.05,-0.54,106,148,-42,185,2159,-3.21,3.5
1641733,Nick Smith Jr.,new_in_after,,-0.05,,,149,,,474,-1.73,-3.98
1642285,Cam Spencer,new_in_after,,-0.05,,,150,,,299,0.19,1.38
1630162,Anthony Edwards,matched,0.67,-0.06,-0.73,97,151,-54,498,3736,-2.84,2.12
1630534,Ochai Agbaji,matched,-0.93,-0.06,0.87,259,152,107,344,3625,4.34,5.31
1631106,Tari Eason,matched,-0.17,-0.06,0.11,176,153,23,292,2245,3.78,-2.79
1627750,Jamal Murray,matched,0.75,-0.06,-0.81,90,154,-64,300,2994,-4.42,-3.32
1631128,Christian Braun,matched,1.16,-0.06,-1.22,57,155,-98,259,3481,1.4,5.31
203497,Rudy Gobert,matched,0.04,-0.07,-0.11,148,156,-8,448,3590,6.4,4.64
1628368,De'Aaron Fox,matched,0.93,-0.07,-1,75,157,-82,479,4286,-0.35,-3.49
1629638,Nickeil Alexander-Walker,matched,1.74,-0.08,-1.82,36,158,-122,252,2525,1.4,6.25
1630579,Jericho Sims,matched,1.22,-0.08,-1.3,55,159,-104,159,1271,1.45,2.71
1626164,Devin Booker,matched,-0.12,-0.08,0.04,163,160,3,591,3906,-2.04,-3.84
1629599,Amir Coffey,matched,0.94,-0.08,-1.02,74,161,-87,273,2782,0.87,6.22
203952,Andrew Wiggins,matched,0.84,-0.08,-0.92,81,162,-81,342,2679,-1.2,3
1627780,Gary Payton II,matched,2.29,-0.08,-2.37,13,163,-150,179,1329,2.33,-0.98
1641708,Amen Thompson,matched,-0.82,-0.08,0.74,252,164,88,354,2941,2.23,1.97
1630583,Santi Aldama,matched,-1.41,-0.08,1.33,281,165,116,476,3124,3.11,3.96
1626158,Richaun Holmes,new_in_after,,-0.08,,,166,,,66,0.31,0.11
201950,Jrue Holiday,matched,0.64,-0.09,-0.73,98,167,-69,524,3085,-1.48,-2.42
101108,Chris Paul,matched,-1.32,-0.09,1.23,276,168,108,348,3195,-0.98,0.88
1628427,Vlatko Čančar,new_in_after,,-0.09,,,169,,,146,-0.2,0.79
1641745,Adam Flagler,new_in_after,,-0.09,,,170,,,150,-0.54,-2.89
1630530,Trey Murphy III,new_in_after,,-0.1,,,171,,,2181,-4.22,1.57
203081,Damian Lillard,matched,-0.63,-0.11,0.52,223,172,51,578,3119,-3.33,1.62
1630658,Colin Castleton,new_in_after,,-0.11,,,173,,,70,0.02,-1.1
1642261,Dalton Knecht,matched,1.53,-0.12,-1.65,46,174,-128,248,2517,-1.6,2.49
1626145,Tyus Jones,matched,-1.11,-0.12,0.99,266,175,91,521,3401,-0.14,6.3
1628420,Monté Morris,matched,0.81,-0.12,-0.93,83,176,-93,198,1067,-1.29,-1.18
1630611,Gui Santos,matched,1.6,-0.12,-1.72,42,177,-135,51,134,-0.24,-0.2
1630567,Scottie Barnes,matched,-1.71,-0.12,1.59,293,178,115,415,2111,-2.34,-1.98
1641717,Cason Wallace,matched,2.09,-0.12,-2.21,17,179,-162,315,2784,0.27,-2.57
1631209,Isaiah Wong,new_in_after,,-0.12,,,180,,,326,-1.36,-0.48
1631260,AJ Green,matched,0.48,-0.13,-0.61,107,181,-74,138,1986,0.57,9.87
1630625,Dalano Banton,matched,-0.71,-0.13,0.58,236,182,54,61,1652,-1.07,-3.19
1627777,Georges Niang,matched,0.71,-0.13,-0.84,92,183,-91,284,2358,-0.63,2.56
1628467,Maxi Kleber,matched,0.21,-0.13,-0.34,131,184,-53,114,1096,0.44,-4.04
1631466,Nate Williams,new_in_after,,-0.13,,,185,,,51,-0.17,1.33
1629006,Josh Okogie,new_in_after,,-0.13,,,186,,,832,0.37,2.18
1630227,Daishen Nix,new_in_after,,-0.13,,,187,,,57,-0.02,-0.53
2544,LeBron James,matched,-0.34,-0.14,0.2,194,188,6,587,3592,-0.2,-1.31
1627884,Derrick Jones Jr.,matched,-0.55,-0.14,0.41,213,189,24,388,2676,1.6,3.25
201935,James Harden,matched,0.2,-0.14,-0.34,132,190,-58,481,3753,-5.87,-3.39
1630598,Aaron Wiggins,matched,1.08,-0.14,-1.22,60,191,-131,260,2192,1.11,-1.02
1628404,Josh Hart,matched,0.46,-0.15,-0.61,111,192,-81,393,3825,3.47,8.89
1626220,Royce O'Neale,matched,3.92,-0.15,-4.07,1,193,-192,420,2776,-1.24,8.45
1630228,Jonathan Kuminga,matched,-0.39,-0.15,0.24,199,194,5,279,2490,-3.32,-5.47
1631111,Wendell Moore Jr.,new_in_after,,-0.15,,,195,,,702,0.11,0.23
1642354,KJ Simpson,new_in_after,,-0.15,,,196,,,476,-0.06,-6.1
1641810,Antonio Reeves,new_in_after,,-0.16,,,197,,,557,-1.37,-2.01
1631165,Keon Ellis,matched,-1.67,-0.16,1.51,290,198,92,109,2329,0.09,3.73
1626204,Larry Nance Jr.,matched,-0.73,-0.16,0.57,239,199,40,97,852,2.27,9.85
1631109,Mark Williams,new_in_after,,-0.16,,,200,,,352,1.34,2.76
1628384,OG Anunoby,matched,0.39,-0.17,-0.56,113,201,-88,443,3977,0.17,-1.77
1641744,Zach Edey,matched,-2.26,-0.17,2.09,312,202,110,289,1429,5.76,5.17
203935,Marcus Smart,matched,-0.12,-0.17,-0.05,165,203,-38,429,1805,-3.34,-3.71
202691,Klay Thompson,matched,1.44,-0.17,-1.61,47,204,-157,252,2650,-0.18,0.12
1627936,Alex Caruso,matched,2.38,-0.17,-2.55,7,205,-198,289,1500,-2,-1.92
1631245,Quenton Jackson,new_in_after,,-0.17,,,206,,,1018,0.95,0.62
1629162,Jordan McLaughlin,new_in_after,,-0.17,,,207,,,623,-1.17,-1.84
1641724,Jett Howard,matched,-1.71,-0.18,1.53,292,208,84,156,1207,-2.01,-1.41
1642270,Donovan Clingan,matched,-0.11,-0.18,-0.07,161,209,-48,206,1342,3.57,-0.25
1630592,Jalen Wilson,matched,-0.25,-0.19,0.06,184,210,-26,274,2601,-3.47,-3.07
1630191,Isaiah Stewart,matched,-0.08,-0.19,-0.11,157,211,-54,291,2442,3.41,0.96
1641706,Brandon Miller,new_in_after,,-0.19,,,212,,,3080,-3.99,-0.32
1629656,Quentin Grimes,matched,0.06,-0.19,-0.25,145,213,-68,80,2151,-0.75,4.4
1630169,Tyrese Haliburton,matched,-0.82,-0.2,0.62,251,214,37,541,4098,-5.52,2.88
1631097,Bennedict Mathurin,matched,-0.58,-0.2,0.38,215,215,0,356,3815,1.01,-4.33
202704,Reggie Jackson,new_in_after,,-0.2,,,216,,,495,-1.43,2.1
1627736,Malik Beasley,matched,-0.06,-0.21,-0.15,155,217,-62,406,3401,-3.44,6.31
1642345,Oso Ighodaro,matched,-0.61,-0.21,0.4,221,218,3,110,1361,1.36,2.2
1641712,Rayan Rupert,matched,-0.13,-0.21,-0.08,167,219,-52,148,987,0.99,-1.76
1630241,Sam Merrill,matched,1.88,-0.21,-2.09,31,220,-189,304,1968,-3.01,-1.77
1630163,LaMelo Ball,matched,0.86,-0.21,-1.07,79,221,-142,428,2808,-3.23,-2.28
1627824,Guerschon Yabusele,matched,0.07,-0.22,-0.29,144,222,-78,247,2273,0.16,3.39
1626181,Norman Powell,matched,-0.32,-0.22,0.1,193,223,-30,409,2777,0.89,8.83
1627759,Jaylen Brown,matched,1,-0.23,-1.23,71,224,-153,572,3226,-5.81,-3.07
1642349,Ajay Mitchell,matched,0.48,-0.23,-0.71,109,225,-116,159,1645,0.21,-0.12
1642275,Tidjane Salaün,new_in_after,,-0.23,,,226,,,1719,-4.17,-5.77
1641789,Jazian Gortman,new_in_after,,-0.23,,,227,,,106,-0.33,0.03
1629130,Duncan Robinson,matched,1.92,-0.24,-2.16,26,228,-202,211,2208,-4.18,3.34
1631099,Keegan Murray,matched,1.04,-0.24,-1.28,66,229,-163,436,3963,-1.79,-4.94
1629628,RJ Barrett,new_in_after,,-0.24,,,230,,,3318,-2.62,-3.63
1630178,Tyrese Maxey,matched,0.13,-0.25,-0.38,138,231,-93,538,2709,-5.61,-3.55
201572,Brook Lopez,matched,-0.17,-0.25,-0.08,175,232,-57,513,3216,-2.21,3.37
1630700,Dyson Daniels,matched,-0.26,-0.25,0.01,186,233,-47,536,3647,0.23,-6.26
1629028,Deandre Ayton,matched,-0.8,-0.25,0.55,249,234,15,561,2284,3.95,0.93
203937,Kyle Anderson,matched,0.35,-0.25,-0.6,117,235,-118,166,1512,-1.62,-3.07
1631133,Jabari Walker,matched,0.15,-0.25,-0.4,137,236,-99,220,956,0.45,-4.88
1641871,Duop Reath,new_in_after,,-0.25,,,237,,,350,-0.72,0.05
1628998,Cody Martin,matched,0.69,-0.25,-0.94,96,238,-142,312,2890,-1.85,-1.65
1628381,John Collins,matched,-1.55,-0.25,1.3,288,239,49,178,3121,1.56,4.95
1631222,Jake LaRavia,matched,-0.66,-0.25,0.41,227,240,-13,438,2716,1.16,1.43
1629640,Keldon Johnson,matched,-0.75,-0.25,0.5,241,241,0,332,2513,-2.58,-2.51
1630200,Tre Jones,matched,0.11,-0.25,-0.36,141,242,-101,64,627,-0.29,-3.82
1641775,Jordan Walsh,matched,-0.6,-0.25,0.35,220,243,-23,93,620,-1.44,-3.94
1630811,Keaton Wallace,new_in_after,,-0.25,,,244,,,838,-0.82,-2.73
1630167,Obi Toppin,matched,-1.47,-0.26,1.21,283,245,38,308,2360,1.63,6
203110,Draymond Green,matched,1.31,-0.26,-1.57,50,246,-196,289,2882,-2.67,-0.3
1627751,Jakob Pöltl,matched,-0.36,-0.26,0.1,196,247,-51,353,3512,8.41,1.09
1641725,Trey Alexander,new_in_after,,-0.26,,,248,,,189,-0.39,-2.74
1631132,Christian Koloko,new_in_after,,-0.26,,,249,,,709,1.32,0.31
1626171,Bobby Portis,matched,-1.8,-0.27,1.53,296,250,46,441,2283,1.61,-2.6
1642272,Jared McCain,matched,-1.82,-0.27,1.55,297,251,46,105,2392,-2.71,1.97
1630552,Jalen Johnson,matched,-0.22,-0.27,-0.05,179,252,-73,608,3949,-0.31,1.87
1630590,Scotty Pippen Jr.,matched,-1.79,-0.27,1.52,294,253,41,398,2626,-0.4,-3.03
203915,Spencer Dinwiddie,new_in_after,,-0.27,,,254,,,2309,-4.75,-0.84
1629098,Jack McVeigh,new_in_after,,-0.27,,,255,,,100,-0.31,-1.65
203901,Elfrid Payton,new_in_after,,-0.27,,,256,,,518,-0.98,-0.87
204001,Kristaps Porziņģis,new_in_after,,-0.27,,,257,,,960,-0.81,-0.5
1630183,Jaden McDaniels,matched,-0.78,-0.28,0.5,243,258,-15,317,3097,0.28,-2.81
1628969,Mikal Bridges,matched,-1.68,-0.28,1.4,291,259,32,430,4167,2.14,1.22
203926,Doug McDermott,new_in_after,,-0.28,,,260,,,724,-2.47,4.46
203939,Dwight Powell,new_in_after,,-0.28,,,261,,,603,0.42,2.27
1631212,Peyton Watson,matched,-2.22,-0.28,1.94,310,262,48,113,2686,-3.13,2.93
1627752,Taurean Prince,matched,-1.36,-0.29,1.07,277,263,14,526,2676,1.01,6.94
1642402,Enrique Freeman,matched,0.25,-0.29,-0.54,126,264,-138,66,504,-0.47,-0.36
1630171,Isaac Okoro,matched,-0.69,-0.29,0.4,233,265,-32,265,2022,-0.09,4.33
1628374,Lauri Markkanen,matched,0.02,-0.29,-0.31,150,266,-116,263,2794,-0.94,3.16
1630548,Johnny Juzang,new_in_after,,-0.29,,,267,,,1503,-1.65,1.41
203484,Kentavious Caldwell-Pope,matched,1.69,-0.3,-1.99,39,268,-229,428,3410,-3.74,-1.51
1629003,Shake Milton,matched,-0.49,-0.3,0.19,206,269,-63,105,1614,-1.52,0.51
1631105,Jalen Duren,matched,-0.44,-0.3,0.14,203,270,-67,451,2416,8.16,6.68
203486,Mason Plumlee,matched,2.34,-0.3,-2.64,10,271,-261,272,1700,2.41,-0.09
1630166,Deni Avdija,matched,-1.06,-0.3,0.76,265,272,-7,498,2984,-3.86,1.94
1631217,Moussa Diabaté,matched,0.77,-0.3,-1.07,88,273,-185,133,1881,3.56,1.59
1630550,JT Thor,new_in_after,,-0.3,,,274,,,85,0,3.8
203482,Kelly Olynyk,new_in_after,,-0.3,,,275,,,293,-0.9,-2.89
1630540,Miles McBride,matched,0.31,-0.31,-0.62,118,276,-158,300,2284,-0.24,1.69
1642274,Yves Missi,matched,0.12,-0.31,-0.43,140,277,-137,230,2820,7.68,-0.11
1631110,Jeremy Sochan,matched,-1.22,-0.31,0.91,272,278,-6,401,1754,1.23,-0.66
1629726,Garrison Mathews,matched,-1.83,-0.31,1.52,298,279,19,304,1396,-0.91,4.39
1630194,Paul Reed,new_in_after,,-0.31,,,280,,,645,0.21,1.32
1631107,Nikola Jović,matched,-0.41,-0.32,0.09,200,281,-81,278,1108,-0.53,1.38
1627732,Ben Simmons,matched,-2.06,-0.32,1.74,306,282,24,316,2068,1.41,2.08
1628970,Miles Bridges,matched,1.06,-0.32,-1.38,63,283,-220,395,1733,-1.62,-3.41
1631103,Malaki Branham,matched,1.9,-0.32,-2.22,30,284,-254,150,1044,0.37,-1.82
1629060,Rui Hachimura,matched,2.18,-0.33,-2.51,14,285,-271,585,2849,1.55,1.29
1628978,Donte DiVincenzo,matched,-0.5,-0.33,0.17,208,286,-78,333,2711,-5.92,-1.37
1629632,Coby White,matched,0.55,-0.33,-0.88,103,287,-184,579,3684,-2.68,-0.34
1630581,Josh Giddey,matched,-0.31,-0.33,-0.02,191,288,-97,476,3140,-1.84,-3.4
1630245,Ayo Dosunmu,matched,0.71,-0.33,-1.04,93,289,-196,476,3676,-1.75,3.02
203903,Jordan Clarkson,matched,-0.9,-0.33,0.57,258,290,-32,206,1690,-4.38,-3.03
1641783,Tristan da Silva,new_in_after,,-0.34,,,291,,,2376,-2.74,-2.32
1630168,Onyeka Okongwu,matched,-1.16,-0.34,0.82,271,292,-21,364,2604,4.63,-0.78
203078,Bradley Beal,matched,-0.24,-0.34,-0.1,183,293,-110,454,2198,-0.66,2.37
201587,Nicolas Batum,matched,2.37,-0.34,-2.71,8,294,-286,249,2064,-1.43,-0.11
