player,playerId,teamId,position,positionSource,primaryArchetype,archetypeConfidence,secondaryArchetype,rawDRBL,posteriorDRBL,posteriorReliability,calibrationIntercept,calibrationSlope,finalAbilityDRBL100,actualOnCourtPossessions,replacementLevelDRBL100,aboveReplacementRate,pointsPerWin,DRBL_WAA,DRBL_WAR,oldDisplayedWAR,newDisplayedWAR,warChange,oldRank,newAbilityRank,newWaaRank,newWarRank,modelVersion,calibrationVersion,replacementVersion,warFormulaVersion
Nikola Vučević,202696,1610612741,UNKNOWN,unavailable,finisher,0.8729,creator,0.8572,0.4312,0.9799,0,5.835417,2.516232,9771,-1.488615,4.004846,38.714286,6.350653,10.10773,2.79,10.10773,7.31773,31,96,30,27,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Tyrese Haliburton,1630169,1610612754,UNKNOWN,unavailable,finisher,0.8341,creator,0.8411,-0.1862,0.9801,0,5.835417,-1.086555,9847,-1.488615,0.40206,38.714286,-2.763658,1.022642,2.76,1.022642,-1.737358,32,313,447,231,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Kyrie Irving,202681,1610612742,UNKNOWN,unavailable,finisher,0.862,creator,1.0784,0.3701,0.9739,0,5.835417,2.159688,7454,-1.488615,3.648302,38.714286,4.158236,7.024396,2.68,7.024396,4.344396,33,117,70,64,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Daniel Gafford,1629655,1610612742,UNKNOWN,unavailable,finisher,0.8522,creator,1.5596,0.6834,0.9626,0,5.835417,3.987924,5145,-1.488615,5.476538,38.714286,5.299818,7.278138,2.67,7.278138,4.608138,34,42,48,58,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Jaden McDaniels,1630183,1610612750,UNKNOWN,unavailable,finisher,0.825,creator,0.7592,0.3435,0.9814,0,5.835417,2.004466,10534,-1.488615,3.49308,38.714286,5.45407,9.50453,2.67,9.50453,6.83453,35,129,46,32,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Rui Hachimura,1629060,1610612747,UNKNOWN,unavailable,finisher,0.8941,creator,1.0483,0.3896,0.974,0,5.835417,2.273478,7480,-1.488615,3.762093,38.714286,4.392595,7.268753,2.61,7.268753,4.658753,36,112,65,59,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Zach LaVine,203897,1610612741,UNKNOWN,unavailable,finisher,0.8669,creator,0.7166,0.6579,0.982,0,5.835417,3.839121,10890,-1.488615,5.327735,38.714286,10.79912,14.986467,2.6,14.986467,12.386467,37,50,13,10,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Dillon Brooks,1628415,1610612745,UNKNOWN,unavailable,finisher,0.895,creator,0.809,0.1273,0.9794,0,5.835417,0.742849,9518,-1.488615,2.231463,38.714286,1.826311,5.486106,2.57,5.486106,2.916106,38,183,121,88,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Zion Williamson,1629627,1610612740,UNKNOWN,unavailable,finisher,0.7482,creator,2.0876,0.7584,0.948,0,5.835417,4.42558,3647,-1.488615,5.914195,38.714286,4.169027,5.571346,2.54,5.571346,3.031346,39,37,69,85,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Ochai Agbaji,1630534,1610612761,UNKNOWN,unavailable,finisher,0.8877,creator,1.0336,0.3991,0.9735,0,5.835417,2.328915,7355,-1.488615,3.81753,38.714286,4.424508,7.252602,2.53,7.252602,4.722602,40,108,64,61,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Tyler Herro,1629639,1610612748,UNKNOWN,unavailable,finisher,0.8299,creator,0.6898,0.0687,0.982,0,5.835417,0.400893,10901,-1.488615,1.889508,38.714286,1.128817,5.320394,2.51,5.320394,2.810394,41,207,149,94,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Cameron Johnson,1629661,1610612751,UNKNOWN,unavailable,finisher,0.7968,creator,1.0392,0.5644,0.973,0,5.835417,3.293509,7215,-1.488615,4.782124,38.714286,6.137959,8.91222,2.5,8.91222,6.41222,42,69,36,39,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Jakob Pöltl,1627751,1610612761,UNKNOWN,unavailable,finisher,0.7875,creator,1.0462,0.1848,0.9725,0,5.835417,1.078385,7060,-1.488615,2.567,38.714286,1.96656,4.681222,2.46,4.681222,2.221222,43,164,115,105,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Luke Kornet,1628436,1610612738,UNKNOWN,unavailable,finisher,0.8703,creator,1.3802,0.7805,0.9636,0,5.835417,4.554543,5296,-1.488615,6.043157,38.714286,6.23048,8.266861,2.44,8.266861,5.826861,44,36,33,45,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Chris Boucher,1628449,1610612761,UNKNOWN,unavailable,finisher,0.8127,creator,2.0391,1.2006,0.9453,0,5.835417,7.006001,3459,-1.488615,8.494616,38.714286,6.259642,7.589673,2.35,7.589673,5.239673,45,12,32,56,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Derrick Jones Jr.,1627884,1610612746,UNKNOWN,unavailable,finisher,0.8453,creator,0.8821,0.4192,0.9748,0,5.835417,2.446207,7733,-1.488615,3.934821,38.714286,4.886185,7.859624,2.27,7.859624,5.589624,46,102,55,51,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Deni Avdija,1630166,1610612757,UNKNOWN,unavailable,finisher,0.7905,creator,0.7592,0.0391,0.9782,0,5.835417,0.228165,8956,-1.488615,1.71678,38.714286,0.527827,3.971526,2.27,3.971526,1.701526,47,218,175,123,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
John Collins,1628381,1610612762,UNKNOWN,unavailable,finisher,0.828,creator,1.3288,0.6063,0.9624,0,5.835417,3.538013,5113,-1.488615,5.026628,38.714286,4.672658,6.638673,2.26,6.638673,4.378673,48,61,60,69,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Darius Garland,1629636,1610612739,UNKNOWN,unavailable,finisher,0.8552,creator,0.7003,0.4311,0.9798,0,5.835417,2.515648,9684,-1.488615,4.004263,38.714286,6.292648,10.016272,2.26,10.016272,7.756272,49,97,31,28,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Sam Hauser,1630573,1610612738,UNKNOWN,unavailable,finisher,0.9647,creator,1.1216,0.4259,0.9679,0,5.835417,2.485304,6035,-1.488615,3.973919,38.714286,3.874231,6.194767,2.26,6.194767,3.934767,50,99,74,74,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Amen Thompson,1641708,1610612745,UNKNOWN,unavailable,finisher,0.7375,creator,0.7403,0.0978,0.9784,0,5.835417,0.570704,9080,-1.488615,2.059319,38.714286,1.338521,4.8299,2.24,4.8299,2.5899,51,193,138,103,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Kevin Durant,201142,1610612756,UNKNOWN,unavailable,finisher,0.8262,creator,0.7265,0.3034,0.9788,0,5.835417,1.770465,9248,-1.488615,3.25908,38.714286,4.229256,7.785233,2.24,7.785233,5.545233,52,135,67,52,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Onyeka Okongwu,1630168,1610612737,UNKNOWN,unavailable,finisher,0.779,creator,0.7473,0.4499,0.9781,0,5.835417,2.625354,8921,-1.488615,4.113969,38.714286,6.049649,9.479889,2.22,9.479889,7.259889,53,95,38,34,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Kristaps Porziņģis,204001,1610612738,UNKNOWN,unavailable,finisher,0.7896,creator,1.3021,0.4905,0.9618,0,5.835417,2.862272,5035,-1.488615,4.350887,38.714286,3.722538,5.658561,2.19,5.658561,3.468561,54,85,77,83,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Damian Lillard,203081,1610612749,UNKNOWN,unavailable,finisher,0.6828,creator,0.7697,0.1172,0.9771,0,5.835417,0.683911,8516,-1.488615,2.172526,38.714286,1.504402,4.778915,2.19,4.778915,2.588915,55,185,129,104,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Brandon Clarke,1629634,1610612763,UNKNOWN,unavailable,finisher,0.8626,creator,1.225,0.4625,0.9636,0,5.835417,2.69888,5288,-1.488615,4.187495,38.714286,3.686411,5.719716,2.16,5.719716,3.559716,56,92,79,80,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Alex Caruso,1627936,1610612760,UNKNOWN,unavailable,finisher,0.5875,defender,1.4982,0.726,0.9552,0,5.835417,4.236512,4268,-1.488615,5.725127,38.714286,4.670481,6.311583,2.13,6.311583,4.181583,57,40,61,73,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Trey Murphy III,1630530,1610612740,UNKNOWN,unavailable,finisher,0.8235,creator,0.8141,0.4875,0.9751,0,5.835417,2.844766,7827,-1.488615,4.33338,38.714286,5.75136,8.760944,2.12,8.760944,6.640944,58,86,43,41,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Gary Trent Jr.,1629018,1610612749,UNKNOWN,unavailable,finisher,0.8692,creator,0.818,0.2437,0.9748,0,5.835417,1.422091,7728,-1.488615,2.910706,38.714286,2.838725,5.810241,2.11,5.810241,3.700241,59,148,90,78,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Mark Williams,1631109,1610612766,UNKNOWN,unavailable,finisher,0.7765,creator,1.2984,0.8354,0.9602,0,5.835417,4.874907,4827,-1.488615,6.363522,38.714286,6.078164,7.934208,2.09,7.934208,5.844208,60,30,37,50,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Desmond Bane,1630217,1610612763,UNKNOWN,unavailable,finisher,0.8777,creator,0.6535,0.0196,0.9794,0,5.835417,0.114374,9508,-1.488615,1.602989,38.714286,0.280896,3.936846,2.07,3.936846,1.866846,61,225,195,125,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Justin Champagnie,1630551,1610612764,UNKNOWN,unavailable,finisher,0.8139,creator,1.1111,0.8972,0.9648,0,5.835417,5.235536,5479,-1.488615,6.724151,38.714286,7.409539,9.516286,2.03,9.516286,7.486286,62,25,25,31,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Luka Dončić,1629029,1610612742,UNKNOWN,unavailable,finisher,0.6921,creator,0.8165,0.2337,0.9736,0,5.835417,1.363737,7368,-1.488615,2.852352,38.714286,2.595428,5.42852,2.01,5.42852,3.41852,63,150,98,90,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Domantas Sabonis,1627734,1610612758,UNKNOWN,unavailable,finisher,0.8441,creator,0.5931,0.3824,0.9806,0,5.835417,2.231463,10119,-1.488615,3.720078,38.714286,5.832518,9.723406,2,9.723406,7.723406,64,114,42,29,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Cason Wallace,1641717,1610612760,UNKNOWN,unavailable,finisher,0.7906,defender,0.7636,0.2729,0.9747,0,5.835417,1.592485,7701,-1.488615,3.0811,38.714286,3.167753,6.128888,1.96,6.128888,4.168888,65,137,86,75,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Jalen Duren,1631105,1610612765,UNKNOWN,unavailable,finisher,0.8415,creator,0.6982,0.3907,0.9767,0,5.835417,2.279897,8369,-1.488615,3.768512,38.714286,4.928532,8.146522,1.95,8.146522,6.196522,66,111,54,46,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Goga Bitadze,1629048,1610612753,UNKNOWN,unavailable,finisher,0.6713,creator,1.0343,0.7243,0.9658,0,5.835417,4.226592,5644,-1.488615,5.715207,38.714286,6.161779,8.33197,1.95,8.33197,6.38197,67,41,34,43,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Miles Bridges,1628970,1610612766,UNKNOWN,unavailable,finisher,0.7391,creator,0.6839,0.4688,0.9766,0,5.835417,2.735643,8345,-1.488615,4.224258,38.714286,5.896775,9.105536,1.9,9.105536,7.205536,68,90,41,37,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Seth Curry,203552,1610612766,UNKNOWN,unavailable,finisher,0.8978,creator,1.3126,0.9175,0.9557,0,5.835417,5.353995,4319,-1.488615,6.84261,38.714286,5.972964,7.633676,1.89,7.633676,5.743676,69,23,39,55,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Jabari Walker,1631133,1610612757,UNKNOWN,unavailable,finisher,0.6778,defender,1.8049,0.8743,0.9401,0,5.835417,5.101905,3140,-1.488615,6.59052,38.714286,4.138002,5.345373,1.89,5.345373,3.455373,70,27,71,93,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Aaron Gordon,203932,1610612743,UNKNOWN,unavailable,finisher,0.8392,creator,0.9402,0.3677,0.9676,0,5.835417,2.145683,5970,-1.488615,3.634297,38.714286,3.308785,5.604328,1.87,5.604328,3.734328,71,120,83,84,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Jayson Tatum,1628369,1610612738,UNKNOWN,unavailable,finisher,0.7731,creator,0.5173,0.4024,0.9815,0,5.835417,2.348172,10587,-1.488615,3.836786,38.714286,6.421426,10.492266,1.83,10.492266,8.662266,72,106,29,25,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Ausar Thompson,1641709,1610612765,UNKNOWN,unavailable,finisher,0.5832,defender,0.9746,0.6755,0.965,0,5.835417,3.941824,5515,-1.488615,5.430439,38.714286,5.615281,7.73587,1.79,7.73587,5.94587,73,44,44,53,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Kai Jones,1630539,1610612746,UNKNOWN,unavailable,finisher,0.8065,defender,2.8355,0.5333,0.9039,0,5.835417,3.112028,1881,-1.488615,4.600642,38.714286,1.512032,2.235301,1.78,2.235301,0.455301,74,75,128,169,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Gary Payton II,1627780,1610612744,UNKNOWN,unavailable,finisher,0.9234,creator,1.4066,0.2185,0.9499,0,5.835417,1.275039,3791,-1.488615,2.763653,38.714286,1.24855,2.706239,1.78,2.706239,0.926239,75,155,143,151,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Tobias Harris,202699,1610612765,UNKNOWN,unavailable,finisher,0.8495,creator,0.5639,0.0881,0.9792,0,5.835417,0.5141,9425,-1.488615,2.002715,38.714286,1.251578,4.875613,1.77,4.875613,3.105613,76,197,142,101,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Josh Okogie,1629006,1610612756,UNKNOWN,unavailable,finisher,0.4205,defender,2.081,1.3065,0.9266,0,5.835417,7.623972,2524,-1.488615,9.112587,38.714286,4.970492,5.941003,1.75,5.941003,4.191003,77,8,52,76,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Derrick White,1628401,1610612738,UNKNOWN,unavailable,finisher,0.8648,creator,0.4988,0.2355,0.9812,0,5.835417,1.374241,10451,-1.488615,2.862855,38.714286,3.70979,7.728336,1.74,7.728336,5.988336,78,149,78,54,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Sandro Mamukelashvili,1630572,1610612759,UNKNOWN,unavailable,finisher,0.8608,creator,1.922,1.0422,0.9306,0,5.835417,6.081671,2680,-1.488615,7.570286,38.714286,4.210042,5.240537,1.72,5.240537,3.520537,79,18,68,95,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Jalen Brunson,1628973,1610612752,UNKNOWN,unavailable,finisher,0.7858,creator,0.5316,0.1566,0.979,0,5.835417,0.913826,9338,-1.488615,2.402441,38.714286,2.204176,5.794759,1.65,5.794759,4.144759,80,172,109,79,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Obi Toppin,1630167,1610612754,UNKNOWN,unavailable,finisher,0.8638,creator,0.7606,0.3103,0.9696,0,5.835417,1.81073,6381,-1.488615,3.299345,38.714286,2.984497,5.438075,1.62,5.438075,3.818075,81,131,89,89,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Keldon Johnson,1629640,1610612759,UNKNOWN,unavailable,finisher,0.8099,creator,0.6356,0.2045,0.974,0,5.835417,1.193343,7505,-1.488615,2.681957,38.714286,2.313367,5.199138,1.59,5.199138,3.609138,82,159,105,96,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Jamal Murray,1627750,1610612743,UNKNOWN,unavailable,finisher,0.8514,creator,0.4723,0,0.9804,0,5.835417,0,10017,-1.488615,1.488615,38.714286,0,3.851667,1.58,3.851667,2.271667,83,232,232,130,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Michael Porter Jr.,1629008,1610612743,UNKNOWN,unavailable,finisher,0.8642,creator,0.4308,0.3044,0.9818,0,5.835417,1.776301,10812,-1.488615,3.264916,38.714286,4.960795,9.11815,1.55,9.11815,7.56815,84,134,53,36,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
Jaxson Hayes,1629637,1610612747,UNKNOWN,unavailable,finisher,0.8619,creator,0.9998,0.6704,0.9577,0,5.835417,3.912063,4526,-1.488615,5.400678,38.714286,4.573505,6.313811,1.51,6.313811,4.803811,85,46,62,72,4.0.0,team-net-loo-v1,fringe-posterior-calibrated-v1,4.0.0
