rank,playerId,playerName,team,posteriorDRBL100,rawDRBL100,calibratedDRBL100,replacementLevelDRBL100,aboveReplacementDRBL100,actualOnCourtPossessions,modelObservationCount,seasonImpactAboveReplacement,pointsPerWin,DRBL_WAR,warFormulaVersion,dataVersion,modelVersion
78,1628988,Aaron Holiday,1610612745,0.7791,3.2598,8.2115,0,8.2115,658,658,54.0316,38.7143,1.3957,3.0.0,drbl-ranking-v2-seq,2.2.0
79,1627747,Caris LeVert,1610612739,0.317,0.9259,2.3324,0,2.3324,2237,2237,52.1749,38.7143,1.3477,3.0.0,drbl-ranking-v2-seq,2.2.0
80,1631204,Marcus Sasser,1610612765,0.5895,2.1005,5.2912,0,5.2912,984,984,52.0654,38.7143,1.3449,3.0.0,drbl-ranking-v2-seq,2.2.0
81,203897,Zach LaVine,1610612741,0.2078,0.5696,1.4348,0,1.4348,3611,3611,51.8118,38.7143,1.3383,3.0.0,drbl-ranking-v2-seq,2.2.0
82,1627832,Fred VanVleet,1610612745,0.2083,0.5716,1.4399,0,1.4399,3569,3569,51.389,38.7143,1.3274,3.0.0,drbl-ranking-v2-seq,2.2.0
83,1629652,Luguentz Dort,1610612760,0.2273,0.6311,1.5898,0,1.5898,3223,3223,51.2377,38.7143,1.3235,3.0.0,drbl-ranking-v2-seq,2.2.0
84,1629026,Kenrich Williams,1610612760,0.6569,2.5208,6.3499,0,6.3499,804,804,51.0535,38.7143,1.3187,3.0.0,drbl-ranking-v2-seq,2.2.0
85,1630162,Anthony Edwards,1610612750,0.189,0.5158,1.2993,0,1.2993,3775,3775,49.0489,38.7143,1.2669,3.0.0,drbl-ranking-v2-seq,2.2.0
86,202692,Alec Burks,1610612748,0.6579,2.6598,6.7001,0,6.7001,710,710,47.5706,38.7143,1.2288,3.0.0,drbl-ranking-v2-seq,2.2.0
87,1641708,Amen Thompson,1610612745,0.2124,0.5925,1.4925,0,1.4925,3091,3091,46.1337,38.7143,1.1916,3.0.0,drbl-ranking-v2-seq,2.2.0
88,1629726,Garrison Mathews,1610612737,0.3523,1.109,2.7936,0,2.7936,1527,1527,42.6581,38.7143,1.1019,3.0.0,drbl-ranking-v2-seq,2.2.0
89,1628976,Wendell Carter Jr.,1610612753,0.3265,1.012,2.5492,0,2.5492,1636,1636,41.7057,38.7143,1.0773,3.0.0,drbl-ranking-v2-seq,2.2.0
90,1630167,Obi Toppin,1610612754,0.2539,0.7424,1.8701,0,1.8701,2219,2219,41.4979,38.7143,1.0719,3.0.0,drbl-ranking-v2-seq,2.2.0
91,203932,Aaron Gordon,1610612743,0.3246,1.008,2.5392,0,2.5392,1622,1622,41.1853,38.7143,1.0638,3.0.0,drbl-ranking-v2-seq,2.2.0
92,1627751,Jakob Pöltl,1610612761,0.1778,0.4922,1.2399,0,1.2399,3292,3292,40.8162,38.7143,1.0543,3.0.0,drbl-ranking-v2-seq,2.2.0
93,1630572,Sandro Mamukelashvili,1610612759,0.5916,2.488,6.2673,0,6.2673,651,651,40.8002,38.7143,1.0539,3.0.0,drbl-ranking-v2-seq,2.2.0
94,1631094,Paolo Banchero,1610612753,0.5142,2.0442,5.1494,0,5.1494,738,738,38.0024,38.7143,0.9816,3.0.0,drbl-ranking-v2-seq,2.2.0
95,1631217,Moussa Diabaté,1610612766,0.2536,0.7606,1.916,0,1.916,1924,1924,36.8632,38.7143,0.9522,3.0.0,drbl-ranking-v2-seq,2.2.0
96,1629057,Robert Williams III,1610612757,0.5291,2.2061,5.5572,0,5.5572,663,663,36.8443,38.7143,0.9517,3.0.0,drbl-ranking-v2-seq,2.2.0
97,1631213,Tyrese Martin,1610612751,0.4646,1.7648,4.4456,0,4.4456,825,825,36.6759,38.7143,0.9473,3.0.0,drbl-ranking-v2-seq,2.2.0
98,1631110,Jeremy Sochan,1610612759,0.2696,0.826,2.0807,0,2.0807,1728,1728,35.9546,38.7143,0.9287,3.0.0,drbl-ranking-v2-seq,2.2.0
99,1630198,Isaiah Joe,1610612760,0.2126,0.6242,1.5724,0,1.5724,2166,2166,34.0575,38.7143,0.8797,3.0.0,drbl-ranking-v2-seq,2.2.0
100,1631323,Simone Fontecchio,1610612765,0.2295,0.6859,1.7278,0,1.7278,1959,1959,33.8475,38.7143,0.8743,3.0.0,drbl-ranking-v2-seq,2.2.0
