season,rawCoverage,scoreboard,gameCompleteness,teamIds,playerIds,substitutions,lineupInitialization,rawLineupCompleteness,canonicalAttributionSupport,possessions,boxSupport,usage,three,starter,mpg,EPV,R1,stints
2009-10,FULL,FULL,FULL,FULL,FULL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,FULL,FULL,FULL,FULL,FULL,PARTIAL,PARTIAL,PARTIAL
2010-11,FULL,FULL,FULL,FULL,FULL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,FULL,FULL,FULL,FULL,FULL,PARTIAL,PARTIAL,PARTIAL
2011-12,FULL,FULL,FULL,FULL,FULL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,FULL,FULL,FULL,FULL,FULL,PARTIAL,PARTIAL,PARTIAL
2012-13,FULL,FULL,FULL,FULL,FULL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,FULL,FULL,FULL,FULL,FULL,PARTIAL,PARTIAL,PARTIAL
2013-14,FULL,FULL,FULL,FULL,FULL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,FULL,FULL,FULL,FULL,FULL,PARTIAL,PARTIAL,PARTIAL
2014-15,FULL,FULL,FULL,FULL,FULL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,FULL,FULL,FULL,FULL,FULL,PARTIAL,PARTIAL,PARTIAL
2015-16,FULL,FULL,FULL,FULL,FULL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,FULL,FULL,FULL,FULL,FULL,PARTIAL,PARTIAL,PARTIAL
2016-17,FULL,FULL,FULL,FULL,FULL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,FULL,FULL,FULL,FULL,FULL,PARTIAL,PARTIAL,PARTIAL
2017-18,FULL,FULL,FULL,FULL,FULL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,FULL,FULL,FULL,FULL,FULL,PARTIAL,PARTIAL,PARTIAL
2018-19,FULL,FULL,FULL,FULL,FULL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,FULL,FULL,FULL,FULL,FULL,PARTIAL,PARTIAL,PARTIAL
2019-20,FULL,PARTIAL,FULL,FULL,FULL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,FULL,FULL,FULL,FULL,FULL,PARTIAL,PARTIAL,PARTIAL
2020-21,FULL,FULL,FULL,FULL,FULL,PARTIAL,PARTIAL,CANONICAL_FALLBACK,CANONICAL_FALLBACK,PARTIAL,FULL,FULL,FULL,FULL,FULL,FULL,FULL,FULL
2021-22,FULL,FULL,FULL,FULL,FULL,PARTIAL,PARTIAL,CANONICAL_FALLBACK,CANONICAL_FALLBACK,PARTIAL,FULL,FULL,FULL,FULL,FULL,FULL,FULL,FULL
2022-23,FULL,FULL,FULL,FULL,FULL,PARTIAL,PARTIAL,CANONICAL_FALLBACK,CANONICAL_FALLBACK,PARTIAL,FULL,FULL,FULL,FULL,FULL,FULL,FULL,FULL
2023-24,FULL,FULL,FULL,FULL,FULL,PARTIAL,PARTIAL,CANONICAL_FALLBACK,CANONICAL_FALLBACK,PARTIAL,FULL,FULL,FULL,FULL,FULL,FULL,FULL,FULL
