season,band,rank_drbl100,player,playerId,teamId,P,LN,B,SDV,fusedRateRaw,posteriorAbilityRate,drbl100,fusionDelta,posteriorDelta,possessions
2024-25,top50,15,Dru Smith,1630696,1610612748,1.58,1.88,-0.05,-0.57,1.3691,1.1571,1.1571,-0.49629999999999996,-0.21199999999999997,1092
2024-25,top50,16,Grant Williams,1629684,1610612766,0.21,3.25,-0.39,-1.71,1.2207,1.1076,1.1076,0.9908999999999999,-0.11309999999999998,1958
2024-25,top50,17,Jalen Johnson,1630552,1610612737,0.32,2.58,0.08,-0.43,1.1136,1.0738,1.0738,0.7830999999999999,-0.039799999999999836,5396
2024-25,top50,18,Sandro Mamukelashvili,1630572,1610612759,1.79,1.93,-0.07,2.06,1.12,1.0422,1.0422,-0.8019999999999998,-0.07780000000000009,2680
2024-25,top50,19,Elijah Harkless,1641989,1610612762,0.21,3.33,0,-1.3,1.3311,0.9924,0.9924,1.0461,-0.3387,586
2024-25,top50,20,Payton Pritchard,1630202,1610612738,1.62,-0.46,-0.03,-4.05,1.01,0.9881,0.9881,-0.6465000000000001,-0.02190000000000003,9025
2024-25,top50,21,Naz Reid,1629675,1610612750,0.96,2.36,0.01,-0.32,0.99,0.9686,0.9686,0.013499999999999956,-0.021399999999999975,9046
2024-25,top50,22,Oscar Tshiebwe,1631131,1610612762,1.86,2.43,-0.57,2.15,1.1,0.9299,0.9299,-1.1035999999999997,-0.17010000000000014,1093
2024-25,top50,23,Seth Curry,203552,1610612766,1.25,-1.6,-0.11,-0.06,0.96,0.9175,0.9175,-0.3526,-0.04249999999999998,4319
2024-25,top50,24,Keon Ellis,1631165,1610612758,1.49,1.99,0.04,-0.6,0.94,0.9171,0.9171,-0.5858000000000001,-0.02289999999999992,8023
2024-25,top50,25,Justin Champagnie,1630551,1610612764,1.07,0.71,-0.13,4.44,0.93,0.8972,0.8972,-0.18109999999999993,-0.03280000000000005,5479
2024-25,top50,26,De'Anthony Melton,1629001,1610612744,1.07,1.94,0.15,-2.8,1.2134,0.8796,0.8796,-0.2642,-0.3338,527
2024-25,top50,27,Jabari Walker,1631133,1610612757,1.7,2.41,-0.33,1.92,0.93,0.8743,0.8743,-0.8748999999999999,-0.05570000000000008,3140
2024-25,top50,28,Jaren Jackson Jr.,1628991,1610612763,1.37,2.31,-0.05,0.35,0.89,0.872,0.872,-0.5044000000000001,-0.018000000000000016,9713
2024-25,top50,29,De'Andre Hunter,1629631,1610612737,1.49,1.88,-0.39,-2.63,0.89,0.8664,0.8664,-0.6447999999999999,-0.023600000000000065,7330
2024-25,top50,30,Mark Williams,1631109,1610612766,1.25,-0.87,-0.15,8.16,0.87,0.8354,0.8354,-0.4284,-0.034599999999999964,4827
2024-25,top50,31,Ty Jerome,1629660,1610612739,1.74,2.04,0.02,1.41,0.86,0.8313,0.8313,-0.9419000000000001,-0.028699999999999948,5795
2024-25,top50,32,Nate Williams,1631466,1610612745,-1.4,-0.05,0.02,-1.85,1.06,0.8076,0.8076,2.8968,-0.25240000000000007,640
2024-25,top50,33,Jamison Battle,1642419,1610612761,0.9,-2.2,0.14,0.22,0.83,0.7934,0.7934,-0.11630000000000007,-0.036599999999999966,4336
2024-25,top50,34,Jaylen Clark,1641740,1610612750,1.74,-0.58,-0.38,-1.41,0.86,0.787,0.787,-1.0421999999999998,-0.07299999999999995,2157
2024-25,top50,35,Aaron Nesmith,1630174,1610612754,1.89,2.12,-0.18,0.75,0.82,0.7848,0.7848,-1.1577000000000002,-0.0351999999999999,4464
2024-25,top50,36,Luke Kornet,1628436,1610612738,1.33,1.14,-0.38,8.62,0.81,0.7805,0.7805,-0.5702,-0.02950000000000008,5296
2024-25,top50,37,Zion Williamson,1629627,1610612740,1.98,3.47,-0.07,-0.24,0.8,0.7584,0.7584,-1.2876,-0.04160000000000008,3647
2024-25,top50,38,Chris Duarte,1630537,1610612741,1.57,1.41,-0.19,0.27,1.1938,0.7337,0.7337,-1.355,-0.46009999999999995,319
2024-25,top50,39,Jared Butler,1630215,1610612764,0.68,1.2,0.22,-2.78,0.76,0.7267,0.7267,0.04520000000000002,-0.033299999999999996,4371
2024-25,top50,40,Alex Caruso,1627936,1610612760,1.43,1.94,0.23,-4.38,0.76,0.726,0.726,-0.7382,-0.03400000000000003,4268
2024-25,top50,41,Goga Bitadze,1629048,1610612753,1,0.14,-0.03,11.83,0.75,0.7243,0.7243,-0.2843,-0.025699999999999945,5644
2024-25,top50,42,Daniel Gafford,1629655,1610612742,1.5,0.12,-0.18,12.59,0.71,0.6834,0.6834,-0.8496000000000001,-0.026599999999999957,5145
2024-25,top50,43,Mitchell Robinson,1629011,1610612752,0.86,1.09,0.11,5.44,0.795,0.6762,0.6762,-0.21119999999999994,-0.11880000000000002,1139
2024-25,top50,44,Ausar Thompson,1641709,1610612765,0.94,1.57,0.09,1.62,0.7,0.6755,0.6755,-0.27460000000000007,-0.024499999999999966,5515
2024-25,top50,45,Matisse Thybulle,1629680,1610612757,1.77,0,0.08,-0.3,0.7778,0.6752,0.6752,-1.2643999999999997,-0.10260000000000002,1316
2024-25,top50,46,Jaxson Hayes,1629637,1610612747,0.96,2,-0.52,6.71,0.7,0.6704,0.6704,-0.29980000000000007,-0.02959999999999996,4526
2024-25,top50,47,Ivica Zubac,1627826,1610612746,1.27,3.74,0.03,12.41,0.68,0.6676,0.6676,-0.6134000000000001,-0.012400000000000078,10739
2024-25,top50,48,Tony Bradley,1628396,1610612754,1.74,0.42,0.19,2.41,0.94,0.666,0.666,-1.5109,-0.2739999999999999,486
2024-25,top50,49,Lamar Stevens,1630205,1610612763,0.03,2.35,-0.08,-2.93,0.8718,0.6642,0.6642,0.8333,-0.2076,640
2024-25,top50,50,Zach LaVine,203897,1610612741,0.7,3.19,-0.15,-0.98,0.67,0.6579,0.6579,-0.046599999999999975,-0.0121,10890
2024-25,bottom50,555,Isaiah Collier,1642268,1610612762,-2.65,-0.24,-0.07,-8.93,-2.43,-2.369,-2.369,0.28649999999999975,0.06099999999999994,7772
2024-25,bottom50,554,Tristan Thompson,202684,1610612739,-2.75,-4.81,-0.49,-0.21,-2.35,-2.0406,-2.0406,0.8146,0.3094000000000001,1319
2024-25,bottom50,553,Markieff Morris,202693,1610612742,-2.4,-1.25,0.07,-4.44,-2.32,-1.7636,-1.7636,0.8384,0.5563999999999998,634
2024-25,bottom50,552,Jamal Shead,1642347,1610612761,-1.5,-4.06,0.33,-5.08,-1.82,-1.7622,-1.7622,-0.2701,0.057800000000000074,6099
2024-25,bottom50,551,Vince Williams Jr.,1631246,1610612763,-1.66,-0.29,0.04,-2.57,-1.91,-1.7474,-1.7474,-0.10049999999999981,0.16259999999999986,2150
2024-25,bottom50,550,Lonnie Walker IV,1629022,1610612755,-0.02,-2.82,0.08,-6.19,-1.8,-1.6359,-1.6359,-1.782,0.16410000000000013,1994
2024-25,bottom50,549,Russell Westbrook,201566,1610612743,-2.03,-2.03,0.21,-4.99,-1.6,-1.5653,-1.5653,0.47509999999999986,0.034700000000000175,9022
2024-25,bottom50,548,Xavier Tillman,1630214,1610612738,-3.27,-2.33,-0.24,-3.38,-1.9,-1.5625,-1.5625,2.0823,0.3374999999999999,926
2024-25,bottom50,547,Kevin Porter Jr.,1629645,1610612746,-0.68,0.15,0,-5.58,-1.61,-1.5587,-1.5587,-0.9097000000000001,0.05130000000000012,6073
2024-25,bottom50,546,Killian Hayes,1630165,1610612751,-0.82,2.02,-0.09,-0.92,-2,-1.5444,-1.5444,-0.9372,0.4556,678
2024-25,bottom50,545,Reed Sheppard,1642263,1610612745,-1.09,-2.32,0.31,-7.37,-1.62,-1.5128,-1.5128,-0.4535,0.10720000000000018,2822
2024-25,bottom50,544,JD Davison,1631120,1610612738,-2.96,-2.77,-0.32,-0.34,-2.39,-1.5032,-1.5032,2.3124,0.8868,339
2024-25,bottom50,543,KJ Simpson,1642354,1610612766,-1.78,-1.76,0.14,-8.18,-1.56,-1.4729,-1.4729,0.3206,0.08709999999999996,3382
2024-25,bottom50,542,Cody Williams,1642262,1610612762,-2.12,-3.07,-0.2,-8.02,-1.45,-1.3881,-1.3881,0.7620000000000002,0.061900000000000066,4486
2024-25,bottom50,541,Hunter Tyson,1641816,1610612743,-0.9,-5.34,-0.2,-2.17,-1.55,-1.3763,-1.3763,-0.5310000000000001,0.17369999999999997,1585
2024-25,bottom50,540,Yuki Kawamura,1642530,1610612763,-1.72,0.42,-0.08,-1.34,-2.1,-1.3644,-1.3644,0.5449999999999999,0.7356,371
2024-25,bottom50,539,Bronny James,1642355,1610612747,-2.18,-0.95,0.09,-4.67,-1.7,-1.3292,-1.3292,1.0841,0.3708,717
2024-25,bottom50,538,Emoni Bates,1641734,1610612739,-1.31,-1.2,0.13,-2.58,-2.16,-1.2994,-1.2994,0.013500000000000068,0.8606,302
2024-25,bottom50,537,Dillon Jones,1641794,1610612760,-1.98,-3.67,-0.25,-2.5,-1.4,-1.289,-1.289,0.7545000000000002,0.11099999999999999,2322
2024-25,bottom50,536,Luke Travers,1631247,1610612739,-3.98,-0.06,0,-0.35,-2.02,-1.2814,-1.2814,4.2575,0.7385999999999999,347
2024-25,bottom50,535,Dejounte Murray,1627749,1610612740,-1.77,-1.64,0.15,-8.38,-1.3403,-1.2793,-1.2793,0.5109999999999999,0.06099999999999994,4195
2024-25,bottom50,534,Ariel Hukporti,1630574,1610612752,-2.28,-4.08,-0.29,-0.07,-1.57,-1.2776,-1.2776,1.2301999999999997,0.2924,874
2024-25,bottom50,533,Dario Šarić,203967,1610612743,-1.83,-0.73,-0.13,-3.42,-1.57,-1.2721,-1.2721,0.6923000000000001,0.29790000000000005,854
2024-25,bottom50,532,Josh Christopher,1630528,1610612748,-2.68,-0.2,0.31,-1.79,-2.08,-1.2497,-1.2497,2.3739999999999997,0.8303,301
2024-25,bottom50,531,Trae Young,1629027,1610612737,-1.37,2.16,0.16,-9.53,-1.27,-1.2486,-1.2486,0.11840000000000006,0.021400000000000086,11689
2024-25,bottom50,530,Adam Flagler,1641745,1610612760,-3.16,-2.09,-0.02,-5.63,-1.55,-1.2425,-1.2425,2.3911999999999995,0.3075000000000001,808
2024-25,bottom50,529,GG Jackson,1641713,1610612763,-2.58,-4.79,-0.05,-4.62,-1.36,-1.2333,-1.2333,1.4866,0.12670000000000003,1946
2024-25,bottom50,528,Baylor Scheierman,1631248,1610612738,-0.79,-2,-0.16,-4.97,-1.35,-1.1892,-1.1892,-0.4538000000000001,0.16080000000000005,1479
2024-25,bottom50,527,Vasilije Micić,203995,1610612766,-1.81,-0.37,0.01,-8.51,-1.25,-1.1747,-1.1747,0.6760999999999999,0.07529999999999992,3118
2024-25,bottom50,526,Andrew Nembhard,1629614,1610612754,-1.11,-0.9,-0.14,-3.61,-1.2,-1.169,-1.169,-0.06479999999999997,0.030999999999999917,7546
2024-25,bottom50,525,Maxi Kleber,1628467,1610612742,-1.65,-1.34,-0.17,-1.04,-1.2414,-1.1549,-1.1549,0.5327999999999999,0.08650000000000002,2673
2024-25,bottom50,524,Jaden Hardy,1630702,1610612742,-1.24,-0.19,-0.05,-5.62,-1.18,-1.1204,-1.1204,0.1311,0.059599999999999875,3760
2024-25,bottom50,523,Josh Richardson,1626196,1610612748,-1.91,-1.79,-0.09,-1.33,-1.503,-1.1167,-1.1167,1.0618,0.38629999999999987,578
2024-25,bottom50,522,Alexandre Sarr,1642259,1610612764,-1.82,1.13,-0.04,-5.52,-1.13,-1.1014,-1.1014,0.7334,0.02859999999999996,7695
2024-25,bottom50,521,Ben Simmons,1627732,1610612751,-2.34,-0.17,0.27,2.37,-1.15,-1.1009,-1.1009,1.2981000000000003,0.04909999999999992,4480
2024-25,bottom50,520,Tre Mann,1630544,1610612766,-0.46,-2.82,-0.1,-2.61,-1.2652,-1.097,-1.097,-0.7339000000000001,0.16820000000000013,1304
2024-25,bottom50,519,Andre Jackson Jr.,1641748,1610612749,-1.44,-2.15,-0.07,-0.6,-1.13,-1.0756,-1.0756,0.38170000000000015,0.054400000000000004,3953
2024-25,bottom50,518,Trey Alexander,1641725,1610612743,-2.91,-0.05,-0.17,-2.51,-1.51,-1.0704,-1.0704,2.5935000000000006,0.4396,487
2024-25,bottom50,517,Terry Rozier,1626179,1610612748,-1.66,-1.81,-0.03,-5.6,-1.09,-1.0579,-1.0579,0.6181999999999999,0.03210000000000002,6584
2024-25,bottom50,516,Keyonte George,1641718,1610612762,-1.15,-2.45,-0.1,-9.55,-1.08,-1.0559,-1.0559,0.09460000000000002,0.02410000000000001,8764
2024-25,bottom50,515,Rob Dillingham,1642265,1610612750,-1.99,-1,0.19,-2.64,-1.15,-1.051,-1.051,1.0323000000000002,0.09899999999999998,2124
2024-25,bottom50,514,Brandon Ingram,1627742,1610612740,-0.58,-2.38,0.11,1.1,-1.1124,-1.0283,-1.0283,-0.4819000000000001,0.08410000000000006,2446
2024-25,bottom50,513,Maxwell Lewis,1641721,1610612747,-0.3,-0.14,-0.08,-2,-1.18,-1.0251,-1.0251,-0.8373999999999999,0.15490000000000004,1324
2024-25,bottom50,512,Nick Smith Jr.,1641733,1610612766,-1.44,-2.26,0.14,-7.5,-1.05,-1.0141,-1.0141,0.43710000000000004,0.03590000000000004,5645
2024-25,bottom50,511,Bobby Portis,1626171,1610612749,-0.76,-0.77,-0.03,1.77,-1.05,-1.0106,-1.0106,-0.2604000000000001,0.0394000000000001,5132
2024-25,bottom50,510,Elfrid Payton,203901,1610612740,-3.22,1.06,0.7,-2.65,-1.11,-1.0102,-1.0102,2.4299,0.09980000000000011,2025
2024-25,bottom50,509,Spencer Jones,1642461,1610612743,-1.77,-2.06,-0.16,-1.48,-1.39,-1.0012,-1.0012,1.0646000000000002,0.3887999999999998,515
2024-25,bottom50,508,Deandre Ayton,1629028,1610612757,-0.39,-2.29,-0.05,7.05,-1.0276,-0.9878,-0.9878,-0.6233000000000001,0.03980000000000006,4954
2024-25,bottom50,507,James Harden,201935,1610612746,-0.26,-0.65,0.11,-9.71,-1,-0.9829,-0.9829,-0.7401,0.017100000000000004,11469
2024-25,bottom50,506,Jeff Dowtin Jr.,1630288,1610612755,0.82,-0.06,0.01,-3.08,-1.06,-0.9825,-0.9825,-1.941,0.07750000000000001,2535
2025-26,top50,1,Jimmy Butler III,202710,1610612744,2.1,3.78,0.48,0.84,2.4051,2.3099,2.31,0.22009999999999996,-0.09520000000000017,4853
2025-26,top50,2,Lauri Markkanen,1628374,1610612762,2.22,2.72,0.03,-0.8,1.9747,1.9137,1.91,-0.3195000000000001,-0.06099999999999994,6266
2025-26,top50,3,E.J. Liddell,1630604,1610612751,0.82,0.44,-0.01,0.02,2.07,1.8133,1.81,1.1389999999999998,-0.25669999999999993,1413
2025-26,top50,4,Zach Edey,1641744,1610612763,1.19,4.16,-0.1,3.91,2.0374,1.7426,1.74,0.6466999999999998,-0.29479999999999995,1182
2025-26,top50,5,Matisse Thybulle,1629680,1610612757,2.38,1.12,0.12,-0.96,1.76,1.6035,1.6,-0.8554999999999999,-0.15650000000000008,2049
2025-26,top50,6,Shai Gilgeous-Alexander,1628983,1610612760,3.18,5.01,0.29,0.96,1.55,1.5171,1.52,-1.7032999999999998,-0.03290000000000015,9235
2025-26,top50,7,David Jones Garcia,1642357,1610612759,1.97,3.43,-0.11,-0.03,2.0976,1.3031,1.3,-1.069,-0.7945,328
2025-26,top50,8,Kawhi Leonard,202695,1610612746,2.8,3.81,0.06,-2.07,1.25,1.2214,1.22,-1.6179000000000001,-0.02859999999999996,8540
2025-26,top50,9,Jalen Duren,1631105,1610612765,2.39,2.01,-0.01,10.08,1.23,1.2005,1.2,-1.2166000000000001,-0.02950000000000008,8146
2025-26,top50,10,Giannis Antetokounmpo,203507,1610612749,2.44,3.85,0.4,8.98,1.23,1.1745,1.17,-1.3266,-0.05549999999999988,4232
2025-26,top50,11,Moritz Wagner,1629021,1610612753,-0.4,-0.71,0.09,-0.96,1.26,1.1334,1.13,1.7005,-0.12660000000000005,1791
2025-26,top50,12,Sam Merrill,1630241,1610612739,1.35,1.62,-0.23,-1.21,1.09,1.0526,1.05,-0.3059999999999998,-0.0374000000000001,5636
2025-26,top50,13,LJ Cryer,1643018,1610612744,0.18,3.16,-0.2,-2.49,1.2109,1.0273,1.03,1.0039,-0.18359999999999999,1119
2025-26,top50,14,Malaki Branham,1631103,1610612764,1.52,1.53,-0.08,-1.54,1.2071,1.0217,1.02,-0.5897999999999999,-0.1854,1102
2025-26,top50,15,Tyler Herro,1629639,1610612748,0.94,-0.33,-0.25,-1.43,1.04,0.9951,1,0.05810000000000004,-0.04490000000000005,4431
2025-26,top50,16,Ty Jerome,1629660,1610612763,1.19,0.64,-0.09,0.13,1.11,0.973,0.97,-0.24409999999999998,-0.13700000000000012,1421
2025-26,top50,17,Anthony Edwards,1630162,1610612750,1.61,0.06,0.01,-4.48,0.96,0.939,0.94,-0.6867000000000001,-0.02100000000000002,8938
2025-26,top50,18,Keldon Johnson,1629640,1610612759,1.21,-0.11,-0.19,5.35,0.96,0.9367,0.94,-0.2803,-0.023299999999999987,8028
2025-26,top50,19,Cormac Ryan,1642504,1610612749,2.51,0,0.09,0.9,1.097,0.9249,0.92,-1.8780999999999999,-0.17209999999999992,1075
2025-26,top50,20,Myron Gardner,1642066,1610612748,1.51,1.26,0.01,0.97,1,0.898,0.9,-0.6852,-0.10199999999999998,1760
2025-26,top50,21,Thanasis Antetokounmpo,203648,1610612749,1.55,0.12,0.63,0,1.14,0.8488,0.85,-0.9465999999999999,-0.2911999999999999,583
2025-26,top50,22,Blake Hinson,1642396,1610612762,3.27,0.18,-0.23,1.59,0.97,0.8332,0.83,-2.8371000000000004,-0.13679999999999992,1218
2025-26,top50,23,Garrison Mathews,1629726,1610612754,1.43,1.03,0.16,-1.99,1.0311,0.8313,0.83,-0.7438,-0.19979999999999987,832
2025-26,top50,24,Donovan Mitchell,1628378,1610612739,1.57,2.87,-0.04,-2.52,0.81,0.794,0.79,-0.7929999999999999,-0.016000000000000014,9900
2025-26,top50,25,Luka Garza,1630568,1610612738,1.16,0.08,0.13,8.27,0.81,0.7762,0.78,-0.39949999999999997,-0.03380000000000005,4589
2025-26,top50,26,Landry Shamet,1629013,1610612752,1.01,0.57,-0.12,-2.7,0.81,0.7779,0.78,-0.24099999999999988,-0.03210000000000002,4854
2025-26,top50,27,Tyrese Maxey,1630178,1610612755,1.49,2.55,-0.13,-6.16,0.78,0.766,0.77,-0.7404999999999999,-0.014000000000000012,10951
2025-26,top50,28,Luke Kennard,1628379,1610612737,1.08,0.54,-0.23,1.31,0.79,0.768,0.77,-0.32119999999999993,-0.02200000000000002,6978
2025-26,top50,29,Robert Williams III,1629057,1610612757,1.67,1.49,0.06,13.35,0.81,0.7737,0.77,-0.9348999999999998,-0.0363,4265
2025-26,top50,30,Nikola Jokić,203999,1610612743,1.56,3.66,0.03,5.58,0.77,0.7545,0.75,-0.8215999999999999,-0.01550000000000007,9758
2025-26,top50,31,Haywood Highsmith,1629312,1610612756,1.78,0.89,0.12,-0.15,1.1561,0.7425,0.74,-1.6097000000000001,-0.41359999999999986,359
2025-26,top50,32,Alondes Williams,1631214,1610612764,1.32,1.37,-0.05,0.36,1.07,0.7428,0.74,-0.8313999999999999,-0.32720000000000005,454
2025-26,top50,33,Pete Nance,1631250,1610612749,-0.05,3.64,-0.19,3.66,0.79,0.7393,0.74,0.8385,-0.05070000000000008,2914
2025-26,top50,34,Norman Powell,1626181,1610612748,1.61,1.54,-0.09,-1.9,0.75,0.7307,0.73,-0.8994,-0.019299999999999984,7564
2025-26,top50,35,Isaiah Crawford,1642384,1610612745,-0.48,0.75,-0.08,0.15,1.15,0.7341,0.73,1.9072,-0.41589999999999994,353
2025-26,top50,36,Stephen Curry,201939,1610612744,1.51,2.13,0.08,-3.61,0.75,0.7248,0.72,-0.8173999999999999,-0.0252,5745
2025-26,top50,37,Mark Williams,1631109,1610612756,1.33,0.33,0.12,13.88,0.73,0.7062,0.71,-0.6447,-0.023799999999999932,5935
2025-26,top50,38,Walker Kessler,1631117,1610612762,1.67,0.46,0.22,2.95,0.9322,0.7065,0.71,-1.2671999999999999,-0.2257,626
2025-26,top50,39,Jalen Slawson,1641771,1610612754,0.13,2.01,0.04,-1.24,0.8144,0.7042,0.7,0.6624,-0.11019999999999996,1277
2025-26,top50,40,Karlo Matković,1631255,1610612740,1.23,-0.35,-0.14,8.88,0.73,0.6924,0.69,-0.5704,-0.03759999999999997,3688
2025-26,top50,41,Zion Williamson,1629627,1610612740,1.51,-0.3,0.1,3.59,0.7,0.6825,0.68,-0.8477000000000001,-0.01749999999999996,7789
2025-26,top50,42,Michael Porter Jr.,1629008,1610612751,1.27,2.98,-0.12,-0.11,0.7,0.6801,0.68,-0.6084,-0.019899999999999918,6830
2025-26,top50,43,Kon Knueppel,1642851,1610612766,1.33,2.84,-0.06,-2.77,0.68,0.6671,0.67,-0.6726,-0.012900000000000023,10376
2025-26,top50,44,Aaron Gordon,203932,1610612743,0.99,3.37,0.05,0.45,0.7,0.668,0.67,-0.3368,-0.03199999999999992,4176
2025-26,top50,45,Paul Reed,1630194,1610612765,1.4,-0.11,0,7.86,0.68,0.6467,0.65,-0.7965999999999999,-0.033299999999999996,3883
2025-26,top50,46,Seth Curry,203552,1610612744,0.93,1.79,-0.07,0.21,0.89,0.6491,0.65,-0.37849999999999995,-0.2409,539
2025-26,top50,47,Franz Wagner,1630532,1610612753,1.16,-0.72,-0.03,-2.11,0.67,0.6394,0.64,-0.5433,-0.03060000000000007,4174
2025-26,top50,48,Kadary Richmond,1642955,1610612764,2.25,-0.04,-0.16,-0.01,1.0239,0.616,0.62,-2.7126,-0.40790000000000004,302
2025-26,top50,49,Miles McBride,1630540,1610612752,1.39,2.48,-0.15,-4.95,0.64,0.6121,0.61,-0.8111,-0.027900000000000036,4395
2025-26,top50,50,DaQuan Jeffries,1629610,1610612758,2.25,0,-0.02,0.33,1.1027,0.598,0.6,-3.0509999999999997,-0.5047,237
2025-26,bottom50,575,Yang Hansen,1642905,1610612757,-3.01,-0.64,-0.09,-4.58,-2.38,-2.0457,-2.05,1.1273,0.3342999999999998,1224
2025-26,bottom50,574,Chris Paul,101108,1610612746,-2.82,-3.05,-0.34,-2.23,-2.4122,-1.9815,-1.98,1.0187,0.43069999999999986,920
2025-26,bottom50,573,Nigel Hayes-Davis,1628502,1610612756,-1.98,-3.83,-0.24,-0.06,-2.322,-1.8372,-1.84,0.1774,0.4848000000000001,758
2025-26,bottom50,572,Russell Westbrook,201566,1610612758,-1.95,-0.55,-0.58,-5.49,-1.76,-1.7154,-1.72,0.2387999999999999,0.04459999999999997,7685
2025-26,bottom50,571,Ben Saraf,1642879,1610612751,-1.96,-1.73,-0.17,-5.92,-1.81,-1.7188,-1.72,0.2530000000000001,0.09119999999999995,3769
2025-26,bottom50,570,Nick Richards,1630208,1610612756,-1.65,-2.72,0.07,3.12,-1.71,-1.5984,-1.6,0.05790000000000006,0.11159999999999992,2865
2025-26,bottom50,569,Jordan Hawkins,1641722,1610612740,-1.62,-1.46,-0.5,-5.74,-1.65,-1.5419,-1.54,0.08550000000000013,0.10809999999999986,2853
2025-26,bottom50,568,Ryan Nembhard,1642948,1610612742,-2.03,-0.36,-0.56,-2.79,-1.58,-1.5177,-1.52,0.5289000000000001,0.06230000000000002,4871
2025-26,bottom50,567,Lonzo Ball,1628366,1610612739,-1.82,-2.08,-0.08,-7.18,-1.5737,-1.4773,-1.48,0.363,0.09640000000000004,3065
2025-26,bottom50,566,Terrence Shannon Jr.,1630545,1610612750,-0.64,-2.78,0.02,-4.29,-1.54,-1.4108,-1.41,-0.8441000000000001,0.12919999999999998,2183
2025-26,bottom50,565,Scoot Henderson,1630703,1610612757,-0.44,-1.13,0.01,-4.37,-1.5,-1.4131,-1.41,-1.038,0.08689999999999998,3251
2025-26,bottom50,564,Andersson Garcia,1643158,1610612762,-2.04,-2.46,0.02,-0.95,-1.7878,-1.4013,-1.4,0.8143,0.38650000000000007,725
2025-26,bottom50,563,Bradley Beal,203078,1610612746,-3.1,-1.44,-0.27,-0.88,-1.92,-1.3776,-1.38,2.3977000000000004,0.5424,508
2025-26,bottom50,562,Cole Anthony,1630175,1610612749,-1.99,-1.4,-0.41,-2.12,-1.4555,-1.33,-1.33,0.7177999999999998,0.12549999999999994,2120
2025-26,bottom50,561,Scotty Pippen Jr.,1630590,1610612763,-2.17,-0.97,-0.13,-0.92,-1.63,-1.3334,-1.33,1.0271,0.2966,899
2025-26,bottom50,560,Draymond Green,203110,1610612744,-1.98,-2.55,-0.06,-5.24,-1.34,-1.3061,-1.31,0.6918999999999997,0.03390000000000004,7704
2025-26,bottom50,559,Kobe Sanders,1642920,1610612746,-0.72,-0.47,-0.27,-4.51,-1.3,-1.254,-1.25,-0.5526000000000001,0.04600000000000004,5450
2025-26,bottom50,558,Bobi Klintman,1641752,1610612765,-1.92,-0.56,-0.37,0.47,-2.06,-1.2522,-1.25,1.0966999999999998,0.8078000000000001,310
2025-26,bottom50,557,Nolan Traore,1642849,1610612751,-2.47,-0.69,-0.29,-8.53,-1.29,-1.2408,-1.24,1.2786,0.04920000000000013,5042
2025-26,bottom50,556,DeJon Jarreau,1630610,1610612763,-3.47,0,0.02,-1.14,-1.4892,-1.2309,-1.23,2.71,0.2583,953
