season,sample,pair,pearson,spearman
2025-26,full,rawAbilityRate__drbl100,0.6882,0.8168
2025-26,full,drblLn__drblLn,1,1
2025-26,full,drblLn__drblB,0.1544,0.1318
2025-26,full,drblLn__fusedRateRaw,0.3942,0.3908
2025-26,full,drblLn__posteriorAbilityRate,0.4016,0.3895
2025-26,full,drblLn__drbl100,0.4015,0.3883
2025-26,full,drblB__drblB,1,1
2025-26,full,drblB__fusedRateRaw,0.2627,0.211
2025-26,full,drblB__posteriorAbilityRate,0.2722,0.2138
2025-26,full,drblB__drbl100,0.2724,0.2134
2025-26,full,fusedRateRaw__fusedRateRaw,1,1
2025-26,full,fusedRateRaw__posteriorAbilityRate,0.9767,0.9894
2025-26,full,fusedRateRaw__drbl100,0.9767,0.9896
2025-26,full,posteriorAbilityRate__posteriorAbilityRate,1,1
2025-26,full,posteriorAbilityRate__drbl100,1,0.9999
2025-26,full,drbl100__drbl100,1,1
