season,sample,top_k,teamId,count,share
2024-25,400,100,1610612757,1,0.01
2024-25,400,100,1610612766,4,0.04
2024-25,400,100,1610612738,3,0.03
2024-25,400,100,1610612751,2,0.02
2024-25,400,100,1610612763,3,0.03
2024-25,400,100,1610612754,4,0.04
2024-25,400,100,1610612753,4,0.04
2024-25,400,100,1610612739,2,0.02
2024-25,400,100,1610612747,3,0.03
2024-25,400,100,1610612759,6,0.06
2024-25,400,100,1610612752,2,0.02
2024-25,400,100,1610612760,8,0.08
2024-25,400,100,1610612762,2,0.02
2024-25,400,100,1610612758,3,0.03
2024-25,400,100,1610612755,3,0.03
2024-25,400,100,1610612750,3,0.03
2024-25,400,100,1610612740,3,0.03
2024-25,400,100,1610612756,2,0.02
2024-25,400,100,1610612746,4,0.04
2024-25,400,100,1610612765,2,0.02
2024-25,full,10,1610612740,1,0.1
2024-25,full,10,1610612759,1,0.1
2024-25,full,10,1610612743,1,0.1
2024-25,full,10,1610612760,2,0.2
2024-25,full,10,1610612748,1,0.1
2024-25,full,10,1610612737,1,0.1
2024-25,full,10,1610612753,1,0.1
2024-25,full,10,1610612756,1,0.1
2024-25,full,10,1610612745,1,0.1
2024-25,full,25,1610612740,1,0.04
2024-25,full,25,1610612759,2,0.08
2024-25,full,25,1610612743,1,0.04
2024-25,full,25,1610612760,2,0.08
2024-25,full,25,1610612748,2,0.08
2024-25,full,25,1610612737,2,0.08
2024-25,full,25,1610612753,1,0.04
2024-25,full,25,1610612756,1,0.04
2024-25,full,25,1610612745,1,0.04
2024-25,full,25,1610612764,2,0.08
2024-25,full,25,1610612761,1,0.04
2024-25,full,25,1610612746,1,0.04
2024-25,full,25,1610612765,1,0.04
2024-25,full,25,1610612766,2,0.08
2024-25,full,25,1610612762,2,0.08
2024-25,full,25,1610612738,1,0.04
2024-25,full,25,1610612750,1,0.04
2024-25,full,25,1610612758,1,0.04
2024-25,full,50,1610612740,2,0.04
2024-25,full,50,1610612759,2,0.04
2024-25,full,50,1610612743,1,0.02
2024-25,full,50,1610612760,3,0.06
2024-25,full,50,1610612748,2,0.04
2024-25,full,50,1610612737,3,0.06
2024-25,full,50,1610612753,2,0.04
2024-25,full,50,1610612756,1,0.02
2024-25,full,50,1610612745,2,0.04
2024-25,full,50,1610612764,3,0.06
2024-25,full,50,1610612761,2,0.04
2024-25,full,50,1610612746,2,0.04
2024-25,full,50,1610612765,2,0.04
2024-25,full,50,1610612766,3,0.06
2024-25,full,50,1610612762,2,0.04
2024-25,full,50,1610612738,2,0.04
2024-25,full,50,1610612750,2,0.04
2024-25,full,50,1610612758,1,0.02
2024-25,full,50,1610612744,1,0.02
2024-25,full,50,1610612757,2,0.04
2024-25,full,50,1610612763,2,0.04
2024-25,full,50,1610612739,1,0.02
2024-25,full,50,1610612754,2,0.04
2024-25,full,50,1610612741,2,0.04
2024-25,full,50,1610612742,1,0.02
2024-25,full,50,1610612752,1,0.02
2024-25,full,50,1610612747,1,0.02
2024-25,full,100,1610612740,4,0.04
2024-25,full,100,1610612759,3,0.03
2024-25,full,100,1610612743,2,0.02
2024-25,full,100,1610612760,6,0.06
2024-25,full,100,1610612748,4,0.04
2024-25,full,100,1610612737,6,0.06
2024-25,full,100,1610612753,2,0.02
2024-25,full,100,1610612756,1,0.01
2024-25,full,100,1610612745,4,0.04
2024-25,full,100,1610612764,5,0.05
2024-25,full,100,1610612761,2,0.02
2024-25,full,100,1610612746,3,0.03
2024-25,full,100,1610612765,3,0.03
2024-25,full,100,1610612766,6,0.06
2024-25,full,100,1610612762,3,0.03
2024-25,full,100,1610612738,5,0.05
2024-25,full,100,1610612750,3,0.03
2024-25,full,100,1610612758,3,0.03
2024-25,full,100,1610612744,2,0.02
2024-25,full,100,1610612757,3,0.03
2024-25,full,100,1610612763,4,0.04
2024-25,full,100,1610612739,5,0.05
2024-25,full,100,1610612754,4,0.04
2024-25,full,100,1610612741,5,0.05
2024-25,full,100,1610612742,3,0.03
2024-25,full,100,1610612752,2,0.02
2024-25,full,100,1610612747,2,0.02
2024-25,full,100,1610612751,2,0.02
2024-25,full,100,1610612749,1,0.01
2024-25,full,100,1610612755,2,0.02
2025-26,400,10,1610612760,1,0.1
2025-26,400,10,1610612743,2,0.2
2025-26,400,10,1610612748,2,0.2
2025-26,400,10,1610612744,1,0.1
2025-26,400,10,1610612757,1,0.1
2025-26,400,10,1610612747,1,0.1
2025-26,400,10,1610612762,1,0.1
2025-26,400,10,1610612765,1,0.1
2025-26,400,25,1610612760,2,0.08
2025-26,400,25,1610612743,2,0.08
2025-26,400,25,1610612748,3,0.12
2025-26,400,25,1610612744,1,0.04
2025-26,400,25,1610612757,1,0.04
2025-26,400,25,1610612747,1,0.04
2025-26,400,25,1610612762,2,0.08
2025-26,400,25,1610612765,2,0.08
2025-26,400,25,1610612755,1,0.04
2025-26,400,25,1610612745,1,0.04
2025-26,400,25,1610612749,2,0.08
2025-26,400,25,1610612739,1,0.04
2025-26,400,25,1610612754,1,0.04
2025-26,400,25,1610612764,1,0.04
2025-26,400,25,1610612738,1,0.04
2025-26,400,25,1610612756,1,0.04
2025-26,400,25,1610612752,1,0.04
2025-26,400,25,1610612742,1,0.04
2025-26,400,50,1610612760,2,0.04
2025-26,400,50,1610612743,2,0.04
2025-26,400,50,1610612748,3,0.06
2025-26,400,50,1610612744,3,0.06
2025-26,400,50,1610612757,1,0.02
2025-26,400,50,1610612747,2,0.04
2025-26,400,50,1610612762,3,0.06
2025-26,400,50,1610612765,2,0.04
2025-26,400,50,1610612755,1,0.02
2025-26,400,50,1610612745,1,0.02
2025-26,400,50,1610612749,3,0.06
2025-26,400,50,1610612739,2,0.04
2025-26,400,50,1610612754,2,0.04
2025-26,400,50,1610612764,1,0.02
2025-26,400,50,1610612738,1,0.02
2025-26,400,50,1610612756,4,0.08
2025-26,400,50,1610612752,2,0.04
2025-26,400,50,1610612742,1,0.02
2025-26,400,50,1610612761,2,0.04
2025-26,400,50,1610612751,3,0.06
2025-26,400,50,1610612758,2,0.04
2025-26,400,50,1610612763,2,0.04
2025-26,400,50,1610612740,1,0.02
2025-26,400,50,1610612753,1,0.02
2025-26,400,50,1610612741,1,0.02
2025-26,400,50,1610612759,1,0.02
2025-26,400,50,1610612750,1,0.02
2025-26,400,100,1610612760,4,0.04
2025-26,400,100,1610612743,2,0.02
2025-26,400,100,1610612748,4,0.04
2025-26,400,100,1610612744,5,0.05
2025-26,400,100,1610612757,4,0.04
2025-26,400,100,1610612747,2,0.02
2025-26,400,100,1610612762,3,0.03
2025-26,400,100,1610612765,5,0.05
2025-26,400,100,1610612755,3,0.03
2025-26,400,100,1610612745,3,0.03
2025-26,400,100,1610612749,5,0.05
2025-26,400,100,1610612739,3,0.03
2025-26,400,100,1610612754,2,0.02
2025-26,400,100,1610612764,1,0.01
2025-26,400,100,1610612738,5,0.05
2025-26,400,100,1610612756,6,0.06
2025-26,400,100,1610612752,3,0.03
2025-26,400,100,1610612742,4,0.04
2025-26,400,100,1610612761,4,0.04
2025-26,400,100,1610612751,3,0.03
2025-26,400,100,1610612758,2,0.02
2025-26,400,100,1610612763,4,0.04
2025-26,400,100,1610612740,2,0.02
2025-26,400,100,1610612753,4,0.04
2025-26,400,100,1610612741,1,0.01
2025-26,400,100,1610612759,4,0.04
2025-26,400,100,1610612750,5,0.05
2025-26,400,100,1610612766,2,0.02
2025-26,400,100,1610612746,2,0.02
2025-26,400,100,1610612737,3,0.03
2025-26,full,10,1610612744,1,0.1
2025-26,full,10,1610612762,1,0.1
2025-26,full,10,1610612751,1,0.1
2025-26,full,10,1610612763,1,0.1
2025-26,full,10,1610612757,1,0.1
2025-26,full,10,1610612760,1,0.1
2025-26,full,10,1610612759,1,0.1
2025-26,full,10,1610612746,1,0.1
2025-26,full,10,1610612765,1,0.1
2025-26,full,10,1610612749,1,0.1
2025-26,full,25,1610612744,2,0.08
2025-26,full,25,1610612762,2,0.08
2025-26,full,25,1610612751,1,0.04
2025-26,full,25,1610612763,2,0.08
2025-26,full,25,1610612757,1,0.04
2025-26,full,25,1610612760,1,0.04
2025-26,full,25,1610612759,2,0.08
2025-26,full,25,1610612746,1,0.04
2025-26,full,25,1610612765,1,0.04
2025-26,full,25,1610612749,3,0.12
2025-26,full,25,1610612753,1,0.04
2025-26,full,25,1610612739,2,0.08
2025-26,full,25,1610612764,1,0.04
2025-26,full,25,1610612748,2,0.08
2025-26,full,25,1610612750,1,0.04
2025-26,full,25,1610612754,1,0.04
2025-26,full,25,1610612738,1,0.04
2025-26,full,50,1610612744,4,0.08
2025-26,full,50,1610612762,3,0.06
2025-26,full,50,1610612751,2,0.04
2025-26,full,50,1610612763,2,0.04
2025-26,full,50,1610612757,2,0.04
2025-26,full,50,1610612760,1,0.02
2025-26,full,50,1610612759,2,0.04
2025-26,full,50,1610612746,1,0.02
2025-26,full,50,1610612765,2,0.04
2025-26,full,50,1610612749,4,0.08
2025-26,full,50,1610612753,2,0.04
2025-26,full,50,1610612739,2,0.04
2025-26,full,50,1610612764,3,0.06
2025-26,full,50,1610612748,3,0.06
2025-26,full,50,1610612750,1,0.02
2025-26,full,50,1610612754,2,0.04
2025-26,full,50,1610612738,1,0.02
2025-26,full,50,1610612752,2,0.04
2025-26,full,50,1610612755,1,0.02
2025-26,full,50,1610612737,1,0.02
2025-26,full,50,1610612743,2,0.04
2025-26,full,50,1610612756,2,0.04
2025-26,full,50,1610612745,1,0.02
2025-26,full,50,1610612740,2,0.04
2025-26,full,50,1610612766,1,0.02
2025-26,full,50,1610612758,1,0.02
2025-26,full,100,1610612744,6,0.06
2025-26,full,100,1610612762,3,0.03
2025-26,full,100,1610612751,3,0.03
2025-26,full,100,1610612763,4,0.04
2025-26,full,100,1610612757,4,0.04
2025-26,full,100,1610612760,4,0.04
2025-26,full,100,1610612759,4,0.04
2025-26,full,100,1610612746,5,0.05
2025-26,full,100,1610612765,4,0.04
2025-26,full,100,1610612749,4,0.04
2025-26,full,100,1610612753,4,0.04
2025-26,full,100,1610612739,2,0.02
2025-26,full,100,1610612764,6,0.06
2025-26,full,100,1610612748,3,0.03
2025-26,full,100,1610612750,1,0.01
2025-26,full,100,1610612754,3,0.03
2025-26,full,100,1610612738,3,0.03
2025-26,full,100,1610612752,3,0.03
2025-26,full,100,1610612755,1,0.01
2025-26,full,100,1610612737,2,0.02
2025-26,full,100,1610612743,3,0.03
2025-26,full,100,1610612756,4,0.04
2025-26,full,100,1610612745,4,0.04
2025-26,full,100,1610612740,4,0.04
2025-26,full,100,1610612766,4,0.04
2025-26,full,100,1610612758,1,0.01
2025-26,full,100,1610612747,4,0.04
2025-26,full,100,1610612742,4,0.04
2025-26,full,100,1610612761,1,0.01
2025-26,full,100,1610612741,2,0.02
