season,playerId,player,teamId,drbl100_400,drbl100_full,deltaDRBL,absoluteDeltaDRBL,rank400,rankFull,rankChange,P400,PFull,LN400,LNFull,B400,BFull,fused400,fusedFull,posterior400,posteriorFull,war400,warFull,poss400,possFull
2024-25,1629008,Michael Porter Jr.,1610612743,0.2088,0.3044,0.09559999999999999,0.09559999999999999,110,134,-24,0.37,0.42,0.45,-0.44,0.26,0.08,0.22,0.31,0.2088,0.3044,2.5430019257275016,9.11815024568654,3566,10812
2024-25,1628970,Miles Bridges,1610612766,-0.1076,0.4688,0.5764,0.5764,211,90,121,0.22,0.67,-0.5,2.11,-0.15,0.05,-0.12,0.48,-0.1076,0.4688,0.8452591734511025,9.105536379001652,1732,8345
2024-25,203507,Giannis Antetokounmpo,1610612749,0.2259,0.3916,0.16570000000000001,0.16570000000000001,105,110,-5,0.94,1.48,0.99,5.66,-0.31,-0.42,0.24,0.4,0.2259,0.3916,3.054182335285094,9.099505658967447,3180,9335
2024-25,1629661,Cameron Johnson,1610612751,0.7457,0.5644,-0.18130000000000002,0.18130000000000002,23,69,-46,1.37,1.01,-1.49,0.13,-0.06,-0.2,0.79,0.58,0.7457,0.5644,4.378459144813299,8.912220223903729,3406,7215
2024-25,1630583,Santi Aldama,1610612763,0.0564,0.5739,0.5175,0.5175,157,65,92,1.18,0.44,-0.08,1.98,0.04,0.18,0.06,0.59,0.0564,0.5739,3.7940256934476118,8.895577335811335,3157,7119
2024-25,1630530,Trey Murphy III,1610612740,0.2931,0.4875,0.19439999999999996,0.19439999999999996,85,86,-1,1.49,0.79,-0.36,-0.58,0.13,0.04,0.32,0.5,0.2931,0.4875,2.565060976639779,8.760943809685083,2132,7827
2024-25,1630541,Moses Moody,1610612744,-0.2641,0.5732,0.8373,0.8373,277,66,211,-0.74,0.63,-2.44,-0.13,-0.21,-0.24,-0.3,0.59,-0.2641,0.5732,-0.4263116007680109,8.523504217788043,1471,6827
2024-25,1629048,Goga Bitadze,1610612753,-0.0918,0.7243,0.8161,0.8161,204,41,163,1.52,1,0.16,0.14,-0.07,-0.03,-0.1,0.75,-0.0918,0.7243,2.63780440892755,8.331970448703728,2216,5644
2024-25,203084,Harrison Barnes,1610612759,0.3861,0.3522,-0.033899999999999986,0.033899999999999986,67,125,-58,0.41,1.13,0.65,-1.49,-0.36,-0.37,0.41,0.36,0.3861,0.3522,2.4036019560222526,8.297051660250744,3143,9064
2024-25,1628436,Luke Kornet,1610612738,0,0.7805,0.7805,0.7805,177,36,141,0.51,1.33,-1.09,1.14,-0.38,-0.38,0,0.81,0,0.7805,1.2946551961305566,8.266860980421429,1398,5296
2024-25,1631105,Jalen Duren,1610612765,-0.4895,0.3907,0.8802,0.8802,362,111,251,-0.19,0.68,-2.31,-2.94,-0.31,-0.21,-0.53,0.4,-0.4895,0.3907,-0.15525510479715188,8.146521813298515,2419,8369
2024-25,203076,Anthony Davis,1610612747,0.5984,0.5152,-0.08320000000000005,0.08320000000000005,31,79,-48,0.94,0.59,-0.22,1.48,0.14,-0.07,0.63,0.53,0.5984,0.5152,4.118735158255616,8.092697222484867,3634,6970
2024-25,1630162,Anthony Edwards,1610612750,0.3227,0.2064,-0.11629999999999999,0.11629999999999999,76,157,-81,0.65,0.8,0.99,1.77,-0.07,-0.15,0.34,0.21,0.3227,0.2064,3.638422334303019,8.076153062750945,3775,11610
2024-25,1642377,Jaylen Wells,1610612763,0.1027,0.3616,0.25889999999999996,0.25889999999999996,134,122,12,0.39,0.26,-0.95,-1.75,0.01,-0.09,0.11,0.37,0.1027,0.3616,1.8287631526573693,8.04435921525645,2894,8654
2024-25,1631109,Mark Williams,1610612766,0.4503,0.8354,0.38510000000000005,0.38510000000000005,53,30,23,1.35,1.25,-0.49,-0.87,0.04,-0.15,0.7061,0.87,0.4503,0.8354,0.7919571337259707,7.934208061076099,283,4827
2024-25,1627884,Derrick Jones Jr.,1610612746,0.3815,0.4192,0.03770000000000001,0.03770000000000001,69,102,-33,1.24,0.86,-0.74,0.84,-0.09,-0.07,0.41,0.43,0.3815,0.4192,3.133270041664222,7.859624287908271,2843,7733
2024-25,201142,Kevin Durant,1610612756,0.2119,0.3034,0.0915,0.0915,109,135,-26,0.87,0.71,2.31,2.76,-0.13,-0.23,0.23,0.31,0.2119,0.3034,1.7239965027307191,7.785232997356881,2227,9248
2024-25,1641709,Ausar Thompson,1610612765,-0.5954,0.6755,1.2709000000000001,1.2709000000000001,388,44,344,-1.44,0.94,0.65,1.57,-0.1,0.09,-0.81,0.7,-0.5954,0.6755,-0.3902364491461875,7.735870325424827,449,5515
2024-25,1628401,Derrick White,1610612738,0.2657,0.2355,-0.030200000000000005,0.030200000000000005,95,149,-54,0.62,0.49,1.01,0.29,-0.18,-0.02,0.28,0.24,0.2657,0.2355,3.8243341863876776,7.728336221196142,3713,10451
2024-25,203552,Seth Curry,1610612766,-0.1565,0.9175,1.074,1.074,230,23,207,0.89,1.25,-1.34,-1.6,-0.11,-0.11,-0.18,0.96,-0.1565,0.9175,1.3333024013660437,7.633675772555285,1364,4319
2024-25,1628449,Chris Boucher,1610612761,0.9518,1.2006,0.2487999999999999,0.2487999999999999,9,12,-3,1.22,1.93,1.02,2.97,0.14,0.06,1.06,1.27,0.9518,1.2006,1.9297570471534122,7.589672920010791,1833,3459
2024-25,1630178,Tyrese Maxey,1610612755,0.4656,0.3705,-0.09510000000000002,0.09510000000000002,50,116,-66,0.67,0.57,0.18,0.78,0.24,0.1,0.5,0.38,0.4656,0.3705,2.0761421645417752,7.3325259419204984,2806,7776
2024-25,1629655,Daniel Gafford,1610612742,1.0484,0.6834,-0.365,0.365,4,42,-38,1.72,1.5,-2.47,0.12,-0.12,-0.18,1.14,0.71,1.0484,0.6834,2.782539597788887,7.278137770446818,2312,5145
2024-25,1629060,Rui Hachimura,1610612747,0.0841,0.3896,0.3055,0.3055,146,112,34,1.17,1.02,1.21,2.22,0.07,-0.19,0.09,0.4,0.0841,0.3896,2.364230424540322,7.268752547179392,2675,7480
2024-25,1627827,Dorian Finney-Smith,1610612751,-0.2384,0.4087,0.6471,0.6471,269,105,164,0.53,0.28,3.81,5.04,-0.19,-0.09,-0.26,0.42,-0.2384,0.4087,1.973770833159609,7.2629768628437095,1982,7259
2024-25,1630534,Ochai Agbaji,1610612761,1.0046,0.3991,-0.6054999999999999,0.6054999999999999,6,108,-102,1.13,1.01,-2.54,-0.51,0.13,0.16,1.06,0.41,1.0046,0.3991,4.3663609171719076,7.2526017935761695,3607,7355
2024-25,201939,Stephen Curry,1610612744,0.5969,0.2546,-0.3423,0.3423,32,141,-109,1.4,1.14,2.52,0.29,0.19,0.15,0.64,0.26,0.5969,0.2546,3.194143938681617,7.247882125850325,2623,9434
2024-25,1630198,Isaiah Joe,1610612760,0.2837,0.466,0.18230000000000002,0.18230000000000002,89,91,-2,0.24,1.24,2.8,1.61,0.01,0.1,0.31,0.48,0.2837,0.466,1.2971682043162653,7.243210390365693,2166,6664
2024-25,202681,Kyrie Irving,1610612742,0.8141,0.3701,-0.44400000000000006,0.44400000000000006,20,117,-97,1.49,1.05,0.18,1.9,0.18,0.05,0.86,0.38,0.8141,0.3701,4.508267943711688,7.0243957902463725,3508,7454
2024-25,1630174,Aaron Nesmith,1610612754,0.287,0.7848,0.4978000000000001,0.4978000000000001,88,35,53,0.88,1.89,0,2.12,0.06,-0.18,0.3901,0.82,0.287,0.7848,0.5973528986001895,6.9970726039919295,557,4464
2024-25,1642419,Jamison Battle,1610612761,0.9173,0.7934,-0.12390000000000001,0.12390000000000001,10,33,-23,1.28,0.9,-0.22,-2.2,0.04,0.14,1.05,0.83,0.9173,0.7934,2.0819750905158356,6.852646430547949,1463,4336
2024-25,1629012,Collin Sexton,1610612762,-0.2906,0.3601,0.6507000000000001,0.6507000000000001,289,123,166,0.45,0.52,2.37,1.96,-0.3,-0.18,-0.31,0.37,-0.2906,0.3601,1.3406588732410434,6.746983271594251,3099,7276
2024-25,1629599,Amir Coffey,1610612746,0.3918,0.3696,-0.022199999999999998,0.022199999999999998,64,119,-55,1,0.43,0.52,-2.56,0.01,-0.28,0.42,0.38,0.3918,0.3696,2.849047552034319,6.71934536043525,2701,7136
2024-25,1628381,John Collins,1610612762,-0.2537,0.6063,0.8599999999999999,0.8599999999999999,274,61,213,0.89,1.28,0.84,3.39,-0.32,-0.28,-0.27,0.63,-0.2537,0.6063,2.9301270218529383,6.638672986791001,2973,5113
2024-25,1631117,Walker Kessler,1610612762,0.1017,0.3503,0.2486,0.2486,135,126,9,0.71,0.53,-0.4,0.16,-0.15,-0.27,0.11,0.36,0.1017,0.3503,1.85235631479065,6.6093921151627955,2469,7243
2024-25,1630215,Jared Butler,1610612764,1.2814,0.7267,-0.5547000000000001,0.5547000000000001,1,39,-38,1.25,0.68,1.12,1.2,0.32,0.22,1.57,0.76,1.2814,0.7267,1.194364764717286,6.468512927568475,785,4371
2024-25,1629637,Jaxson Hayes,1610612747,0.3789,0.6704,0.2915,0.2915,71,46,25,0.89,0.96,0.38,2,-0.27,-0.52,0.4734,0.7,0.3789,0.6704,0.817628186718002,6.313811166867015,802,4526
2024-25,1627936,Alex Caruso,1610612760,-0.0794,0.726,0.8054,0.8054,201,40,161,0.96,1.43,-0.27,1.94,0.24,0.23,-0.09,0.76,-0.0794,0.726,1.4148835901494956,6.311583071302267,1469,4268
2024-25,1630573,Sam Hauser,1610612738,-0.1083,0.4259,0.5342,0.5342,213,99,114,0.61,1.09,1.89,1.36,-0.33,-0.13,-0.12,0.44,-0.1083,0.4259,1.8276459034951114,6.194767376099363,1790,6035
2024-25,1641717,Cason Wallace,1610612760,0.2892,0.2729,-0.016300000000000037,0.016300000000000037,87,137,-50,0.44,0.74,0.01,-0.03,0.21,0.19,0.31,0.28,0.2892,0.2729,1.4129818325378953,6.128887675890675,2788,7701
2024-25,1629006,Josh Okogie,1610612756,0.4112,1.3065,0.8953,0.8953,58,8,50,1.56,1.93,-0.08,3.01,-0.06,-0.21,0.51,1.41,0.4112,1.3065,1.4102942290946658,5.941002937081493,795,2524
2024-25,1631108,Max Christie,1610612747,-0.4864,0.1955,0.6819,0.6819,361,162,199,-0.49,-0.21,-1.78,-0.16,-0.02,-0.14,-0.53,0.2,-0.4864,0.1955,-0.032046020006866745,5.9361277156671886,2034,8740
2024-25,1629018,Gary Trent Jr.,1610612749,-0.4422,0.2437,0.6859,0.6859,351,148,203,0.12,0.8,0.14,-1.82,-0.06,-0.07,-0.48,0.25,-0.4422,0.2437,0.8761577194560332,5.8102413713711,2522,7728
2024-25,1628973,Jalen Brunson,1610612752,0.4083,0.1566,-0.25170000000000003,0.25170000000000003,60,172,-112,0.54,0.52,0.66,0.04,0.23,0.06,0.43,0.16,0.4083,0.1566,2.2626624586977395,5.794758654538473,3730,9338
2024-25,1629634,Brandon Clarke,1610612763,0.5426,0.4625,-0.08009999999999995,0.08009999999999995,39,92,-53,0.99,1.18,2.63,1.18,0.02,-0.06,0.59,0.48,0.5426,0.4625,2.2752095787036417,5.719716359742453,2240,5288
2024-25,1628404,Josh Hart,1610612752,0.057,0.0688,0.011799999999999998,0.011799999999999998,156,206,-50,0.71,0.06,-1.19,-0.88,0.07,0.05,0.06,0.07,0.057,0.0688,3.2856774583584345,5.709192067459818,3879,11694
2024-25,1626220,Royce O'Neale,1610612756,0.084,0.2532,0.16919999999999996,0.16919999999999996,147,142,5,1.19,0.19,2.05,0.84,-0.14,0.21,0.09,0.26,0.084,0.2532,3.518405647900055,5.6941175283290795,2669,7432
2024-25,204001,Kristaps Porziņģis,1610612738,-0.1655,0.4905,0.656,0.656,238,85,153,0.78,1.25,-0.7,-2.33,-0.13,-0.33,-0.2,0.51,-0.1655,0.4905,1.0224876029559582,5.658560849169154,1057,5035
2024-25,203932,Aaron Gordon,1610612743,0.7874,0.3677,-0.41969999999999996,0.41969999999999996,22,120,-98,0.51,0.91,0.03,0.06,0.07,-0.19,0.88,0.38,0.7874,0.3677,1.7052760929588067,5.604328080653618,1622,5970
2024-25,1629627,Zion Williamson,1610612740,0.1718,0.7584,0.5866,0.5866,122,37,85,-0.88,1.98,1.6,3.47,0.01,-0.07,0.2151,0.8,0.1718,0.7584,-0.37093421121047304,5.571346026060155,792,3647
2024-25,1629026,Kenrich Williams,1610612760,0.4983,0.5368,0.038500000000000034,0.038500000000000034,48,74,-26,2.04,0.57,-0.32,1.19,0.03,-0.07,0.62,0.56,0.4983,0.5368,1.910614626400951,5.5289098644438175,804,4632
2024-25,1629130,Duncan Robinson,1610612748,0.1192,0.2529,0.1337,0.1337,131,143,-12,0.77,0.55,2.52,1.61,0.05,0.16,0.13,0.26,0.1192,0.2529,1.366473026137745,5.486312270656604,2248,7165
2024-25,1628415,Dillon Brooks,1610612745,0.0849,0.1273,0.04239999999999999,0.04239999999999999,144,183,-39,1.26,0.79,3.25,0.43,0.05,0.05,0.09,0.13,0.0849,0.1273,3.891111890640324,5.486106071581203,3320,9518
2024-25,1630167,Obi Toppin,1610612754,0.212,0.3103,0.09830000000000003,0.09830000000000003,108,131,-23,0.61,0.74,-2.39,-2.74,0.16,0.01,0.23,0.32,0.212,0.3103,2.471795413163536,5.438074649820157,2219,6381
2024-25,1629029,Luka Dončić,1610612742,0.0564,0.2337,0.17729999999999999,0.17729999999999999,158,150,8,1.13,0.79,1.31,1.71,0.3,-0.06,0.06,0.24,0.0564,0.2337,3.3869983428235595,5.428519854944671,2961,7368
2024-25,1631217,Moussa Diabaté,1610612766,-0.696,0.4804,1.1764,1.1764,407,87,320,0.62,0.8,3.55,2.12,-0.36,-0.5,-0.77,0.5,-0.696,0.4804,0.8990811874092794,5.4222677120729195,1924,4891
2024-25,1630182,Josh Green,1610612766,-0.3925,0.2047,0.5972,0.5972,332,158,174,-0.41,-0.01,-2.62,-0.07,-0.25,-0.17,-0.42,0.21,-0.3925,0.2047,0.44923607175797203,5.395456556709658,2847,7785
2024-25,1631133,Jabari Walker,1610612757,-0.1737,0.8743,1.048,1.048,242,27,215,0.88,1.7,-0.64,2.41,-0.15,-0.33,-0.21,0.93,-0.1737,0.8743,0.3602918579263162,5.345373393856247,889,3140
2024-25,1629639,Tyler Herro,1610612748,0.1418,0.0687,-0.07310000000000001,0.07310000000000001,127,207,-80,1.43,0.68,-0.5,0.25,0,0.07,0.15,0.07,0.1418,0.0687,5.237707270113528,5.320394064050989,3470,10901
2024-25,1630572,Sandro Mamukelashvili,1610612759,0.5723,1.0422,0.4699,0.4699,34,18,16,1.46,1.79,1.91,1.93,-0.31,-0.07,0.73,1.12,0.5723,1.0422,1.0983268077608408,5.240537442889246,651,2680
2024-25,1629640,Keldon Johnson,1610612759,-0.2501,0.2045,0.4546,0.4546,273,159,114,-0.05,0.62,-3.55,-3.19,-0.06,-0.19,-0.27,0.21,-0.2501,0.2045,0.6622538542899964,5.1991378536716875,2697,7505
2024-25,1629656,Quentin Grimes,1610612742,-0.2196,0.1562,0.3758,0.3758,259,173,86,0.57,0.23,2.84,-1.09,-0.14,-0.1,-0.24,0.16,-0.2196,0.1562,0.5229857504782102,5.122678241692922,2157,8263
2024-25,1630598,Aaron Wiggins,1610612760,-0.3299,0.2043,0.5342,0.5342,306,160,146,-0.02,0.35,-0.48,0.38,-0.03,0.04,-0.36,0.21,-0.3299,0.2043,0.9260741090534247,5.000218148261554,2215,7221
2024-25,1628379,Luke Kennard,1610612763,-0.4286,0.2617,0.6902999999999999,0.6902999999999999,349,140,209,-0.31,0.28,0.66,1.17,0.05,0.09,-0.49,0.27,-0.4286,0.2617,0.7571733584401256,4.933244145942185,1462,6333
2024-25,1630577,Julian Champagnie,1610612759,0.2544,0.1561,-0.09830000000000003,0.09830000000000003,96,174,-78,0.85,0.27,2.38,-0.57,-0.15,0,0.27,0.16,0.2544,0.1561,2.8724679912452804,4.906980895285855,3234,7917
2024-25,202699,Tobias Harris,1610612765,-0.3491,0.0881,0.43720000000000003,0.43720000000000003,314,197,117,-0.26,0.55,2.29,5.17,0.02,0.01,-0.37,0.09,-0.3491,0.0881,0.3331301586375971,4.875613313131443,3359,9425
2024-25,203952,Andrew Wiggins,1610612744,0.5304,0.1657,-0.3647,0.3647,41,168,-127,1.06,0.47,-0.35,-2.61,-0.03,-0.15,0.57,0.17,0.5304,0.1657,3.594133114414888,4.840138631264659,2656,7631
2024-25,1641708,Amen Thompson,1610612745,-0.2341,0.0978,0.3319,0.3319,268,193,75,0.6,0.72,0.7,0.97,-0.09,-0.08,-0.25,0.1,-0.2341,0.0978,2.049808706103172,4.829899822204839,3091,9080
2024-25,203081,Damian Lillard,1610612749,0.1786,0.1172,-0.06140000000000001,0.06140000000000001,119,185,-66,0.23,0.75,-1.66,-1.42,0.1,-0.11,0.19,0.12,0.1786,0.1172,1.5613158502634628,4.778914990587503,2960,8516
2024-25,1627751,Jakob Pöltl,1610612761,-0.3122,0.1848,0.497,0.497,299,164,135,0.51,1.02,1.98,2.25,-0.06,0.15,-0.33,0.19,-0.3122,0.1848,2.116182253428797,4.681222450864215,3292,7060
2024-25,1628418,Thomas Bryant,1610612748,0.2319,0.5326,0.30069999999999997,0.30069999999999997,103,76,27,0.93,0.07,1.55,1.23,-0.03,0.07,0.33,0.56,0.2319,0.5326,0.5165030573201861,4.624544082934658,479,3895
2024-25,1627777,Georges Niang,1610612739,-0.5347,0.1654,0.7001,0.7001,374,169,205,0.01,-0.28,0.07,-1.53,-0.22,-0.02,-0.58,0.17,-0.5347,0.1654,0.7333574552870052,4.542595023494614,2437,7167
2024-25,1630231,KJ Martin,1610612755,0.3117,0.5228,0.21110000000000007,0.21110000000000007,79,78,1,1.35,0.18,1.5,1.7,0.03,-0.24,0.35,0.55,0.3117,0.5228,2.4094800855176017,4.502519600123106,1751,3840
2024-25,1626172,Kevon Looney,1610612744,0.08,0.3929,0.3129,0.3129,150,109,41,0.84,0.63,0.21,0.55,-0.07,-0.18,0.09,0.41,0.08,0.3929,1.1592466438597813,4.4910158622323175,1551,4598
2024-25,1629023,P.J. Washington,1610612742,0,0.1267,0.1267,0.1267,176,184,-8,0.51,0.09,1.85,0.95,0.02,-0.14,0,0.13,0,0.1267,1.8967983974741431,4.39730652189978,2982,7641
2024-25,1630527,Brandon Boston Jr.,1610612740,-0.4757,0.4595,0.9352,0.9352,356,93,263,0.09,0.24,1.04,1.09,0.19,-0.13,-0.51,0.4823,-0.4757,0.4595,1.666759750580067,4.349405934054998,2684,4038
2024-25,1630631,Jose Alvarado,1610612740,0.0069,0.2511,0.2442,0.2442,173,145,28,0.57,0.02,-0.87,0.77,0.43,0.39,0.0082,0.26,0.0069,0.2511,0.8122461591818816,4.327718252940241,1127,5672
2024-25,1630241,Sam Merrill,1610612739,-0.0817,0.232,0.3137,0.3137,202,151,51,-0.2,0.55,-0.35,1.04,-0.05,0.09,-0.09,0.24,-0.0817,0.232,0.3028079575290935,4.2591370132371,1986,5801
2024-25,1630188,Jalen Smith,1610612741,0.0448,0.4198,0.375,0.375,160,101,59,0.43,0.52,1.16,1.94,-0.32,-0.09,0.05,0.44,0.0448,0.4198,0.9674830755799352,4.228828462298892,1668,4157
