player,playerId,oldRank,newRank,oldWar,newWar,possessions,creationPer100,connectionPer100,executionPer100
Donovan Mitchell,1628378,26,25,10.171734068187975,3.11,9308,0.97,0.08,4.31
DeMar DeRozan,201942,12,26,14.931805809496899,2.99,11459,0.83,0.06,4.26
Naz Reid,1629675,7,27,16.68522854025751,2.94,9046,0.37,0.04,3.33
Aaron Nesmith,1630174,65,28,6.9970726039919295,2.94,4464,0.4,0.01,3.85
Isaiah Joe,1630198,63,29,7.243210390365693,2.84,6664,0.23,0.04,3.19
Karl-Anthony Towns,1626157,23,30,11.024244550491758,2.81,10077,0.7,0.03,4.87
Nikola Vučević,202696,27,31,10.10772990532959,2.79,9771,0.43,0.05,3.76
Tyrese Haliburton,1630169,231,32,1.0226423549567885,2.76,9847,0.51,0.07,3.44
Kyrie Irving,202681,64,33,7.0243957902463725,2.68,7454,0.63,0.03,4.79
Daniel Gafford,1629655,58,34,7.278137770446818,2.67,5145,0.68,0.01,4.7
Jaden McDaniels,1630183,32,35,9.504529931868959,2.67,10534,0.32,0.02,2.54
Rui Hachimura,1629060,59,36,7.268752547179392,2.61,7480,0.32,0.01,3.17
Zach LaVine,203897,10,37,14.986467405767932,2.6,10890,0.61,0.04,4.87
Dillon Brooks,1628415,88,38,5.486106071581203,2.57,9518,0.3,0.02,3.08
Zion Williamson,1629627,85,39,5.571346026060155,2.54,3647,1.44,0.07,5.91
Ochai Agbaji,1630534,61,40,7.2526017935761695,2.53,7355,0.26,0.03,2.61
Tyler Herro,1629639,94,41,5.320394064050989,2.51,10901,0.69,0.08,4.46
Cameron Johnson,1629661,39,42,8.912220223903729,2.5,7215,0.75,0.06,3.93
Jakob Pöltl,1627751,105,43,4.681222450864215,2.46,7060,0.6,0.05,3.41
Luke Kornet,1628436,45,44,8.266860980421429,2.44,5296,0.36,0.02,2.97
Chris Boucher,1628449,56,45,7.589672920010791,2.35,3459,0.68,0.02,3.74
Derrick Jones Jr.,1627884,51,46,7.859624287908271,2.27,7733,0.42,0,2.74
Deni Avdija,1630166,123,47,3.9715256290595025,2.27,8956,0.78,0.07,3.99
John Collins,1628381,69,48,6.638672986791001,2.26,5113,0.74,0.03,4.47
Darius Garland,1629636,28,49,10.016272023761136,2.26,9684,0.61,0.07,4.65
Sam Hauser,1630573,74,50,6.194767376099363,2.26,6035,0.07,0.02,2.92
Amen Thompson,1641708,103,51,4.829899822204839,2.24,9080,0.59,0.06,3.05
Kevin Durant,201142,52,52,7.785232997356881,2.24,9248,0.87,0.03,5.16
Onyeka Okongwu,1630168,34,53,9.479889443819182,2.22,8921,0.61,0.04,2.9
Kristaps Porziņģis,204001,83,54,5.658560849169154,2.19,5035,0.8,0.02,3.88
Damian Lillard,203081,104,55,4.778914990587503,2.19,8516,1.22,0.07,3.98
Brandon Clarke,1629634,80,56,5.719716359742453,2.16,5288,0.36,0.01,3.22
Alex Caruso,1627936,73,57,6.311583071302267,2.13,4268,0.27,0.03,2.28
Trey Murphy III,1630530,41,58,8.760943809685083,2.12,7827,0.64,0.03,3.78
Gary Trent Jr.,1629018,78,59,5.8102413713711,2.11,7728,0.33,0.01,2.63
Mark Williams,1631109,50,60,7.934208061076099,2.09,4827,0.83,0.06,3.92
Desmond Bane,1630217,125,61,3.936846200351941,2.07,9508,0.46,0.06,4.23
Justin Champagnie,1630551,31,62,9.516285841582219,2.03,5479,0.41,0.01,2.6
Luka Dončić,1629029,90,63,5.428519854944671,2.01,7368,1.2,0.06,4.46
Domantas Sabonis,1627734,29,64,9.723405577767181,2,10119,0.62,0.06,4.32
Cason Wallace,1641717,75,65,6.128887675890675,1.96,7701,0.1,0.03,2.21
Jalen Duren,1631105,46,66,8.146521813298515,1.95,8369,0.59,0.02,3.85
Goga Bitadze,1629048,43,67,8.331970448703728,1.95,5644,0.56,0.03,2.57
Miles Bridges,1628970,37,68,9.105536379001652,1.9,8345,0.84,0.06,3.38
Seth Curry,203552,55,69,7.633675772555285,1.89,4319,0.3,0.03,3.32
Jabari Walker,1631133,93,70,5.345373393856247,1.89,3140,0.51,0,3.02
Aaron Gordon,203932,84,71,5.604328080653618,1.87,5970,0.62,0.03,4.04
Jayson Tatum,1628369,25,72,10.49226585825886,1.83,10587,0.96,0.05,4.4
Ausar Thompson,1641709,53,73,7.735870325424827,1.79,5515,0.65,0.02,2.72
Kai Jones,1630539,169,74,2.235301076883813,1.78,1881,0.35,0.01,4.31
Gary Payton II,1627780,151,75,2.7062386628549846,1.78,3791,0.25,0.03,3.85
Tobias Harris,202699,101,76,4.875613313131443,1.77,9425,0.38,0.02,2.66
Josh Okogie,1629006,76,77,5.941002937081493,1.75,2524,0.73,0.04,2.18
Derrick White,1628401,54,78,7.728336221196142,1.74,10451,0.38,0.03,3.03
Sandro Mamukelashvili,1630572,95,79,5.240537442889246,1.72,2680,0.48,0.02,3.67
Jalen Brunson,1628973,79,80,5.794758654538473,1.65,9338,1,0.06,4.89
Obi Toppin,1630167,89,81,5.438074649820157,1.62,6381,0.46,0.03,3.61
Keldon Johnson,1629640,96,82,5.1991378536716875,1.59,7505,0.62,0.04,3.44
Jamal Murray,1627750,130,83,3.851667140921571,1.58,10017,0.56,0.07,4.19
Michael Porter Jr.,1629008,36,84,9.11815024568654,1.55,10812,0.46,0.02,3.54
Jaxson Hayes,1629637,72,85,6.313811166867015,1.51,4526,0.41,0.01,3.09
Tyrese Maxey,1630178,57,86,7.3325259419204984,1.51,7776,0.81,0.07,4.1
Moses Moody,1630541,42,87,8.523504217788043,1.48,6827,0.52,0.02,2.35
Kentavious Caldwell-Pope,203484,145,88,2.828023032269523,1.45,9099,0.22,0.03,1.7
Alec Burks,202692,121,89,4.037517171164351,1.44,3377,0.42,0.03,2.66
Anthony Davis,203076,47,90,8.092697222484867,1.42,6970,1.1,0.03,4.01
Brook Lopez,201572,129,91,3.853815349417634,1.39,10423,0.31,0.01,2.64
Jay Huff,1630643,139,92,3.211180405707845,1.38,3184,0.36,0.02,3.97
Jamison Battle,1642419,66,93,6.852646430547949,1.37,4336,0.18,0.01,2.84
Jaylen Clark,1641740,133,94,3.388130715038365,1.37,2157,0.51,0,2.1
Jalen Williams,1631114,495,95,-2.868729563483651,1.37,9284,0.65,0.04,4.08
Moussa Diabaté,1631217,91,96,5.4222677120729195,1.36,4891,0.49,0.01,2.43
Victor Wembanyama,1641705,4,97,17.769548987801056,1.36,6024,0.81,0.06,4
Duncan Robinson,1629130,87,98,5.486312270656604,1.35,7165,0.26,0.05,3.04
Kawhi Leonard,202695,485,99,-2.494222603011163,1.35,4736,0.59,0.05,4.37
Immanuel Quickley,1630193,250,100,0.7511934813472411,1.34,3787,0.83,0.12,3.47
