player,playerId,oldRank,newRank,oldWar,newWar,possessions,creationPer100,connectionPer100,executionPer100
Landry Shamet,1629013,73,73,1.7,1.7,4854,0.42,0.03,2.61
Franz Wagner,1630532,74,74,1.69,1.69,4174,0.95,0.05,4.11
Paul George,202331,75,75,1.68,1.68,4694,0.61,0.03,3.54
Josh Minott,1631169,76,76,1.64,1.64,3365,0.44,0.02,3.15
Karlo Matković,1631255,77,77,1.6,1.6,3688,0.34,0.03,3.06
Keon Ellis,1631165,78,78,1.57,1.57,6005,0.31,0.02,1.9
Evan Mobley,1630596,79,79,1.56,1.56,8779,0.74,0.05,3.45
Blake Hinson,1642396,80,80,1.55,1.55,1218,0.43,0.01,5.07
Toumani Camara,1641739,81,81,1.52,1.52,11640,0.27,0.03,2.67
Luke Kornet,1628436,82,82,1.51,1.51,5861,0.42,0.02,2.35
Immanuel Quickley,1630193,83,83,1.5,1.5,9153,0.56,0.07,2.86
Deandre Ayton,1629028,84,84,1.5,1.5,8061,0.39,0.01,3.92
Cameron Johnson,1629661,85,85,1.49,1.49,6872,0.34,0.02,2.97
Devin Vassell,1630170,86,86,1.48,1.48,8333,0.3,0.03,2.85
Tyler Herro,1629639,87,87,1.45,1.45,4431,0.62,0.06,4.25
Aaron Gordon,203932,88,88,1.44,1.44,4176,0.9,0.03,3.33
Day'Ron Sharpe,1630549,89,89,1.43,1.43,4696,0.59,0.06,3.32
Bones Hyland,1630538,90,90,1.4,1.4,4951,0.48,0.06,3.34
Svi Mykhailiuk,1629004,91,91,1.39,1.39,4971,0.22,0.03,3.13
Pascal Siakam,1627783,92,92,1.37,1.37,8690,1.04,0.04,3.95
Grayson Allen,1628960,93,93,1.35,1.35,6039,0.7,0.05,3.06
Donovan Clingan,1642270,94,94,1.33,1.33,8850,0.45,0.02,3.03
Goga Bitadze,1629048,95,95,1.33,1.33,3878,0.49,0.03,3.07
Bobby Portis,1626171,96,96,1.29,1.29,6650,0.28,0.03,3.88
Simone Fontecchio,1631323,97,97,1.29,1.29,5031,0.53,0.04,2.89
Austin Reaves,1630559,98,98,1.28,1.28,7310,1.08,0.03,4.19
Alex Caruso,1627936,99,99,1.28,1.28,4205,0.35,0.03,1.51
Jordan Goodwin,1630692,100,100,1.27,1.27,6325,0.3,0.03,2.23
