rank,playerId,playerName,actualPossessions,drblWar,seasonalImpact,drbl100,drblP,creationValuePer100,connectionValuePer100,conversionOpportunityPer100,executionValuePer100,turnoverValuePer100,defensiveValuePer100,finalRankingScore,rankingMode,sequentialAttributionVersion
54,204001,Kristaps Porziņģis,5035,2.19,65.56,0.49,1.25,0.8,0.02,-1.78,3.88,-1.28,-0.32,2.185349,season_value,drbl-seq-attr-v1
55,203081,Damian Lillard,8516,2.19,65.55,0.3,0.75,1.22,0.07,-1.82,3.98,-2.12,-0.55,2.18501,season_value,drbl-seq-attr-v1
56,1629634,Brandon Clarke,5288,2.16,64.78,0.46,1.18,0.36,0.01,-1.49,3.22,-0.95,0.08,2.159288,season_value,drbl-seq-attr-v1
57,1627936,Alex Caruso,4268,2.13,63.94,0.56,1.43,0.27,0.03,-1.17,2.28,-1.04,1.15,2.13143,season_value,drbl-seq-attr-v1
58,1630530,Trey Murphy III,7827,2.12,63.72,0.31,0.79,0.64,0.03,-1.3,3.78,-1.51,-0.82,2.124014,season_value,drbl-seq-attr-v1
59,1629018,Gary Trent Jr.,7728,2.11,63.21,0.32,0.8,0.33,0.01,-1.01,2.63,-0.68,-0.45,2.107064,season_value,drbl-seq-attr-v1
60,1631109,Mark Williams,4827,2.09,62.67,0.49,1.25,0.83,0.06,-1.59,3.92,-1.61,-0.31,2.089153,season_value,drbl-seq-attr-v1
61,1630217,Desmond Bane,9508,2.07,62.13,0.25,0.64,0.46,0.06,-1.67,4.23,-2.02,-0.41,2.071034,season_value,drbl-seq-attr-v1
62,1630551,Justin Champagnie,5479,2.03,60.88,0.42,1.07,0.41,0.01,-0.86,2.6,-1.12,0.08,2.029238,season_value,drbl-seq-attr-v1
63,1629029,Luka Dončić,7368,2.01,60.16,0.31,0.79,1.2,0.06,-2.32,4.46,-2.77,0.2,2.005293,season_value,drbl-seq-attr-v1
64,1627734,Domantas Sabonis,10119,2,60.02,0.23,0.58,0.62,0.06,-1.64,4.32,-2.28,-0.48,2.000673,season_value,drbl-seq-attr-v1
65,1641717,Cason Wallace,7701,1.96,58.81,0.29,0.74,0.1,0.03,-1.03,2.21,-0.95,0.43,1.96018,season_value,drbl-seq-attr-v1
66,1631105,Jalen Duren,8369,1.95,58.44,0.27,0.68,0.59,0.02,-1.36,3.85,-1.81,-0.58,1.947841,season_value,drbl-seq-attr-v1
67,1629048,Goga Bitadze,5644,1.95,58.37,0.39,1,0.56,0.03,-0.98,2.57,-1.54,0.41,1.94583,season_value,drbl-seq-attr-v1
68,1628970,Miles Bridges,8345,1.9,57.07,0.27,0.67,0.84,0.06,-1.51,3.38,-1.77,-0.3,1.902304,season_value,drbl-seq-attr-v1
69,203552,Seth Curry,4319,1.89,56.69,0.49,1.25,0.3,0.03,-0.95,3.32,-0.93,-0.47,1.889774,season_value,drbl-seq-attr-v1
70,1631133,Jabari Walker,3140,1.89,56.67,0.65,1.7,0.51,0,-1.12,3.02,-1.3,0.71,1.889101,season_value,drbl-seq-attr-v1
71,203932,Aaron Gordon,5970,1.87,56.13,0.36,0.91,0.62,0.03,-1.31,4.04,-1.36,-1.08,1.870937,season_value,drbl-seq-attr-v1
72,1628369,Jayson Tatum,10587,1.83,54.76,0.2,0.51,0.96,0.05,-2.41,4.4,-2.27,-0.2,1.825441,season_value,drbl-seq-attr-v1
73,1641709,Ausar Thompson,5515,1.79,53.75,0.37,0.94,0.65,0.02,-1.55,2.72,-1.69,0.84,1.791696,season_value,drbl-seq-attr-v1
74,1630539,Kai Jones,1881,1.78,53.34,0.94,2.56,0.35,0.01,-1.18,4.31,-1.23,0.59,1.77788,season_value,drbl-seq-attr-v1
75,1627780,Gary Payton II,3791,1.78,53.32,0.52,1.34,0.25,0.03,-1.24,3.85,-1.34,-0.09,1.777464,season_value,drbl-seq-attr-v1
76,202699,Tobias Harris,9425,1.77,53.15,0.22,0.55,0.38,0.02,-1.3,2.66,-1.07,-0.12,1.771698,season_value,drbl-seq-attr-v1
77,1629006,Josh Okogie,2524,1.75,52.53,0.73,1.93,0.73,0.04,-0.92,2.18,-1.33,1.39,1.750852,season_value,drbl-seq-attr-v1
78,1628401,Derrick White,10451,1.74,52.13,0.2,0.49,0.38,0.03,-1.13,3.03,-1.47,-0.32,1.737725,season_value,drbl-seq-attr-v1
79,1630572,Sandro Mamukelashvili,2680,1.72,51.51,0.68,1.79,0.48,0.02,-1.04,3.67,-1.17,-0.03,1.716981,season_value,drbl-seq-attr-v1
80,1628973,Jalen Brunson,9338,1.65,49.64,0.21,0.52,1,0.06,-2.3,4.89,-2.13,-0.96,1.654806,season_value,drbl-seq-attr-v1
81,1630167,Obi Toppin,6381,1.62,48.54,0.29,0.74,0.46,0.03,-1.26,3.61,-1.28,-0.79,1.617885,season_value,drbl-seq-attr-v1
82,1629640,Keldon Johnson,7505,1.59,47.7,0.25,0.62,0.62,0.04,-1.46,3.44,-1.14,-0.84,1.589979,season_value,drbl-seq-attr-v1
83,1627750,Jamal Murray,10017,1.58,47.31,0.18,0.46,0.56,0.07,-2.09,4.19,-1.58,-0.67,1.577027,season_value,drbl-seq-attr-v1
84,1629008,Michael Porter Jr.,10812,1.55,46.57,0.17,0.42,0.46,0.02,-1.44,3.54,-1.12,-1.03,1.552498,season_value,drbl-seq-attr-v1
85,1629637,Jaxson Hayes,4526,1.51,45.25,0.37,0.96,0.41,0.01,-1.18,3.09,-1.16,-0.17,1.50842,season_value,drbl-seq-attr-v1
86,1630178,Tyrese Maxey,7776,1.51,45.2,0.22,0.57,0.81,0.07,-2.07,4.1,-1.79,-0.54,1.506722,season_value,drbl-seq-attr-v1
87,1630541,Moses Moody,6827,1.48,44.28,0.25,0.63,0.52,0.02,-0.97,2.35,-1,-0.25,1.475992,season_value,drbl-seq-attr-v1
88,203484,Kentavious Caldwell-Pope,9099,1.45,43.57,0.19,0.47,0.22,0.03,-0.85,1.7,-0.89,0.29,1.452319,season_value,drbl-seq-attr-v1
89,202692,Alec Burks,3377,1.44,43.25,0.46,1.21,0.42,0.03,-0.67,2.66,-1.08,-0.09,1.441778,season_value,drbl-seq-attr-v1
90,203076,Anthony Davis,6970,1.42,42.46,0.23,0.59,1.1,0.03,-2.6,4.01,-1.89,-0.05,1.415449,season_value,drbl-seq-attr-v1
91,201572,Brook Lopez,10423,1.39,41.57,0.16,0.39,0.31,0.01,-1.01,2.64,-0.95,-0.59,1.385712,season_value,drbl-seq-attr-v1
92,1630643,Jay Huff,3184,1.38,41.27,0.47,1.22,0.36,0.02,-1.25,3.97,-1.32,-0.49,1.375508,season_value,drbl-seq-attr-v1
93,1642419,Jamison Battle,4336,1.37,41.03,0.35,0.9,0.18,0.01,-0.72,2.84,-0.79,-0.56,1.367736,season_value,drbl-seq-attr-v1
94,1641740,Jaylen Clark,2157,1.37,41.03,0.65,1.74,0.51,0,-0.69,2.1,-0.49,0.48,1.367679,season_value,drbl-seq-attr-v1
95,1631114,Jalen Williams,9284,1.37,40.98,0.17,0.43,0.65,0.04,-2.47,4.08,-1.86,0.03,1.366097,season_value,drbl-seq-attr-v1
96,1631217,Moussa Diabaté,4891,1.36,40.93,0.31,0.8,0.49,0.01,-1.05,2.43,-1.41,0.38,1.364427,season_value,drbl-seq-attr-v1
97,1641705,Victor Wembanyama,6024,1.36,40.75,0.26,0.65,0.81,0.06,-1.93,4,-2.58,0.33,1.358439,season_value,drbl-seq-attr-v1
98,1629130,Duncan Robinson,7165,1.35,40.58,0.22,0.55,0.26,0.05,-0.94,3.04,-1.4,-0.43,1.352529,season_value,drbl-seq-attr-v1
99,202695,Kawhi Leonard,4736,1.35,40.37,0.32,0.82,0.59,0.05,-2.62,4.37,-1.78,0.24,1.345586,season_value,drbl-seq-attr-v1
100,1630193,Immanuel Quickley,3787,1.34,40.08,0.39,1.01,0.83,0.12,-1.28,3.47,-1.74,-0.32,1.336158,season_value,drbl-seq-attr-v1
