k,foldId,RMSE,deltaVs800,deltaVs0,Pearson,Spearman
9600,1,2.5840243439113775,-0.000305679466734432,-0.4419176905905733,0.21132707632636322,0.2777132442730195
9600,2,2.8407980826791825,0.018495473431978215,-0.2898086631457306,0.22942735300113798,0.27493315079521974
9600,3,3.219761617694268,-0.004338801351869481,-0.37294332901343275,0.18155230603974845,0.25643175356645675
9600,4,2.5096778917641998,0.019146684207819398,-0.1324133918550232,0.24242752160394462,0.24193278796175427
9600,summary,,,,,
12800,0,2.309689930585196,0.034556475708434675,-0.5511173562695237,0.23560867747163367,0.26279894008925525
12800,1,2.5896730221190625,0.005342998740950566,-0.4362690123828883,0.21159199646219545,0.2780891649627239
12800,2,2.8478486075500715,0.02554599830286719,-0.28275813827484164,0.22955708072050196,0.27565774462326187
12800,3,3.2254889362733814,0.0013885172272440904,-0.3672160104343192,0.18120909083461778,0.25584217007904986
12800,4,2.516939405381412,0.026408197825031454,-0.12515187823781115,0.24233724800158,0.2418892637086503
12800,summary,,,,,
