rank,playerId,playerName,teamId,possessions,drbl100,drblP,drblLn,drblB,drblO,drblD,sdv100,shotMaking100,epvShootMean,vContMean,drblWar,seasonalImpact,drblL,meanLeverage,disagreement,uncertainty,intervalLo,intervalHi
22,1631098,Johnny Davis,1610612764,750,0.43,0.54,1.36,0.19,0.41,0.48,-0.71,-1.35,1.065,1.1,0.17,5.13,3.33,0.745,0.49,1.63,-1.2,2.06
23,1642353,Cam Christie,1610612746,76,0.43,0.81,0,-0.01,-0.57,1.5,0.05,-1.2,1.071,1.055,0.07,2.23,1.08,0.589,0.38,4,-3.57,4.43
24,1630696,Dru Smith,1610612748,944,0.42,0.77,2.24,-0.06,0.13,1.18,-0.67,4.39,1.078,1.111,0.29,8.77,5.96,1.001,0.95,1.74,-1.32,2.16
25,1628386,Jarrett Allen,1610612739,3393,0.42,0.98,-1.71,-0.3,1.98,-0.12,6.52,7.96,1.235,1.109,1.17,35.18,27.17,0.959,1.1,1.25,-0.83,1.67
26,1641737,Adem Bona,1610612755,364,0.41,0.12,1.03,-0.19,-0.76,0.95,0.63,0.68,1.12,1.016,0.02,0.68,1.17,0.822,0.52,2.23,-1.82,2.64
27,1630215,Jared Butler,1610612764,888,0.41,0.53,1.12,0.32,0.59,0.3,-1.67,-1.82,1.047,1.1,0.19,5.74,3.9,0.763,0.34,1.43,-1.02,1.84
28,203932,Aaron Gordon,1610612743,1700,0.41,0.91,0.03,0.07,2.25,-0.61,1.54,3.36,1.108,1.069,0.58,17.36,23.78,1.219,0.41,1.13,-0.72,1.54
29,1630604,E.J. Liddell,1610612741,141,0.41,0.87,0.48,-0.3,0.98,0.12,-0.37,2.25,1.039,1.136,0.1,2.97,5.9,0.804,0.49,3.4,-2.99,3.81
30,1630695,Micah Potter,1610612762,465,0.4,0.81,2.59,-0.34,0.6,0.64,-0.22,-0.02,1.102,1.126,0.18,5.38,4.36,0.758,1.21,2.39,-1.99,2.79
31,1626157,Karl-Anthony Towns,1610612752,3409,0.39,1.35,-0.6,-0.07,2.13,0.41,2.96,4.79,1.143,1.099,1.62,48.55,38.07,0.946,0.82,1.09,-0.7,1.48
32,1631095,Jabari Smith Jr.,1610612745,3198,0.39,0.32,-1.95,0.09,0.11,0.5,-1.33,0.95,1.052,1.076,0.37,10.97,8.27,1.041,1.02,1.22,-0.83,1.61
33,1627741,Buddy Hield,1610612744,2473,0.38,0.58,-0.25,-0.02,0.27,0.81,0.65,4.61,1.113,1.102,0.52,15.58,16.99,0.973,0.35,0.94,-0.56,1.32
34,1642382,Branden Carlson,1610612760,66,0.35,0.62,0,0.14,-0.14,0.85,0.26,-2.77,1.104,1.028,0.05,1.65,0.78,0.5,0.27,4,-3.65,4.35
35,1630618,D.J. Carton,1610612761,151,0.34,0.33,0.56,-0.03,-0.35,0.77,-0.14,-2.58,1.048,1.091,0.04,1.14,-0.72,1.04,0.24,3.15,-2.81,3.49
36,1631321,Sidy Cissoko,1610612759,134,0.34,1.14,0.42,-0.01,-0.47,1.89,-0.43,0.73,1.053,1.154,0.13,3.8,3,0.772,0.47,3.47,-3.13,3.81
37,1641720,Jalen Hood-Schifino,1610612747,54,0.34,0.45,0.28,0.04,0.45,0.05,-0.07,0.47,1.058,1.201,0.04,1.15,1.13,0.866,0.17,4,-3.66,4.34
38,1628975,Jevon Carter,1610612741,245,0.33,0.99,1.68,-0.15,-0.32,1.69,-0.65,-2.34,1.009,1.073,0.15,4.39,6.35,0.746,0.76,2.79,-2.46,3.12
39,1628988,Aaron Holiday,1610612745,693,0.32,0.86,1.87,0.05,-0.47,1.86,-0.49,4.77,1.062,1.086,0.25,7.65,12.33,0.961,0.74,1.82,-1.5,2.14
40,1630173,Precious Achiuwa,1610612752,541,0.31,0.81,0,-0.21,0.02,1.24,0.3,-0.8,1.101,1.076,0.2,5.98,6.58,0.863,0.44,1.84,-1.53,2.15
41,201567,Kevin Love,1610612748,719,0.3,0.26,0.81,0.09,-0.39,0.81,-0.59,-1.91,1.017,1.037,0.08,2.38,8.19,0.872,0.31,1.55,-1.25,1.85
42,1628418,Thomas Bryant,1610612748,473,0.29,1.19,1.55,-0.03,0.92,0.91,-0.18,1.11,1.119,1.134,0.27,8,4.69,0.814,0.68,2.08,-1.79,2.37
43,1630699,MarJon Beauchamp,1610612749,150,0.29,0.42,0.42,-0.39,-1.14,1.68,-0.59,-1.43,1.068,1.149,0.05,1.48,2.25,0.811,0.38,3.24,-2.95,3.53
44,203114,Khris Middleton,1610612749,261,0.28,0.41,0,0.49,0.93,-0.37,-1.18,-3.66,1.003,1.133,0.06,1.89,8.41,1.603,0.21,2.42,-2.14,2.7
45,1641705,Victor Wembanyama,1610612759,2934,0.27,1.35,1.01,0,1.07,1.47,-0.77,3.3,1.074,1.085,1.41,42.17,48.75,1.109,0.57,1,-0.73,1.27
46,203507,Giannis Antetokounmpo,1610612749,3196,0.25,1.25,0.99,-0.31,2.04,0.33,4.86,2.6,1.193,1.124,1.42,42.52,41.43,1.056,0.68,1.04,-0.79,1.29
47,1626168,Trey Lyles,1610612758,1353,0.25,-0.06,0.76,-0.05,0.56,-0.67,-3.26,-1.24,1.007,1.111,-0.03,-0.93,4.97,1.084,0.38,1.22,-0.97,1.47
48,1641726,Dereck Lively II,1610612742,2193,0.23,1.08,1.74,-0.12,1.02,0.97,4.44,8.29,1.175,1.053,0.86,25.9,18.21,1.057,0.77,1.22,-0.99,1.45
49,1629048,Goga Bitadze,1610612753,2244,0.22,1.04,0.16,-0.07,0.44,1.48,7.14,4.19,1.169,0.999,0.84,25.32,28.77,0.949,0.48,1.05,-0.83,1.27
50,1629610,DaQuan Jeffries,1610612766,243,0.22,0.46,0,-0.04,1.05,-0.42,-0.46,4.52,1.103,1.153,0.07,2.02,2.23,1.04,0.23,2.51,-2.29,2.73
51,1628963,Marvin Bagley III,1610612764,687,0.2,0.62,0.45,-0.15,-0.17,1.18,2.22,-0.11,1.109,1.02,0.18,5.49,2.46,0.734,0.33,1.6,-1.4,1.8
52,1629008,Michael Porter Jr.,1610612743,3716,0.2,0.56,0.45,0.26,1.72,-0.66,-0.34,6.14,1.095,1.1,0.73,21.87,29.83,1.087,0.12,0.68,-0.48,0.88
53,1630311,Pat Spencer,1610612744,187,0.2,-0.15,0.6,0.13,-0.88,0.67,-1.06,-2.03,1.025,1.168,-0.02,-0.6,2.67,1.098,0.31,2.89,-2.69,3.09
54,1631213,Tyrese Martin,1610612751,715,0.2,-0.24,-0.82,-0.18,0,-0.38,-1.1,4,1.106,1.156,-0.07,-2.16,0.56,0.858,0.29,1.55,-1.35,1.75
55,1627734,Domantas Sabonis,1610612758,4010,0.19,1.38,2.55,-0.01,1.82,0.82,6.62,9.54,1.179,1.074,1.94,58.27,80.18,1.086,1.05,1.17,-0.98,1.36
56,1630649,Stanley Umude,1610612749,77,0.19,0.39,-0.04,-0.04,-0.99,1.45,0.15,-0.16,1.108,1.006,0.04,1.08,0.46,0.674,0.2,4,-3.81,4.19
57,1628366,Lonzo Ball,1610612741,879,0.18,0.09,2.13,-0.07,0.64,-0.48,-1.75,-3.14,1.036,1.113,0.03,1.01,-2.55,1.021,1,1.81,-1.63,1.99
58,1628449,Chris Boucher,1610612761,1760,0.17,0.3,1.02,0.14,0.67,-0.13,1.79,-3.29,1.092,1.056,0.2,5.86,11.18,0.966,0.38,1.1,-0.93,1.27
59,1628392,Isaiah Hartenstein,1610612760,1374,0.17,0.66,2.03,0.08,-0.56,1.74,1.9,0.07,1.12,1.063,0.35,10.43,6.5,1.062,0.82,1.45,-1.28,1.62
60,1629029,Luka Dončić,1610612742,3158,0.16,1.05,1.31,0.3,1.71,0.27,-4.66,2.31,1.046,1.114,1.18,35.32,23.03,1.006,0.43,0.9,-0.74,1.06
61,1641857,Liam Robbins,1610612749,85,0.16,0.37,0.03,-0.27,-0.92,1.35,-0.14,0.35,1.096,1.194,0.04,1.06,0.85,0.621,0.26,4,-3.84,4.16
62,1641741,Ricky Council IV,1610612755,929,0.15,0.45,0.67,0,0.53,0.22,-1.99,-3.48,0.995,1.067,0.17,5.03,9,1.058,0.28,1.37,-1.22,1.52
63,1630578,Alperen Sengun,1610612745,3256,0.15,0.74,1.65,0.18,0.18,1.23,-0.25,-4.59,1.062,1.065,0.86,25.73,26.99,1.032,0.61,0.99,-0.84,1.14
64,1629655,Daniel Gafford,1610612742,2289,0.15,0.22,-2.47,-0.12,1.85,-1.44,6.91,11.89,1.194,1.049,0.18,5.41,7.02,0.92,1.2,1.44,-1.29,1.59
65,1629637,Jaxson Hayes,1610612747,802,0.14,0.12,0.38,-0.27,0.78,-0.58,1.63,4.46,1.152,1.046,0.04,1.23,4.4,0.898,0.27,1.46,-1.32,1.6
66,203991,Clint Capela,1610612737,2577,0.14,0.66,0.5,-0.01,0.81,0.43,8.51,-0.18,1.181,1.014,0.61,18.33,24.41,0.982,0.29,0.89,-0.75,1.03
67,1642419,Jamison Battle,1610612761,1382,0.14,0.21,-0.22,0.04,0.69,-0.32,-0.32,7.2,1.082,1.091,0.11,3.4,-1.34,0.943,0.18,1.1,-0.96,1.24
68,1629675,Naz Reid,1610612750,2664,0.13,0.71,-0.6,-0.21,0.21,1.11,0.73,-3.62,1.125,1.112,0.68,20.28,21.03,0.941,0.55,1.03,-0.9,1.16
69,1627832,Fred VanVleet,1610612745,3429,0.12,0.36,1.94,0.5,0.33,0.35,-5.11,-3.35,0.994,1.075,0.43,12.92,0.32,1.107,0.71,1.03,-0.91,1.15
70,1631114,Jalen Williams,1610612760,3564,0.12,0.25,-1.13,0.26,0.04,0.44,-0.35,1.48,1.093,1.098,0.31,9.35,12.73,0.976,0.65,0.98,-0.86,1.1
71,1631102,TyTy Washington Jr.,1610612756,105,0.12,0.18,0.13,-0.09,0.27,-0.05,-0.34,0.82,1.052,1.17,0.02,0.56,1.07,1.017,0.12,3.69,-3.57,3.81
72,203076,Anthony Davis,1610612747,3789,0.11,0.7,-0.22,0.14,1.08,0.25,3.54,-4.12,1.147,1.097,0.93,27.81,6.09,1.048,0.38,0.81,-0.7,0.92
73,1630174,Aaron Nesmith,1610612754,557,0.11,0.22,0,0.06,1.26,-0.89,-0.62,2.34,1.069,1.109,0.06,1.68,-0.56,1.111,0.09,1.62,-1.51,1.73
74,1627826,Ivica Zubac,1610612746,3734,0.11,1.08,2.47,-0.25,0.51,1.54,7.33,4.52,1.145,1.024,1.42,42.46,37.24,0.972,1.11,1.22,-1.11,1.33
75,1628989,Kevin Huerter,1610612758,2631,0.11,-0.11,-3.75,0.12,-0.1,-0.1,-0.44,-1.31,1.103,1.112,-0.1,-3.08,-6.02,0.971,1.77,1.71,-1.6,1.82
76,1642266,Ja'Kobe Walter,1610612761,1299,0.11,-0.55,2.7,0.02,-0.42,-0.55,-2.73,-7.59,1.04,1.118,-0.28,-8.27,-5.88,0.981,1.42,1.82,-1.71,1.93
77,1629650,Moses Brown,1610612754,212,0.11,0.23,-0.32,-0.31,-0.38,0.69,0.41,1.61,1.123,1.079,0.03,0.96,1.77,0.873,0.26,2.69,-2.58,2.8
78,1630202,Payton Pritchard,1610612738,3159,0.1,0.55,-0.71,-0.24,2.3,-1.25,-2.13,13.71,1.077,1.112,0.62,18.62,14.48,1.043,0.52,0.95,-0.85,1.05
79,201142,Kevin Durant,1610612756,2344,0.1,0.67,2.31,-0.13,1.28,-0.04,0.07,1.99,1.152,1.151,0.57,16.98,40.49,1.102,1.02,1.33,-1.23,1.43
80,203109,Jae Crowder,1610612758,365,0.1,-0.18,0.08,-0.21,0.12,-0.38,0.37,-1.52,1.076,1.028,-0.03,-1.02,3.13,0.991,0.13,2.02,-1.92,2.12
81,201143,Al Horford,1610612738,2275,0.09,0.35,-0.54,-0.4,1.27,-0.63,-1.54,3.96,1.117,1.154,0.29,8.56,-1.72,1.095,0.39,0.99,-0.9,1.08
82,1641796,Pelle Larsson,1610612748,934,0.09,0.21,0.54,-0.15,0.5,-0.13,0.07,2.47,1.112,1.109,0.08,2.41,-1.8,1.142,0.28,1.37,-1.28,1.46
83,1641727,Dariq Whitehead,1610612751,126,0.09,0.2,0.03,-0.12,0.27,-0.02,-0.4,2.93,1.074,1.152,0.02,0.66,-0.19,0.844,0.13,3.38,-3.29,3.47
84,1631246,Vince Williams Jr.,1610612763,211,0.09,-0.17,0.67,-0.26,-0.09,-0.15,0.16,-2.06,1.027,1.009,-0.02,-0.71,1.28,0.942,0.42,2.79,-2.7,2.88
85,1628369,Jayson Tatum,1610612738,3764,0.08,1.23,4.28,-0.4,1.72,0.63,-3.82,0.55,1.082,1.135,1.63,48.87,28.84,1.093,1.94,1.68,-1.6,1.76
86,202710,Jimmy Butler,1610612748,2403,0.08,0.8,0.3,-0.14,1.97,-0.49,-0.06,3.35,1.098,1.099,0.69,20.71,27.13,1.098,0.38,0.97,-0.89,1.05
87,1629639,Tyler Herro,1610612748,3462,0.07,0.84,-0.5,0,2.08,-0.49,-2.81,7.11,1.077,1.118,1.03,30.86,50.91,1.149,0.55,0.94,-0.87,1.01
88,1629731,Dean Wade,1610612739,1733,0.07,0.41,1.69,-0.09,0.37,0.37,-1.01,-5.36,1.113,1.144,0.26,7.92,11.75,0.891,0.75,1.31,-1.24,1.38
89,202696,Nikola Vučević,1610612741,3684,0.07,0.79,0.83,-0.27,1.91,-0.4,4.33,11.72,1.159,1.093,1.02,30.69,16.43,0.998,0.51,0.89,-0.82,0.96
90,1629634,Brandon Clarke,1610612763,2290,0.07,0.63,2.63,0.02,0.43,0.73,5.25,3.79,1.145,1.025,0.52,15.63,8.25,0.845,1.12,1.4,-1.33,1.47
91,1628401,Derrick White,1610612738,3713,0.06,0.46,1.01,-0.18,1.52,-0.67,-1.36,5.02,1.103,1.125,0.6,17.85,12.72,1.073,0.48,0.88,-0.82,0.94
92,1628976,Wendell Carter Jr.,1610612753,1719,0.06,1.06,1.54,-0.21,0.24,1.68,1.59,-2.67,1.104,1.049,0.68,20.33,20.95,0.958,0.74,1.31,-1.25,1.37
93,1627783,Pascal Siakam,1610612754,3999,0.06,0.57,2.38,0.07,1.55,-0.45,3.05,1.36,1.158,1.113,0.8,24.13,14.97,1.073,0.99,1.14,-1.08,1.2
94,202681,Kyrie Irving,1610612742,3551,0.06,0.45,0.18,0.18,1.87,-1.03,-0.43,5.14,1.106,1.113,0.56,16.9,5.42,1.054,0.13,0.69,-0.63,0.75
95,1631094,Paolo Banchero,1610612753,738,0.05,0.61,-0.46,-0.2,0.66,0.35,-0.61,1.2,1.066,1.085,0.19,5.75,8,1.007,0.46,1.62,-1.57,1.67
96,1630596,Evan Mobley,1610612739,3166,0.05,1.19,2.98,-0.24,1.65,0.6,3.68,2.11,1.167,1.107,1.33,40.03,41.1,1.009,1.32,1.39,-1.34,1.44
97,1630643,Jay Huff,1610612763,1734,0.05,-0.04,-2.88,-0.05,0.93,-1,3.08,5.16,1.18,1.112,-0.03,-0.85,-6.66,0.889,1.33,1.63,-1.58,1.68
98,1629026,Kenrich Williams,1610612760,819,0.05,1.18,-0.32,0.03,1.84,0.13,-0.42,5.58,1.082,1.1,0.4,12.01,9.54,0.94,0.64,1.65,-1.6,1.7
99,1629626,Bol Bol,1610612756,151,0.05,0.84,0.18,-0.23,0.31,0.76,-0.17,1.43,1.062,1.086,0.1,2.95,3.43,0.891,0.44,3.26,-3.21,3.31
100,1628436,Luke Kornet,1610612738,1386,0.04,0.65,-1.09,-0.38,1.08,0.06,2.15,3.28,1.136,1.038,0.34,10.29,6.2,0.847,0.71,1.39,-1.35,1.43
