player,playerId,oldRank,newRank,rankChange,oldRankingScore,newRankingScore,actualPossessions,posteriorAbilityRate,abilityStandardError,seasonWar,eligibilityStatus
Kentavious Caldwell-Pope,203484,251,88,163,-0.05,1.452333,9099,-0.0489,0.5606,1.4523,eligible
Alec Burks,202692,73,89,-16,0.54,1.441667,3377,0.5381,1.0357,1.4417,eligible
Anthony Davis,203076,78,90,-12,0.52,1.415333,6970,0.5152,0.7306,1.4153,eligible
Brook Lopez,201572,240,91,149,-0.01,1.385667,10423,-0.0098,0.4171,1.3857,eligible
Jay Huff,1630643,104,92,12,0.41,1.375667,3184,0.414,1.9975,1.3757,eligible
Jamison Battle,1642419,33,93,-60,0.79,1.367667,4336,0.7934,2.1257,1.3677,eligible
Jaylen Clark,1641740,34,94,-60,0.79,1.367667,2157,0.787,2.7387,1.3677,eligible
Jalen Williams,1631114,411,95,316,-0.46,1.366,9284,-0.4601,1.8317,1.366,eligible
Moussa Diabaté,1631217,87,96,-9,0.48,1.364333,4891,0.4804,3.0654,1.3643,eligible
Victor Wembanyama,1641705,2,97,-95,1.7,1.358333,6024,1.7019,1.2424,1.3583,eligible
Duncan Robinson,1629130,142,98,44,0.25,1.352667,7165,0.2529,0.5056,1.3527,eligible
Kawhi Leonard,202695,447,99,348,-0.6,1.345667,4736,-0.6045,0.5156,1.3457,eligible
Immanuel Quickley,1630193,289,100,189,-0.12,1.336,3787,-0.1235,1.3837,1.336,eligible
Luguentz Dort,1629652,213,101,112,0.05,1.336,8626,0.0489,1.551,1.336,eligible
Walker Kessler,1631117,125,102,23,0.35,1.326667,7243,0.3503,1.3496,1.3267,eligible
Dereck Lively II,1641726,81,103,-22,0.5,1.302333,3451,0.501,1.684,1.3023,eligible
Collin Sexton,1629012,121,104,17,0.36,1.295333,7276,0.3601,1.4072,1.2953,eligible
Myles Turner,1626167,304,105,199,-0.17,1.265667,8645,-0.1662,0.5092,1.2657,eligible
Brice Sensabaugh,1641729,388,106,282,-0.36,1.242,5974,-0.358,1.7344,1.242,eligible
Fred VanVleet,1627832,252,107,145,-0.05,1.222667,8397,-0.0488,1.071,1.2227,eligible
Andrew Wiggins,203952,166,108,58,0.17,1.222,7631,0.1657,1.6305,1.222,eligible
Nicolas Batum,201587,297,109,188,-0.15,1.201,5508,-0.1544,0.4377,1.201,eligible
Brandin Podziemski,1641764,227,110,117,0.01,1.187667,6993,0.0097,1.3448,1.1877,eligible
Toumani Camara,1641739,343,111,232,-0.26,1.183,10513,-0.2551,1.5128,1.183,eligible
Jordan Poole,1629673,263,112,151,-0.07,1.176,8417,-0.0684,0.798,1.176,eligible
Moritz Wagner,1629021,154,113,41,0.22,1.165667,2282,0.2216,2.8795,1.1657,eligible
Lauri Markkanen,1628374,165,114,51,0.18,1.141333,6152,0.184,1.0406,1.1413,eligible
Buddy Hield,1627741,290,115,175,-0.12,1.124667,7528,-0.1169,1.0353,1.1247,eligible
Vít Krejčí,1630249,285,116,169,-0.11,1.116667,4749,-0.1056,0.5187,1.1167,eligible
Isaac Okoro,1630171,118,117,1,0.37,1.105333,4345,0.3728,1.3812,1.1053,eligible
Sam Merrill,1630241,151,118,33,0.23,1.096,5801,0.232,0.2685,1.096,eligible
Caleb Houstan,1631216,357,119,238,-0.29,1.085,3110,-0.2913,1.5552,1.085,eligible
Santi Aldama,1630583,67,120,-53,0.57,1.062,7119,0.5739,0.7063,1.062,eligible
Amir Coffey,1629599,119,121,-2,0.37,1.055667,7136,0.3696,1.6731,1.0557,eligible
Jared Butler,1630215,39,122,-83,0.73,1.041333,4371,0.7267,0.7695,1.0413,eligible
Brandon Williams,1630314,298,123,175,-0.15,1.033667,2040,-0.1548,1.2745,1.0337,eligible
Austin Reaves,1630559,232,124,108,0,1.033333,10582,0,0.4269,1.0333,eligible
AJ Green,1631260,219,125,94,0.04,1.032,6755,0.0388,0.2219,1.032,eligible
Kevon Looney,1626172,112,126,-14,0.39,1.01,4598,0.3929,1.0519,1.01,eligible
Richaun Holmes,1626158,101,127,-26,0.42,1.002,2259,0.4226,2.4827,1.002,eligible
Tre Jones,1630200,349,128,221,-0.27,0.956,3663,-0.275,0.5087,0.956,eligible
Jalen Green,1630224,233,129,104,0,0.924667,10969,0,1.4544,0.9247,eligible
Kenrich Williams,1629026,74,130,-56,0.54,0.920667,4632,0.5368,0.6355,0.9207,eligible
Donte DiVincenzo,1628978,270,131,139,-0.08,0.92,6658,-0.0777,0.8331,0.92,eligible
Matisse Thybulle,1629680,44,132,-88,0.68,0.896,1316,0.6752,1.4599,0.896,eligible
Day'Ron Sharpe,1630549,179,133,46,0.13,0.895667,3558,0.1325,0.8969,0.8957,eligible
Coby White,1629632,384,134,250,-0.35,0.894333,10460,-0.3532,0.9216,0.8943,eligible
Aaron Wiggins,1630598,159,135,24,0.2,0.874333,7221,0.2043,0.3152,0.8743,eligible
Oscar Tshiebwe,1631131,22,136,-114,0.93,0.803,1093,0.9299,3.9727,0.803,eligible
Antonio Reeves,1641810,180,137,43,0.13,0.795,2711,0.1304,0.7651,0.795,eligible
Landry Shamet,1629013,299,138,161,-0.15,0.792667,3088,-0.1503,0.6761,0.7927,eligible
Quenton Jackson,1631245,315,139,176,-0.2,0.784667,1621,-0.2047,1.1359,0.7847,eligible
Anfernee Simons,1629014,294,140,154,-0.13,0.777,9310,-0.1273,1.0414,0.777,eligible
Marcus Sasser,1631204,113,141,-28,0.39,0.776333,3449,0.3875,0.603,0.7763,eligible
Jaylen Wells,1642377,122,142,-20,0.36,0.758,8654,0.3616,1.0933,0.758,eligible
Jalen Smith,1630188,102,143,-41,0.42,0.754,4157,0.4198,1.0055,0.754,eligible
Karlo Matković,1631255,192,144,48,0.1,0.745,3253,0.1036,0.756,0.745,eligible
Jeff Dowtin Jr.,1630288,505,145,360,-0.98,0.744333,2535,-0.9825,0.7522,0.7443,eligible
Julian Champagnie,1630577,171,146,25,0.16,0.737,7917,0.1561,0.6376,0.737,eligible
Mike Conley,201144,291,147,144,-0.12,0.733333,7101,-0.1167,0.8941,0.7333,eligible
Aaron Holiday,1628988,95,148,-53,0.45,0.724333,3271,0.4523,0.8252,0.7243,eligible
Johnny Juzang,1630548,186,149,37,0.11,0.719667,5273,0.106,0.9215,0.7197,eligible
Dorian Finney-Smith,1627827,105,150,-45,0.41,0.704,7259,0.4087,2.6175,0.704,eligible
Doug McDermott,203926,99,151,-52,0.43,0.701667,1386,0.4282,0.7056,0.7017,eligible
Dru Smith,1630696,14,152,-138,1.16,0.679,1092,1.1571,1.2667,0.679,eligible
Anthony Gill,1630264,53,153,-100,0.64,0.669667,1626,0.6411,3.5487,0.6697,eligible
Patrick Baldwin Jr.,1631116,11,154,-143,1.22,0.669333,429,1.2208,2.319,0.6693,eligible
Kel'el Ware,1642276,155,155,0,0.22,0.664333,5710,0.2222,0.3396,0.6643,eligible
Jeff Green,201145,62,156,-94,0.6,0.651,1626,0.5966,2.3773,0.651,eligible
Jared McCain,1642272,82,157,-75,0.5,0.650333,2392,0.5007,0.6824,0.6503,eligible
Paul Reed,1630194,15,158,-143,1.16,0.641,1827,1.1627,0.9677,0.641,eligible
Quentin Grimes,1629656,172,159,13,0.16,0.635333,8263,0.1562,0.7466,0.6353,eligible
Luke Kennard,1628379,139,160,-21,0.26,0.614667,6333,0.2617,0.4345,0.6147,eligible
Kris Dunn,1627739,308,161,147,-0.18,0.605667,7311,-0.1752,1.8826,0.6057,eligible
Quinten Post,1642366,200,162,38,0.08,0.605333,2699,0.0838,2.2131,0.6053,eligible
Miles McBride,1630540,214,163,51,0.05,0.599333,6500,0.0485,1.1474,0.5993,eligible
Jalen Johnson,1630552,17,164,-147,1.07,0.594333,5396,1.0738,0.9197,0.5943,eligible
Chet Holmgren,1631096,197,165,32,0.09,0.594,3696,0.0854,1.4215,0.594,eligible
Monté Morris,1628420,209,166,43,0.06,0.593667,2343,0.0553,0.6383,0.5937,eligible
Jared Rhoden,1631197,253,167,86,-0.05,0.591333,955,-0.0496,1.4805,0.5913,eligible
Jordan McLaughlin,1629162,259,168,91,-0.06,0.587667,1256,-0.0604,1.6491,0.5877,eligible
Caris LeVert,1627747,228,169,59,0.01,0.574,6779,0.0097,0.575,0.574,eligible
Robert Williams III,1629057,54,170,-116,0.64,0.571333,1456,0.6446,0.7304,0.5713,eligible
Larry Nance Jr.,1626204,451,171,280,-0.62,0.563667,1998,-0.6247,2.348,0.5637,eligible
Adem Bona,1641737,403,172,231,-0.41,0.562333,3716,-0.408,2.0702,0.5623,eligible
Kelly Oubre Jr.,1626162,296,173,123,-0.14,0.546,8388,-0.1367,0.764,0.546,eligible
Nikola Jović,1631107,264,174,90,-0.07,0.543333,4572,-0.0689,0.635,0.5433,eligible
Al Horford,201143,244,175,69,-0.02,0.542667,6682,-0.0194,0.8888,0.5427,eligible
Devin Vassell,1630170,292,176,116,-0.12,0.526333,7989,-0.1171,1.9376,0.5263,eligible
Khris Middleton,203114,215,177,38,0.05,0.513667,3552,0.0473,0.2492,0.5137,eligible
Garrison Mathews,1629726,181,178,3,0.13,0.503667,3507,0.1324,1.1573,0.5037,eligible
Dalton Knecht,1642261,286,179,107,-0.11,0.501333,5956,-0.1064,0.8142,0.5013,eligible
John Konchar,1629723,320,180,140,-0.21,0.489333,2491,-0.2129,0.873,0.4893,eligible
Royce O'Neale,1626220,143,181,-38,0.25,0.483,7432,0.2532,1.0403,0.483,eligible
Tristan Vukcevic,1641774,137,182,-45,0.27,0.479,2122,0.265,0.9607,0.479,eligible
Collin Gillespie,1631221,103,183,-80,0.42,0.478667,1847,0.4151,1.5179,0.4787,eligible
Moses Brown,1629650,182,184,-2,0.13,0.453,517,0.1298,1.8792,0.453,eligible
Cameron Payne,1626166,123,185,-62,0.36,0.45,4428,0.3636,1.9102,0.45,eligible
Zach Edey,1641744,193,186,7,0.1,0.437333,6097,0.0968,0.4466,0.4373,eligible
Brandon Miller,1641706,332,187,145,-0.24,0.428667,3790,-0.2414,1.2605,0.4287,eligible
Lonzo Ball,1628366,198,188,10,0.09,0.426,3363,0.0944,1.2314,0.426,eligible
Ryan Rollins,1631157,245,189,56,-0.02,0.425333,3402,-0.0189,0.4753,0.4253,eligible
Daeqwon Plowden,1631342,7,190,-183,1.32,0.425333,291,1.3216,2.3681,0.4253,eligible
Dominick Barlow,1631230,63,191,-128,0.6,0.420333,1602,0.5956,1.1377,0.4203,eligible
Cory Joseph,202709,358,192,166,-0.29,0.413667,2465,-0.2867,0.4954,0.4137,eligible
Herbert Jones,1630529,1,193,-192,2.14,0.408,2686,2.1365,2.8131,0.408,eligible
Keshad Johnson,1642352,265,194,71,-0.07,0.401,414,-0.0742,2.1398,0.401,eligible
Tony Bradley,1628396,48,195,-147,0.67,0.397,486,0.666,1.3614,0.397,eligible
Bol Bol,1629626,175,196,-21,0.15,0.394333,1903,0.1538,0.8317,0.3943,eligible
Mitchell Robinson,1629011,45,197,-152,0.68,0.382,1139,0.6762,0.4449,0.382,eligible
Jonathan Isaac,1628371,167,198,-31,0.17,0.376667,4369,0.1721,0.8108,0.3767,eligible
RayJ Dennis,1642484,51,199,-148,0.65,0.356,275,0.6511,3.0277,0.356,eligible
Julian Phillips,1641763,293,200,93,-0.12,0.355,4675,-0.1247,1.3314,0.355,eligible
Cam Spencer,1642285,339,201,138,-0.25,0.354667,1115,-0.2459,1.0573,0.3547,eligible
Grayson Allen,1628960,176,202,-26,0.15,0.353333,6277,0.1454,0.4241,0.3533,eligible
Brandon Boston Jr.,1630527,93,203,-110,0.46,0.343667,4038,0.4595,0.7952,0.3437,eligible
Kevin Huerter,1628989,394,204,190,-0.37,0.343667,7126,-0.3696,1.4755,0.3437,eligible
Dariq Whitehead,1641727,61,205,-144,0.61,0.341333,1034,0.6117,0.6516,0.3413,eligible
Kyle Anderson,203937,201,206,-5,0.08,0.333333,4127,0.0763,1.8731,0.3333,eligible
Isaac Jones,1642403,281,207,74,-0.1,0.322667,1229,-0.1032,2.2404,0.3227,eligible
Josh Minott,1631169,385,208,177,-0.35,0.314667,1181,-0.3506,2.6105,0.3147,eligible
Alex Reese,1642024,4,209,-205,1.52,0.310333,999,1.5228,2.2302,0.3103,eligible
Tosan Evbuomwan,1641787,129,210,-81,0.34,0.307333,2656,0.3441,1.745,0.3073,eligible
Ja'Kobe Walter,1642266,373,211,162,-0.33,0.298,4721,-0.3262,0.2736,0.298,eligible
Tyler Smith,1641890,76,212,-136,0.53,0.281,489,0.5252,1.2628,0.281,eligible
Johnny Furphy,1642277,432,213,219,-0.54,0.280667,1577,-0.5413,0.3105,0.2807,eligible
Chris Duarte,1630537,40,214,-174,0.73,0.271,319,0.7337,1.9225,0.271,eligible
Cam Whitmore,1641715,328,215,113,-0.23,0.268,3406,-0.2267,0.2916,0.268,eligible
Gary Harris,203914,300,216,84,-0.15,0.263333,2862,-0.1495,0.2464,0.2633,eligible
De'Anthony Melton,1629001,26,217,-191,0.88,0.259667,527,0.8796,0.5243,0.2597,eligible
Talen Horton-Tucker,1629659,271,218,53,-0.08,0.254667,3122,-0.0846,1.1849,0.2547,eligible
Terrence Shannon Jr.,1630545,183,219,-36,0.13,0.250667,1428,0.1316,1.2379,0.2507,eligible
Malaki Branham,1631103,485,220,265,-0.8,0.239,1745,-0.7985,1.591,0.239,eligible
KJ Martin,1630231,79,221,-142,0.52,0.236667,3840,0.5228,1.5289,0.2367,eligible
Josh Hart,1628404,204,222,-18,0.07,0.228,11694,0.0688,0.9156,0.228,eligible
P.J. Washington,1629023,184,223,-39,0.13,0.224667,7641,0.1267,0.7534,0.2247,eligible
Kyle Filipowski,1642271,234,224,10,0,0.224333,6432,0,1.0631,0.2243,eligible
PJ Hall,1641790,344,225,119,-0.26,0.223,253,-0.2625,1.9698,0.223,eligible
Scotty Pippen Jr.,1630590,501,226,275,-0.97,0.222333,7220,-0.973,2.0729,0.2223,eligible
Matas Buzelis,1641824,247,227,20,-0.03,0.215,6630,-0.0291,0.3976,0.215,eligible
Jaylin Williams,1631119,329,228,101,-0.23,0.214,3323,-0.2264,0.7575,0.214,eligible
Corey Kispert,1630557,266,229,37,-0.07,0.203333,6614,-0.0679,0.6803,0.2033,eligible
Wendell Moore Jr.,1631111,220,230,-10,0.04,0.196667,2039,0.0364,0.323,0.1967,eligible
Jabari Smith Jr.,1631095,282,231,51,-0.1,0.193667,6903,-0.0972,0.53,0.1937,eligible
Dean Wade,1629731,173,232,-59,0.16,0.19,5213,0.1637,1.1207,0.19,eligible
Harrison Ingram,1631127,108,233,-125,0.4,0.187667,147,0.4013,1.6971,0.1877,eligible
Marvin Bagley III,1628963,126,234,-108,0.35,0.184667,1170,0.3501,0.9276,0.1847,eligible
Bones Hyland,1630538,222,235,-13,0.03,0.175,968,0.0332,1.0624,0.175,eligible
Ajay Mitchell,1642349,205,236,-31,0.07,0.172333,2348,0.0737,0.4794,0.1723,eligible
Trayce Jackson-Davis,1631218,241,237,4,-0.01,0.172333,4137,-0.0095,1.1734,0.1723,eligible
Zeke Nnaji,1630192,416,238,178,-0.47,0.172,2487,-0.472,0.3856,0.172,eligible
Lindy Waters III,1630322,326,239,87,-0.22,0.164,3204,-0.2165,0.7113,0.164,eligible
Neemias Queta,1629674,140,240,-100,0.26,0.150333,3323,0.2641,2.1813,0.1503,eligible
Grant Williams,1629684,16,241,-225,1.11,0.15,1958,1.1076,2.8703,0.15,eligible
Johnny Davis,1631098,144,242,-98,0.25,0.149,991,0.2527,0.4188,0.149,eligible
Leonard Miller,1631159,187,243,-56,0.11,0.137667,131,0.1148,1.7842,0.1377,eligible
Chuma Okeke,1629643,120,244,-124,0.37,0.131,826,0.3701,0.4189,0.131,eligible
Jaylen Sims,1631301,188,245,-57,0.11,0.123,462,0.1108,2.1622,0.123,eligible
Tyus Jones,1626145,462,246,216,-0.66,0.121333,8820,-0.6649,2.4045,0.1213,eligible
Isaiah Crawford,1642384,206,247,-41,0.07,0.119333,183,0.0717,1.6658,0.1193,eligible
N'Faly Dante,1642368,130,248,-118,0.33,0.11,218,0.3283,1.3881,0.11,eligible
De'Aaron Fox,1628368,272,249,23,-0.08,0.106,9335,-0.0783,0.4899,0.106,eligible
Keion Brooks Jr.,1631232,330,250,80,-0.23,0.101333,1396,-0.2293,0.8794,0.1013,eligible
Thomas Bryant,1628418,77,251,-174,0.53,0.098,3895,0.5326,0.5753,0.098,eligible
Bobi Klintman,1641752,174,252,-78,0.16,0.095,145,0.1644,1.2761,0.095,eligible
Mason Jones,1630222,160,253,-93,0.2,0.091333,171,0.2028,1.3527,0.0913,eligible
Mouhamed Gueye,1631243,226,254,-28,0.02,0.085667,2242,0.0184,0.7331,0.0857,eligible
Damion Lee,1627814,277,255,22,-0.09,0.081667,604,-0.0901,0.8071,0.0817,eligible
Jackson Rowe,1642050,283,256,27,-0.1,0.079333,228,-0.0959,1.1554,0.0793,eligible
David Duke Jr.,1630561,401,257,144,-0.4,0.079,141,-0.397,1.0711,0.079,eligible
Malcolm Brogdon,1627763,254,258,-4,-0.05,0.078333,2359,-0.0512,0.7363,0.0783,eligible
Jrue Holiday,201950,250,259,-9,-0.04,0.073333,7860,-0.039,0.5244,0.0733,eligible
Sidy Cissoko,1631321,83,260,-177,0.5,0.067667,440,0.5019,1.0014,0.0677,eligible
Jeremy Sochan,1631110,221,261,-40,0.04,0.066333,5657,0.0386,1.1048,0.0663,eligible
Danté Exum,203957,316,262,54,-0.2,0.059333,1538,-0.2035,0.7064,0.0593,eligible
Dwight Powell,203939,56,263,-207,0.63,0.058,2206,0.6326,2.2022,0.058,eligible
Jonathan Kuminga,1630228,177,264,-87,0.14,0.057333,4641,0.1438,1.9517,0.0573,eligible
Isaiah Jackson,1630543,152,265,-113,0.23,0.056,363,0.2261,0.6362,0.056,eligible
Elijah Harkless,1641989,20,266,-246,0.99,0.055667,586,0.9924,1.5704,0.0557,eligible
Zach Collins,1628380,255,267,-12,-0.05,0.048667,4039,-0.0476,0.9116,0.0487,eligible
Miles Norris,1641936,207,268,-61,0.07,0.048667,130,0.0697,1.1485,0.0487,eligible
E.J. Liddell,1630604,68,269,-201,0.57,0.043333,221,0.5722,1.2813,0.0433,eligible
Jevon Carter,1628975,132,270,-138,0.31,0.042,1366,0.3053,1.2602,0.042,eligible
Tazé Moore,1631386,210,271,-61,0.06,0.038,89,0.0634,1.4531,0.038,eligible
Jose Alvarado,1630631,145,272,-127,0.25,0.036333,5672,0.2511,2.0082,0.0363,eligible
Pelle Larsson,1641796,163,273,-110,0.19,0.033667,3071,0.1878,1.061,0.0337,eligible
Colby Jones,1641732,395,274,121,-0.37,0.026333,2047,-0.3735,0.5116,0.0263,eligible
Malachi Flynn,1630201,194,275,-81,0.1,0.024333,141,0.095,1.0287,0.0243,eligible
Ja Morant,1629630,423,276,147,-0.51,0.021,6603,-0.5144,1.1859,0.021,eligible
PJ Dozier,1628408,273,277,-4,-0.08,0.017667,149,-0.0751,2.8484,0.0177,eligible
Jamal Cain,1631288,457,278,179,-0.64,0.017,1979,-0.6358,1.0719,0.017,eligible
Isaiah Mobley,1630600,223,279,-56,0.03,0.016,77,0.0298,1.5532,0.016,eligible
