player,playerId,oldRank,newRank,rankChange,oldRankingScore,newRankingScore,actualPossessions,posteriorAbilityRate,abilityStandardError,seasonWar,eligibilityStatus
Michael Porter Jr.,1629008,42,29,13,0.68,2.978667,6830,0.6801,1.48,2.9787,eligible
Moses Moody,1630541,100,30,70,0.33,2.960667,6468,0.3298,0.9099,2.9607,eligible
Jamal Murray,1627750,124,31,93,0.23,2.915,10970,0.2259,0.8461,2.915,eligible
Tim Hardaway Jr.,203501,92,32,60,0.36,2.877667,8754,0.3617,1.0285,2.8777,eligible
Tre Jones,1630200,106,33,73,0.31,2.786333,7641,0.3118,0.3732,2.7863,eligible
Mark Williams,1631109,37,34,3,0.71,2.719667,5935,0.7062,1.0924,2.7197,eligible
Sam Merrill,1630241,12,35,-23,1.05,2.622667,5636,1.0526,1.7448,2.6227,eligible
Julian Champagnie,1630577,209,36,173,0.06,2.589667,9440,0.0588,2.25,2.5897,eligible
Luke Kennard,1628379,28,37,-9,0.77,2.584667,6978,0.768,1.4548,2.5847,eligible
Payton Pritchard,1630202,93,38,55,0.36,2.524333,10030,0.3628,1.1515,2.5243,eligible
Saddiq Bey,1630180,121,39,82,0.24,2.524333,9453,0.2448,1.1921,2.5243,eligible
Jarrett Allen,1628386,101,40,61,0.32,2.507667,6448,0.3201,0.5314,2.5077,eligible
Robert Williams III,1629057,29,41,-12,0.77,2.480667,4265,0.7737,0.7013,2.4807,eligible
Mikal Bridges,1628969,114,42,72,0.27,2.475667,10732,0.2651,1.1095,2.4757,eligible
Ja'Kobe Walter,1642266,157,43,114,0.15,2.423667,6062,0.1549,2.6953,2.4237,eligible
Jalen Brunson,1628973,75,44,31,0.43,2.418333,10268,0.4316,0.5832,2.4183,eligible
Kel'el Ware,1642276,118,45,73,0.25,2.399,7445,0.2532,1.6124,2.399,eligible
Reed Sheppard,1642263,85,46,39,0.39,2.375333,8653,0.391,2.16,2.3753,eligible
Duncan Robinson,1629130,83,47,36,0.4,2.370667,8698,0.4008,2.3957,2.3707,eligible
Daniel Gafford,1629655,64,48,16,0.49,2.333333,4980,0.4903,0.6339,2.3333,eligible
Jaxson Hayes,1629637,54,49,5,0.56,2.331333,4934,0.5574,1.4158,2.3313,eligible
Cason Wallace,1641717,134,50,84,0.2,2.257667,8408,0.1954,1.4405,2.2577,eligible
Sam Hauser,1630573,141,51,90,0.18,2.242667,7898,0.1756,1.2882,2.2427,eligible
Ryan Kalkbrenner,1641750,58,52,6,0.52,2.222,6205,0.5231,2.3792,2.222,eligible
Naji Marshall,1630230,59,53,6,0.52,2.196667,9293,0.5188,1.2028,2.1967,eligible
Tristan da Silva,1641783,108,54,54,0.3,2.195,7730,0.3022,1.8212,2.195,eligible
Tobias Harris,202699,158,55,103,0.15,2.185667,6969,0.1458,1.8933,2.1857,eligible
Jerami Grant,203924,81,56,25,0.41,2.136,7350,0.4089,1.1796,2.136,eligible
Miles McBride,1630540,49,57,-8,0.61,2.126,4395,0.6121,1.5243,2.126,eligible
Ziaire Williams,1630533,171,58,113,0.13,2.116667,5297,0.1253,0.8144,2.1167,eligible
Vít Krejčí,1630249,65,59,6,0.49,2.071333,5966,0.4935,1.4039,2.0713,eligible
Collin Sexton,1629012,243,60,183,-0.02,2.060667,6787,-0.0194,0.964,2.0607,eligible
Justin Champagnie,1630551,175,61,114,0.12,2.024,5788,0.116,1.1245,2.024,eligible
Rudy Gobert,203497,102,62,40,0.32,1.983333,9903,0.3235,1.552,1.9833,eligible
Mitchell Robinson,1629011,165,63,102,0.14,1.977667,4669,0.1438,0.2078,1.9777,eligible
Paul Reed,1630194,45,64,-19,0.65,1.911,3883,0.6467,1.1943,1.911,eligible
Marvin Bagley III,1628963,72,65,7,0.46,1.908333,5149,0.4621,0.956,1.9083,eligible
Brandon Miller,1641706,221,66,155,0.03,1.885333,8072,0.0293,0.8593,1.8853,eligible
Luka Garza,1630568,25,67,-42,0.78,1.85,4589,0.7762,1.1989,1.85,eligible
John Collins,1628381,86,68,18,0.39,1.836667,7593,0.3897,1.0852,1.8367,eligible
Matisse Thybulle,1629680,5,69,-64,1.6,1.786333,2049,1.6035,1.3701,1.7863,eligible
Jaren Jackson Jr.,1628991,142,70,72,0.18,1.784333,5984,0.1767,0.9683,1.7843,eligible
Gary Payton II,1627780,216,71,145,0.04,1.777667,4658,0.0384,0.9198,1.7777,eligible
Amen Thompson,1641708,343,72,271,-0.26,1.748667,12012,-0.2557,2.7871,1.7487,eligible
Landry Shamet,1629013,26,73,-47,0.78,1.700667,4854,0.7779,0.9023,1.7007,eligible
Franz Wagner,1630532,47,74,-27,0.64,1.688,4174,0.6394,1.299,1.688,eligible
Paul George,202331,184,75,109,0.1,1.681667,4694,0.0959,1.2324,1.6817,eligible
Josh Minott,1631169,166,76,90,0.14,1.638,3365,0.1416,2.013,1.638,eligible
Karlo Matković,1631255,40,77,-37,0.69,1.598667,3688,0.6924,1.339,1.5987,eligible
Keon Ellis,1631165,119,78,41,0.25,1.570333,6005,0.2516,1.0468,1.5703,eligible
Evan Mobley,1630596,352,79,273,-0.28,1.561,8779,-0.2835,0.8161,1.561,eligible
Blake Hinson,1642396,22,80,-58,0.83,1.545667,1218,0.8332,3.2671,1.5457,eligible
Toumani Camara,1641739,323,81,242,-0.22,1.523667,11640,-0.2163,1.0609,1.5237,eligible
Luke Kornet,1628436,97,82,15,0.34,1.506,5861,0.3385,1.4755,1.506,eligible
Immanuel Quickley,1630193,146,83,63,0.17,1.497,9153,0.1664,1.585,1.497,eligible
Deandre Ayton,1629028,212,84,128,0.05,1.495333,8061,0.0488,1.6768,1.4953,eligible
Cameron Johnson,1629661,304,85,219,-0.18,1.488,6872,-0.1846,0.7902,1.488,eligible
Devin Vassell,1630170,213,86,127,0.05,1.482667,8333,0.0488,1.2254,1.4827,eligible
Tyler Herro,1629639,15,87,-72,1,1.450333,4431,0.9951,1.4682,1.4503,eligible
Aaron Gordon,203932,44,88,-44,0.67,1.443333,4176,0.668,0.9021,1.4433,eligible
Day'Ron Sharpe,1630549,82,89,-7,0.41,1.428333,4696,0.4124,0.7616,1.4283,eligible
Bones Hyland,1630538,176,90,86,0.11,1.395667,4951,0.1057,1.5454,1.3957,eligible
Svi Mykhailiuk,1629004,200,91,109,0.08,1.387333,4971,0.0769,2.491,1.3873,eligible
Pascal Siakam,1627783,185,92,93,0.1,1.372667,8690,0.0978,0.5782,1.3727,eligible
Grayson Allen,1628960,167,93,74,0.14,1.348,6039,0.1355,0.4805,1.348,eligible
Donovan Clingan,1642270,90,94,-4,0.37,1.33,8850,0.3716,1.8754,1.33,eligible
Goga Bitadze,1629048,73,95,-22,0.46,1.325333,3878,0.4565,1.1354,1.3253,eligible
Bobby Portis,1626171,244,96,148,-0.02,1.293,6650,-0.0194,1.2629,1.293,eligible
Simone Fontecchio,1631323,115,97,18,0.27,1.291667,5031,0.2693,1.0103,1.2917,eligible
Austin Reaves,1630559,116,98,18,0.27,1.280667,7310,0.2725,0.3099,1.2807,eligible
Alex Caruso,1627936,62,99,-37,0.5,1.276,4205,0.4964,1.0637,1.276,eligible
Jordan Goodwin,1630692,150,100,50,0.16,1.267333,6325,0.1648,0.9895,1.2673,eligible
John Konchar,1629723,52,101,-49,0.58,1.214667,4616,0.5751,0.4706,1.2147,eligible
Ajay Mitchell,1642349,151,102,49,0.16,1.16,6235,0.1647,0.5574,1.16,eligible
Jaden McDaniels,1630183,201,103,98,0.08,1.158667,9895,0.0784,0.6005,1.1587,eligible
Jrue Holiday,201950,186,104,82,0.1,1.141333,6537,0.097,2.0094,1.1413,eligible
Karl-Anthony Towns,1626157,290,105,185,-0.14,1.133667,9409,-0.1371,0.5972,1.1337,eligible
Collin Murray-Boyles,1642867,187,106,81,0.1,1.122667,5202,0.0963,0.6609,1.1227,eligible
Dean Wade,1629731,143,107,36,0.18,1.093667,5515,0.1834,0.6246,1.0937,eligible
Donte DiVincenzo,1628978,159,108,51,0.15,1.088,10628,0.1472,2.0289,1.088,eligible
Jabari Smith Jr.,1631095,152,109,43,0.16,1.078333,11005,0.1571,1.468,1.0783,eligible
Collin Gillespie,1631221,177,110,67,0.11,1.073667,9235,0.1077,1.8678,1.0737,eligible
Cormac Ryan,1642504,19,111,-92,0.92,1.066,1075,0.9249,1.9899,1.066,eligible
Jalen Smith,1630188,111,112,-1,0.29,1.039,4730,0.2878,1.2544,1.039,eligible
Olivier-Maxence Prosper,1641765,227,113,114,0.02,1.024667,4206,0.0191,1.0731,1.0247,eligible
CJ McCollum,203468,282,114,168,-0.12,1.021667,9636,-0.1176,1.2447,1.0217,eligible
Rui Hachimura,1629060,276,115,161,-0.09,1.021667,8095,-0.0878,1.4252,1.0217,eligible
Derrick Jones Jr.,1627884,84,116,-32,0.4,1.007667,5548,0.3957,0.4741,1.0077,eligible
Baylor Scheierman,1631248,125,117,8,0.23,1.001,5523,0.2316,0.683,1.001,eligible
Myron Gardner,1642066,20,118,-98,0.9,0.988667,1760,0.898,0.7793,0.9887,eligible
Cooper Flagg,1642843,260,119,141,-0.05,0.983667,9629,-0.049,0.9209,0.9837,eligible
Jakob Poeltl,1627751,228,120,108,0.02,0.98,4662,0.0192,1.3834,0.98,eligible
Micah Potter,1630695,269,121,148,-0.07,0.955667,3937,-0.0666,0.2151,0.9557,eligible
Jordan Walsh,1641775,138,122,16,0.19,0.953333,4729,0.1919,1.2301,0.9533,eligible
Jamir Watkins,1642364,254,123,131,-0.04,0.939667,4360,-0.0382,0.9964,0.9397,eligible
Harrison Barnes,203084,277,124,153,-0.09,0.907667,8147,-0.0878,0.7536,0.9077,eligible
Keyonte George,1641718,188,125,63,0.1,0.900333,7785,0.0975,1.2841,0.9003,eligible
Bryce McGowens,1631121,126,126,0,0.23,0.891667,3675,0.2276,0.7251,0.8917,eligible
Dylan Cardwell,1642928,113,127,-14,0.28,0.890333,3770,0.2754,0.9842,0.8903,eligible
Dylan Harper,1642844,305,128,177,-0.18,0.876667,6400,-0.1842,1.4716,0.8767,eligible
Ausar Thompson,1641709,255,129,126,-0.04,0.867667,7625,-0.039,1.7966,0.8677,eligible
Maxime Raynaud,1642875,178,130,48,0.11,0.862667,8186,0.1074,1.6472,0.8627,eligible
Anthony Gill,1630264,87,131,-44,0.38,0.846667,4022,0.3811,1.5965,0.8467,eligible
Jay Huff,1630643,135,132,3,0.2,0.834,7232,0.2043,0.7766,0.834,eligible
Miles Bridges,1628970,306,133,173,-0.18,0.818333,9654,-0.1763,1.1342,0.8183,eligible
Max Christie,1631108,117,134,-17,0.26,0.805,9321,0.2643,1.719,0.805,eligible
Obi Toppin,1630167,316,135,181,-0.2,0.803,1805,-0.1981,1.3339,0.803,eligible
Zach LaVine,203897,256,136,120,-0.04,0.798667,4990,-0.0422,1.6678,0.7987,eligible
Jaylon Tyson,1642281,168,137,31,0.14,0.798333,7513,0.1364,0.844,0.7983,eligible
Cam Spencer,1642285,229,138,91,0.02,0.783667,6894,0.0194,0.4172,0.7837,eligible
Isaiah Jackson,1630543,153,139,14,0.16,0.769667,3814,0.1615,0.6228,0.7697,eligible
Leonard Miller,1631159,550,140,410,-1.16,0.756,3086,-1.1645,2.2325,0.756,eligible
DeMar DeRozan,201942,129,141,-12,0.22,0.750333,9893,0.2156,1.1129,0.7503,eligible
Asa Newell,1642854,103,142,-39,0.32,0.746667,2129,0.3199,0.7843,0.7467,eligible
John Poulakidas,1642967,56,143,-87,0.54,0.745667,1077,0.5361,2.0997,0.7457,eligible
Quenton Jackson,1631245,57,144,-87,0.53,0.738333,3872,0.5325,0.7431,0.7383,eligible
Jordan Miller,1641757,77,145,-68,0.42,0.713667,5199,0.4237,1.0341,0.7137,eligible
Ryan Rollins,1631157,240,146,94,-0.01,0.710333,9777,-0.0098,1.6211,0.7103,eligible
Dru Smith,1630696,109,147,-38,0.3,0.707,4993,0.2981,2.1709,0.707,eligible
Moussa Diabaté,1631217,208,148,60,0.07,0.702667,7587,0.0682,1.6902,0.7027,eligible
Malaki Branham,1631103,14,149,-135,1.02,0.66,1102,1.0217,1.1225,0.66,eligible
Javon Small,1642914,319,150,169,-0.21,0.657,3518,-0.2082,0.424,0.657,eligible
Isaiah Stewart,1630191,193,151,42,0.09,0.654333,5465,0.0868,0.9654,0.6543,eligible
Kelly Oubre Jr.,1626162,154,152,2,0.16,0.645,6594,0.1553,0.6329,0.645,eligible
Hugo González,1642864,361,153,208,-0.3,0.642333,4219,-0.296,2.6306,0.6423,eligible
Ty Jerome,1629660,16,154,-138,0.97,0.641333,1421,0.973,0.9623,0.6413,eligible
Daeqwon Plowden,1631342,362,155,207,-0.3,0.637333,3529,-0.3028,1.392,0.6373,eligible
Onyeka Okongwu,1630168,300,156,144,-0.16,0.632333,9769,-0.1568,0.7458,0.6323,eligible
Shaedon Sharpe,1631101,217,157,60,0.04,0.628333,6330,0.0388,0.2262,0.6283,eligible
Brice Sensabaugh,1641729,230,158,72,0.02,0.621667,7709,0.0195,0.9287,0.6217,eligible
Jaylen Wells,1642377,283,159,124,-0.12,0.616333,7600,-0.1169,0.4254,0.6163,eligible
Josh Green,1630182,172,160,12,0.13,0.611667,3573,0.1326,0.9203,0.6117,eligible
Aaron Holiday,1628988,245,161,84,-0.02,0.591667,3075,-0.0188,1.66,0.5917,eligible
Jamison Battle,1642419,194,162,32,0.09,0.577333,2138,0.0914,3.5546,0.5773,eligible
T.J. McConnell,204456,131,163,-32,0.21,0.568,4103,0.2098,1.4846,0.568,eligible
Jaylen Clark,1641740,222,164,58,0.03,0.552667,3720,0.0285,0.222,0.5527,eligible
A.J. Lawson,1630639,307,165,142,-0.18,0.551333,860,-0.1785,2.3907,0.5513,eligible
Naz Reid,1629675,144,166,-22,0.18,0.548667,8666,0.1759,0.9037,0.5487,eligible
Zach Edey,1641744,4,167,-163,1.74,0.548,1182,1.7426,1.8974,0.548,eligible
Cade Cunningham,1630595,179,168,11,0.11,0.535667,8786,0.1076,3.0291,0.5357,eligible
LeBron James,2544,233,169,64,0.01,0.534,8209,0.0098,0.7479,0.534,eligible
RJ Barrett,1629628,238,170,68,0,0.522333,7279,0,0.7897,0.5223,eligible
Precious Achiuwa,1630173,239,171,68,0,0.517,7022,0,1.7826,0.517,eligible
P.J. Washington,1629023,223,172,51,0.03,0.515667,7232,0.0292,1.1247,0.5157,eligible
Brandin Podziemski,1641764,295,173,122,-0.15,0.515,9658,-0.147,1.0366,0.515,eligible
Garrison Mathews,1629726,23,174,-151,0.83,0.492333,832,0.8313,0.9651,0.4923,eligible
Amir Coffey,1629599,173,175,-2,0.13,0.478,1942,0.1269,0.6862,0.478,eligible
Tari Eason,1631106,63,176,-113,0.5,0.460333,6249,0.5039,2.0225,0.4603,eligible
Walker Kessler,1631117,38,177,-139,0.71,0.459,626,0.7065,1.5295,0.459,eligible
E.J. Liddell,1630604,3,178,-175,1.81,0.438333,1413,1.8133,0.5877,0.4383,eligible
Oscar Tshiebwe,1631131,374,179,195,-0.33,0.436333,1953,-0.3266,1.4156,0.4363,eligible
Taylor Hendricks,1641707,398,180,218,-0.39,0.435333,4638,-0.3931,1.2566,0.4353,eligible
Justin Edwards,1642348,442,181,261,-0.51,0.429,4087,-0.5148,1.737,0.429,eligible
Wendell Carter Jr.,1628976,326,182,144,-0.23,0.426,9236,-0.2251,0.2363,0.426,eligible
Gui Santos,1630611,195,183,12,0.09,0.425333,5854,0.087,0.5541,0.4253,eligible
Thanasis Antetokounmpo,203648,21,184,-163,0.85,0.405333,583,0.8488,3.5536,0.4053,eligible
Deni Avdija,1630166,248,185,63,-0.03,0.395,9387,-0.0294,1.8726,0.395,eligible
Anthony Black,1641710,218,186,32,0.04,0.394,7578,0.039,0.5487,0.394,eligible
Cedric Coward,1642907,296,187,109,-0.15,0.382,6655,-0.1456,1.1328,0.382,eligible
Liam McNeeley,1642862,180,188,-8,0.11,0.381333,1448,0.1054,0.7782,0.3813,eligible
Will Richard,1642954,160,189,-29,0.15,0.376667,5892,0.1451,1.0281,0.3767,eligible
Kadary Richmond,1642955,48,190,-142,0.62,0.376,302,0.616,2.2906,0.376,eligible
Joel Embiid,203954,231,191,40,0.02,0.369,4989,0.0192,1.0139,0.369,eligible
Jose Alvarado,1630631,249,192,57,-0.03,0.360333,5669,-0.029,2.3099,0.3603,eligible
David Jones Garcia,1642357,7,193,-186,1.3,0.346333,328,1.3031,1.9166,0.3463,eligible
Haywood Highsmith,1629312,31,194,-163,0.74,0.331,359,0.7425,1.2035,0.331,eligible
Christian Braun,1631128,393,195,198,-0.38,0.329333,5939,-0.3773,0.6202,0.3293,eligible
DaQuan Jeffries,1629610,50,196,-146,0.6,0.328,237,0.598,1.993,0.328,eligible
Charles Bassey,1629646,363,197,166,-0.3,0.318333,564,-0.2953,1.6066,0.3183,eligible
Antonio Reeves,1641810,98,198,-100,0.34,0.307,254,0.3413,2.0603,0.307,eligible
Nikola Vučević,202696,246,199,47,-0.02,0.303,7638,-0.0195,0.6619,0.303,eligible
Chaney Johnson,1643052,202,200,2,0.08,0.295333,1434,0.0795,1.2077,0.2953,eligible
Yanic Konan Niederhäuser,1642949,287,201,86,-0.13,0.290667,1691,-0.1341,1.064,0.2907,eligible
Alondes Williams,1631214,32,202,-170,0.74,0.287667,454,0.7428,0.9565,0.2877,eligible
Duop Reath,1641871,136,203,-67,0.2,0.264667,1043,0.2014,0.891,0.2647,eligible
Malachi Smith,1641869,174,204,-30,0.13,0.258667,1432,0.1336,1.1915,0.2587,eligible
Pat Connaughton,1626192,67,205,-138,0.48,0.252667,1098,0.4822,2.0062,0.2527,eligible
Tyson Etienne,1630623,169,206,-37,0.14,0.248,1577,0.142,0.7869,0.248,eligible
Jamal Cain,1631288,522,207,315,-0.86,0.239667,1958,-0.862,1.2147,0.2397,eligible
Jamaree Bouyea,1631123,74,208,-134,0.46,0.235667,2468,0.4625,0.5941,0.2357,eligible
Julian Phillips,1641763,132,209,-77,0.21,0.233,1710,0.2149,0.3011,0.233,eligible
Isaiah Hartenstein,1628392,291,210,81,-0.14,0.232333,4629,-0.1438,0.4623,0.2323,eligible
Klay Thompson,202691,234,211,23,0.01,0.232333,6436,0.0097,2.1888,0.2323,eligible
Zach Collins,1628380,68,212,-144,0.48,0.228667,748,0.4805,0.5053,0.2287,eligible
Seth Curry,203552,46,213,-167,0.65,0.228,539,0.6491,0.8663,0.228,eligible
Ron Harper Jr.,1631199,301,214,87,-0.16,0.227333,1223,-0.1633,1.1386,0.2273,eligible
David Roddy,1631223,133,215,-82,0.21,0.216667,311,0.2113,1.5202,0.2167,eligible
Tristan Enaruna,1642400,435,216,219,-0.49,0.214333,355,-0.4925,1.2891,0.2143,eligible
Thomas Bryant,1628418,196,217,-21,0.09,0.207,2997,0.0937,0.7254,0.207,eligible
Taj Gibson,201959,104,218,-114,0.32,0.205667,400,0.321,1.2395,0.2057,eligible
Eric Gordon,201569,189,219,-30,0.1,0.202333,309,0.1011,2.029,0.2023,eligible
Caleb Houstan,1631216,261,220,41,-0.05,0.199,317,-0.0491,1.4285,0.199,eligible
Tidjane Salaün,1642275,139,221,-82,0.19,0.192,2407,0.1939,0.9347,0.192,eligible
Kyle Anderson,203937,155,222,-67,0.16,0.191,3650,0.1612,0.796,0.191,eligible
Scottie Barnes,1630567,280,223,57,-0.11,0.179333,11123,-0.1081,1.8597,0.1793,eligible
Trey Alexander,1641725,190,224,-34,0.1,0.176333,464,0.0978,2.0835,0.1763,eligible
Koby Brea,1642886,78,225,-147,0.42,0.176,328,0.4162,2.0507,0.176,eligible
Joan Beringer,1642866,250,226,24,-0.03,0.175,1336,-0.0348,0.7338,0.175,eligible
Payton Sandfort,1642362,110,227,-117,0.3,0.175,265,0.2996,1.293,0.175,eligible
Julian Strawther,1631124,210,228,-18,0.06,0.168667,3627,0.0569,0.8898,0.1687,eligible
Miles Kelly,1642939,232,229,3,0.02,0.164333,576,0.0223,1.4281,0.1643,eligible
Skal Labissiere,1627746,122,230,-108,0.24,0.158333,155,0.2411,1.7556,0.1583,eligible
Taurean Prince,1627752,235,231,4,0.01,0.150333,2540,0.0093,0.8976,0.1503,eligible
Chris Mañon,1643024,70,232,-162,0.47,0.148667,185,0.4661,2.3104,0.1487,eligible
Grant Williams,1629684,394,233,161,-0.38,0.142667,2942,-0.3839,1.555,0.1427,eligible
Riley Minix,1642434,107,234,-127,0.31,0.141667,255,0.3106,1.2927,0.1417,eligible
Royce O'Neale,1626220,344,235,109,-0.26,0.139667,9346,-0.2643,2.3536,0.1397,eligible
Cam Whitmore,1641715,347,236,111,-0.27,0.139,1547,-0.2685,0.8416,0.139,eligible
Jalen Williams,1631114,278,237,41,-0.09,0.137667,3891,-0.0856,0.4755,0.1377,eligible
Josh Hart,1628404,270,238,32,-0.07,0.136333,7884,-0.0683,0.8189,0.1363,eligible
Dalen Terry,1631207,288,239,49,-0.13,0.136333,2299,-0.1288,1.5304,0.1363,eligible
MarJon Beauchamp,1630699,264,240,24,-0.06,0.133,851,-0.0648,0.8811,0.133,eligible
De'Aaron Fox,1628368,241,241,0,-0.01,0.130333,9311,-0.0098,0.405,0.1303,eligible
Zyon Pullin,1642389,127,242,-115,0.23,0.127667,178,0.2291,1.4076,0.1277,eligible
De'Anthony Melton,1629001,95,243,-148,0.35,0.125667,4761,0.3455,2.5671,0.1257,eligible
Lawson Lovering,1643133,94,244,-150,0.36,0.121333,193,0.3647,0.9551,0.1213,eligible
Myles Turner,1626167,257,245,12,-0.04,0.116667,7852,-0.039,1.5005,0.1167,eligible
Jacob Toppin,1631210,137,246,-109,0.2,0.112667,66,0.2028,1.7524,0.1127,eligible
Olivier Sarr,1630846,128,247,-119,0.23,0.109,176,0.2327,2.3597,0.109,eligible
Moussa Cisse,1630619,353,248,105,-0.28,0.105667,2212,-0.2843,1.7928,0.1057,eligible
DaRon Holmes II,1641747,284,249,35,-0.12,0.104,801,-0.12,0.8396,0.104,eligible
Bam Adebayo,1628389,423,250,173,-0.47,0.103667,10045,-0.4706,1.4746,0.1037,eligible
Emanuel Miller,1641801,191,251,-60,0.1,0.102333,136,0.1041,1.4895,0.1023,eligible
Dalton Knecht,1642261,265,252,13,-0.06,0.101667,2255,-0.0643,1.2218,0.1017,eligible
Anfernee Simons,1629014,474,253,221,-0.64,0.094333,5567,-0.6435,0.9741,0.0943,eligible
Isaiah Stevens,1641815,123,254,-131,0.24,0.093,171,0.2398,1.1266,0.093,eligible
James Harden,201935,358,255,103,-0.29,0.092333,9878,-0.294,0.7997,0.0923,eligible
Mouhamed Gueye,1631243,317,256,61,-0.2,0.079667,4910,-0.2018,0.5523,0.0797,eligible
Max Strus,1629622,236,257,-21,0.01,0.078,1226,0.0125,1.106,0.078,eligible
LJ Cryer,1643018,13,258,-245,1.03,0.077333,1119,1.0273,1.9422,0.0773,eligible
Rasheer Fleming,1642853,371,259,112,-0.32,0.076667,2582,-0.3248,0.2591,0.0767,eligible
Kenrich Williams,1629026,147,260,-113,0.17,0.076,3438,0.1701,0.75,0.076,eligible
Keshad Johnson,1642352,452,261,191,-0.55,0.075667,1205,-0.5489,0.586,0.0757,eligible
Clint Capela,203991,279,262,17,-0.09,0.071,3644,-0.0853,0.4546,0.071,eligible
Santi Aldama,1630583,507,263,244,-0.8,0.07,4807,-0.8049,1.3464,0.07,eligible
Wendell Moore Jr.,1631111,71,264,-193,0.47,0.069667,238,0.4697,0.8897,0.0697,eligible
Trevor Keels,1631211,203,265,-62,0.08,0.069333,68,0.0802,1.7103,0.0693,eligible
Alex Antetokounmpo,1630828,170,266,-96,0.14,0.067667,92,0.1379,3.0611,0.0677,eligible
Enrique Freeman,1642402,161,267,-106,0.15,0.066667,169,0.1453,1.1737,0.0667,eligible
Jalen Slawson,1641771,39,268,-229,0.7,0.064667,1277,0.7042,0.844,0.0647,eligible
Vladislav Goldin,1642884,181,269,-88,0.11,0.064667,70,0.1125,1.5347,0.0647,eligible
Quinten Post,1642366,162,270,-108,0.15,0.062,4757,0.1535,0.3996,0.062,eligible
Rocco Zikarsky,1642911,182,271,-89,0.11,0.056667,145,0.113,1.3138,0.0567,eligible
Chris Livingston,1641753,183,272,-89,0.11,0.053333,73,0.1062,1.6172,0.0533,eligible
Monté Morris,1628420,148,273,-125,0.17,0.050333,284,0.1686,0.8523,0.0503,eligible
Mark Sears,1641813,145,274,-129,0.18,0.047333,108,0.1839,1.3759,0.0473,eligible
N'Faly Dante,1642368,204,275,-71,0.08,0.044,60,0.0776,1.5947,0.044,eligible
Colin Castleton,1630658,211,276,-65,0.06,0.040333,80,0.0574,1.5248,0.0403,eligible
Dereck Lively II,1641726,88,277,-189,0.38,0.035333,503,0.3772,0.7614,0.0353,eligible
Coby White,1629632,407,278,129,-0.42,0.032667,5146,-0.4235,0.6816,0.0327,eligible
Mac McClung,1630644,258,279,-21,-0.04,0.032333,590,-0.0448,0.873,0.0323,eligible
