rank,playerId,playerName,teamId,rankingMode,finalRankingScore,actualPossessions,eligibilityStatus,rawAbilityRate,posteriorAbilityRate,abilityStandardError,uncertainty,displayUncertainty,intervalLo,intervalHi,intervalConfidence,drbl100,drblP,drblLn,drblB,componentDisagreementIndex,seasonalImpact,seasonWar,drblWar,forecastPossessions,forecastImpact,forecastWar,priorEquivalentPossessions,reliabilityWeight,pointsPerWin,replacementLevelRate,rankingFormulaVersion,oldRank
17,201939,Stephen Curry,1610612744,season_value,3.658,9434,eligible,1.1632,0.2546,0.9228,1.18,1.18,-0.93,1.44,0.8,0.25,1.14,0.29,0.15,0.46,109.74,3.658,3.66,2500,6.37,0.2122,200,0.9792,30,0,2.2.0,141
18,1630532,Franz Wagner,1610612753,season_value,3.620667,8188,eligible,1.3266,1.3178,1.409,1.8,1.8,-0.49,3.12,0.8,1.32,1.29,4.24,0.07,0.7,108.62,3.6207,3.62,2500,32.95,1.0982,200,0.9762,30,0,2.2.0,6
19,1630700,Dyson Daniels,1610612737,season_value,3.524,10870,eligible,0.9726,0.5008,1.6158,2.07,2.07,-1.57,2.57,0.8,0.5,0.96,-0.3,0.28,0.81,105.72,3.524,3.52,2500,12.52,0.4173,200,0.9819,30,0,2.2.0,80
20,1629660,Ty Jerome,1610612739,season_value,3.480667,5795,eligible,1.8019,0.8313,1.0364,1.33,1.33,-0.5,2.16,0.8,0.83,1.74,2.04,0.02,0.51,104.42,3.4807,3.48,2500,20.78,0.6927,200,0.9666,30,0,2.2.0,31
21,203084,Harrison Barnes,1610612759,season_value,3.476333,9064,eligible,1.1506,0.3522,2.274,2.91,2.91,-2.56,3.26,0.8,0.35,1.13,-1.49,-0.37,1.14,104.29,3.4763,3.48,2500,8.8,0.2935,200,0.9784,30,0,2.2.0,124
22,1631106,Tari Eason,1610612745,season_value,3.470667,5836,eligible,1.7842,1.2376,0.6607,0.85,0.85,0.39,2.08,0.8,1.24,1.73,2.47,0.11,0.32,104.12,3.4707,3.47,2500,30.94,1.0313,200,0.9669,30,0,2.2.0,10
23,1630596,Evan Mobley,1610612739,season_value,3.162,9051,eligible,1.0481,0.6262,1.7872,2.29,2.29,-1.66,2.91,0.8,0.63,1.03,2.39,-0.2,0.89,94.86,3.162,3.16,2500,15.65,0.5218,200,0.9784,30,0,2.2.0,55
24,1630162,Anthony Edwards,1610612750,season_value,3.155,11610,eligible,0.8152,0.2064,1.267,1.62,1.62,-1.42,1.83,0.8,0.21,0.8,1.77,-0.15,0.63,94.65,3.155,3.16,2500,5.16,0.172,200,0.9831,30,0,2.2.0,156
25,1628378,Donovan Mitchell,1610612739,season_value,3.110333,9308,eligible,1.0025,0.4699,0.6121,0.78,0.78,-0.31,1.25,0.8,0.47,0.98,0.75,-0.01,0.3,93.31,3.1103,3.11,2500,11.75,0.3916,200,0.979,30,0,2.2.0,88
26,201942,DeMar DeRozan,1610612758,season_value,2.991333,11459,eligible,0.7831,0.6094,1.4962,1.92,1.92,-1.31,2.52,0.8,0.61,0.77,-0.23,-0.27,0.75,89.74,2.9913,2.99,2500,15.24,0.5078,200,0.9828,30,0,2.2.0,59
27,1629675,Naz Reid,1610612750,season_value,2.944333,9046,eligible,0.9765,0.9686,0.7768,0.99,0.99,-0.03,1.96,0.8,0.97,0.96,2.36,0.01,0.38,88.33,2.9443,2.94,2500,24.21,0.8072,200,0.9784,30,0,2.2.0,21
28,1630174,Aaron Nesmith,1610612754,season_value,2.942667,4464,eligible,1.9777,0.7848,2.0556,2.63,2.63,-1.85,3.42,0.8,0.78,1.89,2.12,-0.18,1.02,88.28,2.9427,2.94,2500,19.62,0.654,200,0.9571,30,0,2.2.0,35
29,1630198,Isaiah Joe,1610612760,season_value,2.843,6664,eligible,1.2799,0.466,0.3594,0.46,0.46,0.01,0.93,0.8,0.47,1.24,1.61,0.1,0.16,85.29,2.843,2.84,2500,11.65,0.3883,200,0.9709,30,0,2.2.0,89
30,1626157,Karl-Anthony Towns,1610612752,season_value,2.805333,10077,eligible,0.8352,0.4707,0.9504,1.22,1.22,-0.75,1.69,0.8,0.47,0.82,0.52,-0.13,0.47,84.16,2.8053,2.81,2500,11.77,0.3922,200,0.9805,30,0,2.2.0,90
31,202696,Nikola Vučević,1610612741,season_value,2.792,9771,eligible,0.8572,0.4312,1.4675,1.88,1.88,-1.45,2.31,0.8,0.43,0.84,-1.34,0.07,0.73,83.76,2.792,2.79,2500,10.78,0.3593,200,0.9799,30,0,2.2.0,96
32,1630169,Tyrese Haliburton,1610612754,season_value,2.760667,9847,eligible,0.8411,-0.1862,2.2269,2.85,2.85,-3.04,2.66,0.8,-0.19,0.82,-0.1,0.44,1.11,82.82,2.7607,2.76,2500,-4.66,-0.1552,200,0.9801,30,0,2.2.0,312
33,202681,Kyrie Irving,1610612742,season_value,2.679667,7454,eligible,1.0784,0.3701,0.4514,0.58,0.58,-0.21,0.95,0.8,0.37,1.05,1.9,0.05,0.21,80.39,2.6797,2.68,2500,9.25,0.3084,200,0.9739,30,0,2.2.0,115
34,1629655,Daniel Gafford,1610612742,season_value,2.674667,5145,eligible,1.5596,0.6834,1.7245,2.21,2.21,-1.52,2.89,0.8,0.68,1.5,0.12,-0.18,0.86,80.24,2.6747,2.67,2500,17.09,0.5695,200,0.9626,30,0,2.2.0,42
35,1630183,Jaden McDaniels,1610612750,season_value,2.665667,10534,eligible,0.7592,0.3435,1.0457,1.34,1.34,-0.99,1.68,0.8,0.34,0.75,-0.86,-0.07,0.52,79.97,2.6657,2.67,2500,8.59,0.2863,200,0.9814,30,0,2.2.0,128
36,1629060,Rui Hachimura,1610612747,season_value,2.614,7480,eligible,1.0483,0.3896,1.6818,2.15,2.15,-1.76,2.54,0.8,0.39,1.02,2.22,-0.19,0.84,78.42,2.614,2.61,2500,9.74,0.3247,200,0.974,30,0,2.2.0,110
37,203897,Zach LaVine,1610612741,season_value,2.601333,10890,eligible,0.7166,0.6579,1.8209,2.33,2.33,-1.67,2.99,0.8,0.66,0.7,3.19,-0.15,0.91,78.04,2.6013,2.6,2500,16.45,0.5483,200,0.982,30,0,2.2.0,49
38,1628415,Dillon Brooks,1610612745,season_value,2.566667,9518,eligible,0.809,0.1273,0.4861,0.62,0.62,-0.49,0.75,0.8,0.13,0.79,0.43,0.05,0.24,77,2.5667,2.57,2500,3.18,0.1061,200,0.9794,30,0,2.2.0,178
39,1629627,Zion Williamson,1610612740,season_value,2.537667,3647,eligible,2.0876,0.7584,1.8559,2.38,2.38,-1.62,3.13,0.8,0.76,1.98,3.47,-0.07,0.92,76.13,2.5377,2.54,2500,18.96,0.632,200,0.948,30,0,2.2.0,37
40,1630534,Ochai Agbaji,1610612761,season_value,2.534,7355,eligible,1.0336,0.3991,1.3221,1.69,1.69,-1.29,2.09,0.8,0.4,1.01,-0.51,0.16,0.66,76.02,2.534,2.53,2500,9.98,0.3326,200,0.9735,30,0,2.2.0,106
41,1629639,Tyler Herro,1610612748,season_value,2.506333,10901,eligible,0.6898,0.0687,0.549,0.7,0.7,-0.63,0.77,0.8,0.07,0.68,0.25,0.07,0.27,75.19,2.5063,2.51,2500,1.72,0.0573,200,0.982,30,0,2.2.0,203
42,1629661,Cameron Johnson,1610612751,season_value,2.499333,7215,eligible,1.0392,0.5644,1.3933,1.78,1.78,-1.22,2.35,0.8,0.56,1.01,0.13,-0.2,0.69,74.98,2.4993,2.5,2500,14.11,0.4703,200,0.973,30,0,2.2.0,70
43,1627751,Jakob Pöltl,1610612761,season_value,2.462,7060,eligible,1.0462,0.1848,0.248,0.32,0.32,-0.13,0.5,0.8,0.18,1.02,2.25,0.15,0.1,73.86,2.462,2.46,2500,4.62,0.154,200,0.9725,30,0,2.2.0,164
44,1628436,Luke Kornet,1610612738,season_value,2.436333,5296,eligible,1.3802,0.7805,2.5039,3.21,3.21,-2.42,3.99,0.8,0.78,1.33,1.14,-0.38,1.25,73.09,2.4363,2.44,2500,19.51,0.6504,200,0.9636,30,0,2.2.0,36
45,1628449,Chris Boucher,1610612761,season_value,2.351,3459,eligible,2.0391,1.2006,1.091,1.4,1.4,-0.2,2.6,0.8,1.2,1.93,2.97,0.06,0.54,70.53,2.351,2.35,2500,30.01,1.0005,200,0.9453,30,0,2.2.0,12
46,1627884,Derrick Jones Jr.,1610612746,season_value,2.274,7733,eligible,0.8821,0.4192,0.7349,0.94,0.94,-0.52,1.36,0.8,0.42,0.86,0.84,-0.07,0.36,68.22,2.274,2.27,2500,10.48,0.3493,200,0.9748,30,0,2.2.0,100
47,1630166,Deni Avdija,1610612757,season_value,2.266667,8956,eligible,0.7592,0.0391,1.9003,2.43,2.43,-2.39,2.47,0.8,0.04,0.74,0.75,-0.34,0.95,68,2.2667,2.27,2500,0.98,0.0326,200,0.9782,30,0,2.2.0,218
48,1628381,John Collins,1610612762,season_value,2.264667,5113,eligible,1.3288,0.6063,2.5906,3.32,3.32,-2.71,3.92,0.8,0.61,1.28,3.39,-0.28,1.29,67.94,2.2647,2.26,2500,15.16,0.5052,200,0.9624,30,0,2.2.0,60
49,1629636,Darius Garland,1610612739,season_value,2.260667,9684,eligible,0.7003,0.4311,0.9797,1.25,1.25,-0.82,1.69,0.8,0.43,0.69,0.16,0.18,0.49,67.82,2.2607,2.26,2500,10.78,0.3593,200,0.9798,30,0,2.2.0,97
50,1630573,Sam Hauser,1610612738,season_value,2.256333,6035,eligible,1.1216,0.4259,1.2152,1.56,1.56,-1.13,1.98,0.8,0.43,1.09,1.36,-0.13,0.6,67.69,2.2563,2.26,2500,10.65,0.3549,200,0.9679,30,0,2.2.0,98
51,1641708,Amen Thompson,1610612745,season_value,2.240667,9080,eligible,0.7403,0.0978,0.6947,0.89,0.89,-0.79,0.99,0.8,0.1,0.72,0.97,-0.08,0.34,67.22,2.2407,2.24,2500,2.44,0.0815,200,0.9784,30,0,2.2.0,191
52,201142,Kevin Durant,1610612756,season_value,2.239333,9248,eligible,0.7265,0.3034,1.9886,2.55,2.55,-2.24,2.85,0.8,0.3,0.71,2.76,-0.23,0.99,67.18,2.2393,2.24,2500,7.58,0.2528,200,0.9788,30,0,2.2.0,134
53,1630168,Onyeka Okongwu,1610612737,season_value,2.222,8921,eligible,0.7473,0.4499,1.0034,1.28,1.28,-0.83,1.73,0.8,0.45,0.73,0.81,-0.15,0.5,66.66,2.222,2.22,2500,11.25,0.3749,200,0.9781,30,0,2.2.0,94
54,204001,Kristaps Porziņģis,1610612738,season_value,2.185333,5035,eligible,1.3021,0.4905,2.4366,3.12,3.12,-2.63,3.61,0.8,0.49,1.25,-2.33,-0.33,1.22,65.56,2.1853,2.19,2500,12.26,0.4088,200,0.9618,30,0,2.2.0,85
55,203081,Damian Lillard,1610612749,season_value,2.185,8516,eligible,0.7697,0.1172,1.3084,1.67,1.67,-1.56,1.79,0.8,0.12,0.75,-1.42,-0.11,0.65,65.55,2.185,2.19,2500,2.93,0.0977,200,0.9771,30,0,2.2.0,185
56,1629634,Brandon Clarke,1610612763,season_value,2.159333,5288,eligible,1.225,0.4625,0.9421,1.21,1.21,-0.74,1.67,0.8,0.46,1.18,1.18,-0.06,0.46,64.78,2.1593,2.16,2500,11.56,0.3854,200,0.9636,30,0,2.2.0,92
57,1627936,Alex Caruso,1610612760,season_value,2.131333,4268,eligible,1.4982,0.726,0.4127,0.53,0.53,0.2,1.25,0.8,0.73,1.43,1.94,0.23,0.18,63.94,2.1313,2.13,2500,18.15,0.605,200,0.9552,30,0,2.2.0,38
58,1630530,Trey Murphy III,1610612740,season_value,2.124,7827,eligible,0.8141,0.4875,0.9876,1.26,1.26,-0.78,1.75,0.8,0.49,0.79,-0.58,0.04,0.49,63.72,2.124,2.12,2500,12.19,0.4063,200,0.9751,30,0,2.2.0,86
59,1629018,Gary Trent Jr.,1610612749,season_value,2.107,7728,eligible,0.818,0.2437,1.5215,1.95,1.95,-1.7,2.19,0.8,0.24,0.8,-1.82,-0.07,0.76,63.21,2.107,2.11,2500,6.09,0.2031,200,0.9748,30,0,2.2.0,148
60,1631109,Mark Williams,1610612766,season_value,2.089,4827,eligible,1.2984,0.8354,1.6144,2.07,2.07,-1.23,2.9,0.8,0.84,1.25,-0.87,-0.15,0.8,62.67,2.089,2.09,2500,20.89,0.6962,200,0.9602,30,0,2.2.0,30
61,1630217,Desmond Bane,1610612763,season_value,2.071,9508,eligible,0.6535,0.0196,0.6068,0.78,0.78,-0.76,0.8,0.8,0.02,0.64,2.45,0.15,0.3,62.13,2.071,2.07,2500,0.49,0.0163,200,0.9794,30,0,2.2.0,225
62,1630551,Justin Champagnie,1610612764,season_value,2.029333,5479,eligible,1.1111,0.8972,1.1469,1.47,1.47,-0.57,2.37,0.8,0.9,1.07,0.71,-0.13,0.57,60.88,2.0293,2.03,2500,22.43,0.7477,200,0.9648,30,0,2.2.0,25
63,1629029,Luka Dončić,1610612742,season_value,2.005333,7368,eligible,0.8165,0.2337,0.8186,1.05,1.05,-0.81,1.28,0.8,0.23,0.79,1.71,-0.06,0.4,60.16,2.0053,2.01,2500,5.84,0.1948,200,0.9736,30,0,2.2.0,150
64,1627734,Domantas Sabonis,1610612758,season_value,2.000667,10119,eligible,0.5931,0.3824,1.1347,1.45,1.45,-1.07,1.83,0.8,0.38,0.58,2.15,-0.1,0.56,60.02,2.0007,2,2500,9.56,0.3187,200,0.9806,30,0,2.2.0,114
65,1641717,Cason Wallace,1610612760,season_value,1.960333,7701,eligible,0.7636,0.2729,1.1146,1.43,1.43,-1.15,1.7,0.8,0.27,0.74,-0.03,0.19,0.55,58.81,1.9603,1.96,2500,6.82,0.2274,200,0.9747,30,0,2.2.0,136
66,1631105,Jalen Duren,1610612765,season_value,1.948,8369,eligible,0.6982,0.3907,1.9565,2.5,2.5,-2.11,2.89,0.8,0.39,0.68,-2.94,-0.21,0.98,58.44,1.948,1.95,2500,9.77,0.3256,200,0.9767,30,0,2.2.0,111
67,1629048,Goga Bitadze,1610612753,season_value,1.945667,5644,eligible,1.0343,0.7243,0.8415,1.08,1.08,-0.35,1.8,0.8,0.72,1,0.14,-0.03,0.41,58.37,1.9457,1.95,2500,18.11,0.6036,200,0.9658,30,0,2.2.0,41
68,1628970,Miles Bridges,1610612766,season_value,1.902333,8345,eligible,0.6839,0.4688,0.5314,0.68,0.68,-0.21,1.15,0.8,0.47,0.67,2.11,0.05,0.26,57.07,1.9023,1.9,2500,11.72,0.3907,200,0.9766,30,0,2.2.0,91
69,203552,Seth Curry,1610612766,season_value,1.889667,4319,eligible,1.3126,0.9175,1.8035,2.31,2.31,-1.39,3.23,0.8,0.92,1.25,-1.6,-0.11,0.9,56.69,1.8897,1.89,2500,22.94,0.7646,200,0.9557,30,0,2.2.0,24
70,1631133,Jabari Walker,1610612757,season_value,1.889,3140,eligible,1.8049,0.8743,2.7184,3.48,3.48,-2.61,4.35,0.8,0.87,1.7,2.41,-0.33,1.35,56.67,1.889,1.89,2500,21.86,0.7286,200,0.9401,30,0,2.2.0,29
71,203932,Aaron Gordon,1610612743,season_value,1.871,5970,eligible,0.9402,0.3677,1.2781,1.64,1.64,-1.27,2,0.8,0.37,0.91,0.06,-0.19,0.63,56.13,1.871,1.87,2500,9.19,0.3064,200,0.9676,30,0,2.2.0,116
72,1628369,Jayson Tatum,1610612738,season_value,1.825333,10587,eligible,0.5173,0.4024,2.2969,2.94,2.94,-2.54,3.34,0.8,0.4,0.51,2.7,-0.31,1.15,54.76,1.8253,1.83,2500,10.06,0.3353,200,0.9815,30,0,2.2.0,107
73,1641709,Ausar Thompson,1610612765,season_value,1.791667,5515,eligible,0.9746,0.6755,0.1959,0.25,0.25,0.42,0.93,0.8,0.68,0.94,1.57,0.09,0.06,53.75,1.7917,1.79,2500,16.89,0.5629,200,0.965,30,0,2.2.0,43
74,1630539,Kai Jones,1610612746,season_value,1.778,1881,eligible,2.8355,0.5333,2.3103,2.96,2.96,-2.42,3.49,0.8,0.53,2.56,0.1,-0.06,1.15,53.34,1.778,1.78,2500,13.33,0.4444,200,0.9039,30,0,2.2.0,75
75,1627780,Gary Payton II,1610612744,season_value,1.777333,3791,eligible,1.4066,0.2185,0.974,1.25,1.25,-1.03,1.47,0.8,0.22,1.34,0.9,-0.03,0.48,53.32,1.7773,1.78,2500,5.46,0.1821,200,0.9499,30,0,2.2.0,153
76,202699,Tobias Harris,1610612765,season_value,1.771667,9425,eligible,0.5639,0.0881,2.3037,2.95,2.95,-2.86,3.04,0.8,0.09,0.55,5.17,0.01,1.15,53.15,1.7717,1.77,2500,2.2,0.0734,200,0.9792,30,0,2.2.0,196
77,1629006,Josh Okogie,1610612756,season_value,1.751,2524,eligible,2.081,1.3065,2.3957,3.07,3.07,-1.76,4.37,0.8,1.31,1.93,3.01,-0.21,1.19,52.53,1.751,1.75,2500,32.66,1.0888,200,0.9266,30,0,2.2.0,8
78,1628401,Derrick White,1610612738,season_value,1.737667,10451,eligible,0.4988,0.2355,0.3314,0.42,0.42,-0.19,0.66,0.8,0.24,0.49,0.29,-0.02,0.15,52.13,1.7377,1.74,2500,5.89,0.1963,200,0.9812,30,0,2.2.0,149
79,1630572,Sandro Mamukelashvili,1610612759,season_value,1.717,2680,eligible,1.922,1.0422,1.4717,1.88,1.88,-0.84,2.93,0.8,1.04,1.79,1.93,-0.07,0.73,51.51,1.717,1.72,2500,26.05,0.8685,200,0.9306,30,0,2.2.0,18
80,1628973,Jalen Brunson,1610612752,season_value,1.654667,9338,eligible,0.5316,0.1566,0.574,0.73,0.73,-0.58,0.89,0.8,0.16,0.52,0.04,0.06,0.28,49.64,1.6547,1.65,2500,3.92,0.1305,200,0.979,30,0,2.2.0,170
81,1630167,Obi Toppin,1610612754,season_value,1.618,6381,eligible,0.7606,0.3103,2.0424,2.61,2.61,-2.3,2.92,0.8,0.31,0.74,-2.74,0.01,1.02,48.54,1.618,1.62,2500,7.76,0.2586,200,0.9696,30,0,2.2.0,131
82,1629640,Keldon Johnson,1610612759,season_value,1.59,7505,eligible,0.6356,0.2045,2.0128,2.58,2.58,-2.37,2.78,0.8,0.2,0.62,-3.19,-0.19,1,47.7,1.59,1.59,2500,5.11,0.1704,200,0.974,30,0,2.2.0,158
83,1627750,Jamal Murray,1610612743,season_value,1.577,10017,eligible,0.4723,0,0.8904,1.14,1.14,-1.14,1.14,0.8,0,0.46,1.08,0.22,0.44,47.31,1.577,1.58,2500,0,0,200,0.9804,30,0,2.2.0,231
84,1629008,Michael Porter Jr.,1610612743,season_value,1.552333,10812,eligible,0.4308,0.3044,0.8589,1.1,1.1,-0.79,1.4,0.8,0.3,0.42,-0.44,0.08,0.43,46.57,1.5523,1.55,2500,7.61,0.2537,200,0.9818,30,0,2.2.0,135
85,1629637,Jaxson Hayes,1610612747,season_value,1.508333,4526,eligible,0.9998,0.6704,3.1887,4.08,4,-3.41,4.75,0.8,0.67,0.96,2,-0.52,1.59,45.25,1.5083,1.51,2500,16.76,0.5587,200,0.9577,30,0,2.2.0,47
86,1630178,Tyrese Maxey,1610612755,season_value,1.506667,7776,eligible,0.5813,0.3705,0.3775,0.48,0.48,-0.11,0.85,0.8,0.37,0.57,0.78,0.1,0.18,45.2,1.5067,1.51,2500,9.26,0.3087,200,0.9749,30,0,2.2.0,117
87,1630541,Moses Moody,1610612744,season_value,1.476,6827,eligible,0.6486,0.5732,1.2667,1.62,1.62,-1.05,2.19,0.8,0.57,0.63,-0.13,-0.24,0.63,44.28,1.476,1.48,2500,14.33,0.4777,200,0.9715,30,0,2.2.0,66
88,203484,Kentavious Caldwell-Pope,1610612753,season_value,1.452333,9099,eligible,0.4788,-0.0489,0.5606,0.72,0.72,-0.77,0.67,0.8,-0.05,0.47,-0.04,-0.09,0.27,43.57,1.4523,1.45,2500,-1.22,-0.0407,200,0.9785,30,0,2.2.0,251
89,202692,Alec Burks,1610612748,season_value,1.441667,3377,eligible,1.2808,0.5381,1.0357,1.33,1.33,-0.79,1.86,0.8,0.54,1.21,2.19,-0.04,0.51,43.25,1.4417,1.44,2500,13.45,0.4484,200,0.9441,30,0,2.2.0,73
90,203076,Anthony Davis,1610612747,season_value,1.415333,6970,eligible,0.6092,0.5152,0.7306,0.94,0.94,-0.42,1.45,0.8,0.52,0.59,1.48,-0.07,0.36,42.46,1.4153,1.42,2500,12.88,0.4293,200,0.9721,30,0,2.2.0,78
91,201572,Brook Lopez,1610612749,season_value,1.385667,10423,eligible,0.3988,-0.0098,0.4171,0.53,0.53,-0.54,0.52,0.8,-0.01,0.39,1.6,0.04,0.2,41.57,1.3857,1.39,2500,-0.24,-0.0082,200,0.9812,30,0,2.2.0,240
92,1630643,Jay Huff,1610612763,season_value,1.375667,3184,eligible,1.296,0.414,1.9975,2.56,2.56,-2.14,2.97,0.8,0.41,1.22,-2.01,0.04,0.99,41.27,1.3757,1.38,2500,10.35,0.345,200,0.9409,30,0,2.2.0,104
93,1642419,Jamison Battle,1610612761,season_value,1.367667,4336,eligible,0.9463,0.7934,2.1257,2.72,2.72,-1.93,3.51,0.8,0.79,0.9,-2.2,0.14,1.06,41.03,1.3677,1.37,2500,19.84,0.6612,200,0.9559,30,0,2.2.0,33
94,1641740,Jaylen Clark,1610612750,season_value,1.367667,2157,eligible,1.9022,0.787,2.7387,3.51,3.51,-2.72,4.29,0.8,0.79,1.74,-0.58,-0.38,1.36,41.03,1.3677,1.37,2500,19.68,0.6558,200,0.9151,30,0,2.2.0,34
95,1631114,Jalen Williams,1610612760,season_value,1.366,9284,eligible,0.4414,-0.4601,1.8317,2.34,2.34,-2.8,1.88,0.8,-0.46,0.43,-2.06,0.12,0.91,40.98,1.366,1.37,2500,-11.5,-0.3834,200,0.9789,30,0,2.2.0,411
96,1631217,Moussa Diabaté,1610612766,season_value,1.364333,4891,eligible,0.8369,0.4804,3.0654,3.92,3.92,-3.44,4.4,0.8,0.48,0.8,2.12,-0.5,1.53,40.93,1.3643,1.36,2500,12.01,0.4003,200,0.9607,30,0,2.2.0,87
97,1641705,Victor Wembanyama,1610612759,season_value,1.358333,6024,eligible,0.6765,1.7019,1.2424,1.59,1.59,0.11,3.29,0.8,1.7,0.65,3.86,0.2,0.62,40.75,1.3583,1.36,2500,42.55,1.4183,200,0.9679,30,0,2.2.0,2
98,1629130,Duncan Robinson,1610612748,season_value,1.352667,7165,eligible,0.5663,0.2529,0.5056,0.65,0.65,-0.39,0.9,0.8,0.25,0.55,1.61,0.16,0.24,40.58,1.3527,1.35,2500,6.32,0.2107,200,0.9728,30,0,2.2.0,142
99,202695,Kawhi Leonard,1610612746,season_value,1.345667,4736,eligible,0.8524,-0.6045,0.5156,0.66,0.66,-1.26,0.06,0.8,-0.6,0.82,0.78,0.13,0.24,40.37,1.3457,1.35,2500,-15.11,-0.5038,200,0.9595,30,0,2.2.0,447
100,1630193,Immanuel Quickley,1610612761,season_value,1.336,3787,eligible,1.0585,-0.1235,1.3837,1.77,1.77,-1.89,1.65,0.8,-0.12,1.01,0.21,0.28,0.68,40.08,1.336,1.34,2500,-3.09,-0.1029,200,0.9498,30,0,2.2.0,289
